a_affirmative  : 0.7366255144032922
a_conditional  : 0.7058823529411765
a_doubt_question  : 0.6644518272425249
a_emphasis  : 0.8306709265175719
a_negative  : 0.627906976744186
a_relative  : 0.7270992366412213
a_topics  : 0.7936893203883495
a_wh_question  : 0.5466666666666666
a_yn_question  : 0.6273291925465838
b_affirmative  : 0.6735537190082644
b_conditional  : 0.7011494252873564
b_doubt_question  : 0.65625
b_emphasis  : 0.6212624584717608
b_negative  : 0.6737804878048781
b_relative  : 0.8166259168704156
b_topics  : 0.7819905213270142
b_wh_question  : 0.7755102040816326
b_yn_question  : 0.726790450928382
