
a_affirmative  : 0.24186219999990044,
a_conditional  : 0.3675352999999859,
a_doubt_question  : 0.2712975000000597,
a_emphasis  : 0.26915439999993396,
a_negative  : 0.2170179999999391,
a_relative  : 0.43014240000002246,
a_topics  : 0.43922059999999874,
a_wh_question  : 0.2930390000000216,
a_yn_question  : 0.2706236000000217,
b_affirmative  : 0.21694490000004407,
b_conditional  : 0.39970689999995557,
b_doubt_question  : 0.3033702999999832,
b_emphasis  : 0.274655800000005,
b_negative  : 0.29102309999996123,
b_relative  : 0.35867749999999887,
b_topics  : 0.35417260000008355,
b_wh_question  : 0.2625034999999798,
b_yn_question  : 0.3417845999999827,
