a_affirmative  : 0.6872427983539094
a_conditional  : 0.7129411764705882
a_doubt_question  : 0.6644518272425249
a_emphasis  : 0.8083067092651757
a_negative  : 0.6046511627906976
a_relative  : 0.7309160305343512
a_topics  : 0.7864077669902912
a_wh_question  : 0.5733333333333334
a_yn_question  : 0.6086956521739131
b_affirmative  : 0.6611570247933884
b_conditional  : 0.7011494252873564
b_doubt_question  : 0.6647727272727273
b_emphasis  : 0.6245847176079734
b_negative  : 0.6646341463414634
b_relative  : 0.7872860635696821
b_topics  : 0.7843601895734598
b_wh_question  : 0.8027210884353742
b_yn_question  : 0.7108753315649867
