0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
295.44,201.294,1221,293.005,199.87099999999998,1225,289.95799999999997,199.472,1229,286.974,200.36,1234,284.682,202.33599999999998,1234,287.281,202.81099999999998,1229,290.204,202.81400000000002,1225,293.07,202.313,1221,312.058,200.771,1238,314.316,199.25,1238,317.308,198.665,1243,320.26599999999996,199.32299999999998,1247,322.435,201.12400000000002,1252,320.19599999999997,201.778,1247,317.32099999999997,201.919,1243,314.438,201.579,1238,296.552,191.062,1216,291.89799999999997,190.362,1225,287.093,190.90200000000002,1238,283.347,192.67700000000002,1238,280.665,195.15,1238,281.094,196.91299999999998,1238,284.254,194.967,1238,287.823,193.778,1238,292.122,193.472,1229,296.611,193.847,1221,310.507,190.611,1247,314.7,189.72799999999998,1252,319.5,189.984,1256,323.198,191.46200000000002,1261,325.769,193.583,1265,325.367,195.421,1261,322.33299999999997,193.718,1256,318.935,192.821,1256,314.659,192.805,1247,310.503,193.40400000000002,1243,300.48400000000004,200.78400000000002,1225,299.827,204.328,1225,298.236,207.56400000000002,1221,295.791,210.75099999999998,1221,297.205,214.19299999999998,1221,302.757,213.11,1221,306.329,213.003,1229,311.435,213.607,1238,312.509,210.081,1234,309.95799999999997,206.965,1229,308.26599999999996,203.921,1229,307.342,200.517,1229,293.901,225.188,1216,296.964,221.452,1212,300.926,218.768,1216,304.556,218.967,1221,307.993,218.472,1229,311.867,220.76,1238,314.851,224.299,1247,312.12,225.055,1243,308.923,225.44799999999998,1234,304.793,225.731,1225,300.54,225.908,1221,296.94599999999997,225.765,1216,296.508,224.327,1216,300.296,222.486,1216,304.607,221.88099999999997,1221,308.733,222.166,1229,312.31,223.68400000000003,1238,308.589,222.36700000000002,1229,304.58099999999996,222.102,1221,300.39799999999997,222.68,1216,273.665,205.075,1243,273.34,211.458,1247,273.565,217.72,1252,274.532,224.16,1252,276.392,230.303,1256,279.678,235.67700000000002,1261,284.464,239.511,1256,290.449,242.222,1252,297.485,243.832,1256,305.274,244.15200000000002,1261,312.846,243.02599999999998,1280,319.52,240.688,1294,325.0,236.977,1309,328.971,232.158,1309,331.14300000000003,226.535,1542,332.14300000000003,220.453,1536,332.52,214.34400000000002,0,332.207,208.46099999999998,0,331.319,202.66299999999998,0,290.077,201.40900000000002,1225,317.29200000000003,200.551,1243,304.277,211.15900000000002,1225,297.13599999999997,188.56,1216,292.066,187.80900000000003,1221,286.325,188.472,1243,281.707,190.69299999999998,1243,278.684,193.46,1243,309.778,188.155,1247,314.39599999999996,187.19400000000002,1261,320.18,187.51,1261,324.82,189.385,1270,327.76,191.787,1275
295.16200000000003,213.507,1187,292.682,211.61900000000003,1187,289.269,210.93200000000002,1195,285.932,211.206,1208,283.377,212.334,1208,285.695,213.952,1208,288.901,214.62900000000002,1200,292.259,214.429,1191,312.635,213.84599999999998,1216,315.1,211.984,1221,318.524,211.356,1225,321.796,211.72099999999998,1221,324.276,212.959,1229,321.92400000000004,214.446,1221,318.82599999999996,215.06900000000002,1221,315.471,214.773,1221,296.20599999999996,205.196,1191,291.666,203.389,1200,286.616,202.18,1212,282.365,202.705,1216,279.012,204.312,1221,279.392,206.405,1216,282.797,205.68599999999998,1216,286.58099999999996,205.577,1208,291.02,206.325,1195,295.597,207.565,1187,311.567,205.442,1221,316.143,203.774,1225,321.126,202.623,1229,325.335,203.138,1234,328.593,204.646,1247,328.199,206.706,1247,324.948,206.13299999999998,1229,321.216,206.06599999999997,1225,316.81,206.737,1225,312.242,207.83700000000002,1221,300.033,214.048,1191,299.464,219.592,1204,297.95799999999997,224.81,1204,294.95599999999996,228.97,1204,295.89,233.11900000000003,1212,301.568,234.48,1216,306.20599999999996,234.584,1221,311.561,233.345,1229,312.467,229.183,1221,309.54900000000004,224.95,1216,308.21299999999997,219.585,1212,307.786,214.112,1212,292.269,242.315,1216,296.27,241.65,1216,300.278,241.072,1221,303.719,241.88099999999997,1221,306.972,241.192,1225,310.85,241.795,1238,314.818,242.584,1247,311.66700000000003,245.385,1247,308.149,247.148,1243,303.60200000000003,247.752,1234,298.877,246.891,1225,295.468,245.05599999999998,1221,294.527,242.83900000000003,1216,299.307,243.493,1221,303.70799999999997,244.00099999999998,1225,308.129,243.62400000000002,1234,312.759,243.06599999999997,1243,308.228,243.80599999999998,1234,303.655,244.18200000000002,1225,299.175,243.665,1221,272.209,210.94799999999998,1221,272.566,218.704,1225,273.73,226.342,1225,275.754,233.80900000000003,1234,278.63,240.387,1238,282.818,246.149,1238,287.197,250.588,1238,291.894,254.521,1252,297.263,257.286,1265,303.618,258.393,1275,310.077,257.255,1284,315.595,254.39700000000002,1294,320.39,250.46,1299,324.937,246.07,1309,329.055,240.11599999999999,1522,331.849,233.502,1529,333.64099999999996,226.456,1536,334.77099999999996,219.146,0,335.161,211.69299999999998,0,289.16,212.826,1195,318.569,213.269,1221,303.769,230.43,1216,297.459,202.48,1195,292.688,200.57299999999998,1200,286.79200000000003,199.183,1216,281.403,199.872,1221,277.56,201.703,1216,310.355,202.679,1221,315.132,200.93400000000003,1225,320.939,199.63,1229,326.325,200.296,1238,330.102,202.017,1252
297.401,203.31900000000002,1212,294.996,201.02900000000002,1208,291.83299999999997,199.882,1208,288.413,200.15400000000002,1221,285.687,201.778,1225,288.11,203.05900000000003,1216,291.212,203.79,1212,294.47700000000003,203.80700000000002,1208,314.582,205.553,1229,317.487,204.155,1234,320.911,203.93400000000003,1238,324.028,205.15,1247,325.973,207.407,1252,323.47900000000004,207.94400000000002,1243,320.39,207.74099999999999,1238,317.312,206.87400000000002,1234,300.137,191.828,1212,294.848,189.793,1208,288.757,189.108,1229,284.39599999999996,190.872,1234,281.39099999999996,193.685,1225,281.953,195.298,1225,285.405,193.368,1225,289.158,192.52900000000002,1221,294.296,193.293,1200,299.362,194.891,1204,314.70599999999996,193.668,1243,320.353,193.293,1252,326.517,194.355,1256,330.233,197.252,1270,332.246,200.646,0,331.23400000000004,202.06099999999998,0,328.574,199.345,1261,325.18,197.53,1252,319.973,196.796,1247,314.527,196.88299999999998,1238,302.178,203.27599999999998,1221,300.903,207.646,1216,298.53700000000003,211.111,1216,294.68,213.56799999999998,1221,294.907,217.796,1216,301.66,218.88099999999997,1221,305.926,219.476,1229,312.42900000000003,220.183,1238,313.856,216.26,1234,311.014,212.75599999999997,1229,309.887,208.78,1225,309.994,204.313,1225,288.228,226.752,1216,293.35200000000003,224.65,1212,298.827,223.57299999999998,1216,302.964,224.89700000000002,1225,307.28700000000003,224.708,1234,312.29400000000004,227.125,1243,316.585,230.47400000000002,1265,312.015,232.67,1256,307.421,233.53400000000002,1243,301.92400000000004,233.33900000000003,1234,296.503,232.202,1221,292.12,230.23,1216,289.87,226.83599999999998,1216,296.282,226.66,1212,302.518,227.574,1225,308.933,228.31599999999997,1238,315.026,230.15900000000002,1261,308.857,229.99599999999998,1238,302.32,229.39,1225,295.915,228.268,1212,275.368,202.50599999999997,1221,274.039,209.87400000000002,1229,273.518,216.69799999999998,1234,273.54200000000003,223.69799999999998,1238,274.503,230.482,1243,276.868,236.472,1261,280.697,241.297,1256,285.557,245.62400000000002,1261,291.66900000000004,249.14,1265,299.357,251.21,1275,307.09,251.146,1289,314.006,249.255,1299,319.97700000000003,245.95,1319,324.91700000000003,241.572,1522,328.434,236.232,1529,330.865,230.187,1536,332.71,223.808,1536,333.87699999999995,217.53900000000002,0,334.577,210.463,0,291.51599999999996,202.102,1212,320.52,206.095,1238,304.126,216.25400000000002,1225,301.312,189.1,1221,295.606,186.93200000000002,1216,288.291,186.175,1238,282.66,188.42,1238,279.217,191.606,1234,314.428,190.71900000000002,1243,320.494,190.342,1252,327.845,191.678,1261,332.675,195.38299999999998,0,335.019,199.255,0
292.306,200.123,1221,289.936,198.584,1221,286.934,198.105,1225,283.992,198.857,1225,281.788,200.643,1225,284.186,201.35,1229,287.025,201.49,1221,289.871,201.072,1221,308.324,199.752,1234,310.595,198.132,1234,313.577,197.513,1238,316.488,198.12,1243,318.623,199.799,1252,316.44,200.6,1243,313.655,200.842,1238,310.777,200.544,1234,293.471,191.303,1216,289.015,190.325,1212,284.283,190.48,1229,280.51099999999997,191.921,1238,277.789,194.144,1234,278.21,195.96,1229,281.29,194.324,1234,284.769,193.389,1229,288.983,193.331,1221,293.358,193.935,1221,306.743,190.908,1243,310.986,189.82299999999998,1247,315.79900000000004,189.77599999999998,1252,319.562,191.011,1261,322.27299999999997,192.987,1261,321.89799999999997,194.84,1256,318.829,193.386,1256,315.405,192.655,1247,311.129,192.8,1238,306.91700000000003,193.555,1238,296.88,199.81400000000002,1221,296.20099999999996,203.72799999999998,1221,294.64099999999996,207.243,1221,292.062,210.452,1221,293.172,213.99400000000003,1216,298.77299999999997,213.78900000000002,1221,302.5,213.725,1225,307.857,213.62599999999998,1234,308.796,210.024,1234,306.153,206.882,1229,304.585,203.477,1229,303.807,199.632,1229,289.361,224.146,1212,292.9,221.21599999999998,1208,297.015,219.252,1212,300.693,219.62599999999998,1221,304.223,219.049,1225,308.415,220.72,1234,312.038,223.46400000000003,1247,308.88,225.239,1243,305.402,226.247,1238,300.91200000000003,226.702,1221,296.368,226.546,1216,292.69599999999997,225.743,1212,291.44599999999997,223.74400000000003,1212,296.006,222.481,1212,300.752,222.19400000000002,1221,305.48900000000003,222.22400000000002,1229,310.027,223.21599999999998,1243,305.518,223.125,1229,300.77299999999997,223.226,1221,296.003,223.36,1212,271.767,202.24400000000003,1234,271.44,208.822,1234,271.732,215.19099999999997,1238,272.806,221.752,1243,274.749,228.00400000000002,1243,278.082,233.511,1243,282.478,237.47799999999998,1247,287.813,240.54,1247,294.121,242.483,1247,301.264,243.104,1261,308.421,242.06,1270,314.72900000000004,239.72799999999998,1284,319.986,236.037,1299,324.075,231.40900000000002,1304,326.76,225.658,0,328.166,219.391,1542,328.81300000000005,212.99,0,328.76599999999996,206.78099999999998,1261,328.148,200.535,1275,287.005,200.028,1221,313.56,199.41299999999998,1238,300.494,211.217,1221,294.20599999999996,188.835,1216,289.372,187.787,1208,283.756,187.99099999999999,1238,279.103,189.80200000000002,1238,276.02099999999996,192.30599999999998,1238,305.927,188.465,1247,310.54200000000003,187.301,1252,316.257,187.268,1261,320.947,188.83,1261,324.04,191.062,1270
289.79200000000003,201.71599999999998,1221,287.408,200.324,1225,284.444,200.02700000000002,1229,281.623,200.842,1234,279.638,202.548,1234,281.89799999999997,203.261,1229,284.64799999999997,203.31799999999998,1225,287.433,202.76,1225,305.267,200.354,1238,307.356,198.567,1238,310.28700000000003,197.74400000000003,1243,313.248,198.062,1243,315.54400000000004,199.403,1247,313.41900000000004,200.484,1243,310.659,201.0,1238,307.76599999999996,200.93599999999998,1238,290.02099999999996,193.208,1216,285.747,192.403,1221,281.16,192.593,1238,277.70599999999996,194.09599999999998,1238,275.328,196.334,1238,275.872,197.988,1238,278.589,196.37,1238,281.76,195.399,1238,285.78,195.237,1225,289.97700000000003,195.653,1221,303.143,191.893,1243,307.376,190.377,1247,312.264,189.73,1256,316.121,190.61900000000003,1261,318.95599999999996,192.30700000000002,1265,318.685,194.09599999999998,1261,315.577,193.012,1256,312.10400000000004,192.642,1252,307.814,193.205,1243,303.574,194.34099999999998,1243,293.974,201.292,1221,293.57599999999996,205.356,1221,292.319,209.16400000000002,1225,289.97700000000003,212.614,1221,291.12,216.01,1221,296.2,215.86700000000002,1225,299.942,215.56400000000002,1225,305.34,214.86900000000003,1238,306.019,211.274,1238,303.171,208.273,1234,301.555,204.676,1234,300.721,200.713,1229,288.519,225.666,1221,291.629,223.106,1216,295.225,221.278,1216,298.63599999999997,221.521,1225,301.881,220.679,1225,306.087,221.801,1238,310.02099999999996,223.729,1243,307.028,225.888,1243,303.66200000000003,227.28,1238,299.325,228.05700000000002,1225,294.993,228.033,1221,291.622,227.237,1221,290.428,225.347,1216,294.536,224.271,1216,298.899,223.882,1221,303.474,223.49200000000002,1234,308.072,223.792,1243,303.589,224.205,1234,298.981,224.69,1221,294.574,224.972,1216,271.314,204.08900000000003,1238,271.51599999999996,210.408,1238,272.368,216.455,1243,273.976,222.554,1243,276.28700000000003,228.27200000000002,1247,279.72,233.253,1247,283.836,236.929,1247,288.623,239.86599999999999,1247,294.232,241.731,1256,300.719,242.135,1261,307.38599999999997,240.77599999999998,1265,313.286,238.12,1284,318.21,234.25799999999998,1299,322.132,229.671,1304,324.819,224.014,1309,326.164,217.882,0,326.689,211.59799999999998,1289,326.58,205.389,1280,325.86400000000003,199.08,1275,284.611,201.84900000000002,1229,310.443,199.56900000000002,1238,298.01099999999997,212.954,1225,290.684,190.761,1212,286.067,189.90200000000002,1216,280.593,190.158,1243,276.212,192.092,1243,273.472,194.64700000000002,1243,302.131,189.571,1243,306.67900000000003,187.959,1256,312.44,187.232,1261,317.26099999999997,188.35,1270,320.48900000000003,190.247,1270
294.095,201.505,1208,291.71,199.99099999999999,1212,288.64799999999997,199.53,1216,285.634,200.253,1225,283.353,202.0,1225,285.814,202.688,1221,288.703,202.827,1212,291.615,202.44,1208,310.897,201.298,1225,313.238,199.72099999999998,1225,316.314,199.176,1238,319.324,199.804,1234,321.601,201.49900000000002,1238,319.248,202.25,1234,316.323,202.43200000000002,1234,313.35400000000004,202.109,1225,295.345,192.292,1208,291.066,191.28099999999998,1204,286.56,191.38,1221,282.774,192.61700000000002,1229,279.95799999999997,194.679,1225,280.202,196.675,1229,283.378,195.179,1225,286.94,194.363,1225,291.01099999999997,194.34599999999998,1208,295.278,194.96599999999998,1208,309.418,191.977,1238,313.63,190.921,1238,318.409,190.898,1247,322.303,192.041,1252,325.151,193.953,1256,324.867,195.995,1252,321.596,194.565,1243,317.97700000000003,193.86700000000002,1243,313.672,193.97799999999998,1234,309.438,194.672,1229,298.873,201.22099999999998,1216,297.993,205.18200000000002,1216,296.248,208.827,1212,293.53700000000003,212.31799999999998,1212,294.643,215.919,1212,300.217,215.625,1212,304.092,215.59599999999998,1221,309.743,215.77700000000002,1225,310.866,212.109,1225,308.242,208.672,1225,306.72700000000003,205.083,1221,306.002,201.13400000000001,1221,291.046,226.95,1208,294.329,223.51,1204,298.399,221.28799999999998,1208,302.12,221.642,1216,305.732,221.15400000000002,1221,309.992,223.21599999999998,1225,313.495,226.555,1238,310.436,228.524,1229,306.928,229.703,1221,302.243,230.196,1216,297.60900000000004,229.899,1208,294.066,228.81400000000002,1204,293.328,226.52900000000002,1204,297.534,224.843,1208,302.171,224.44099999999997,1212,306.861,224.71,1221,311.246,226.24,1229,306.85200000000003,226.31,1221,302.182,226.408,1216,297.561,226.43200000000002,1208,273.406,203.72099999999998,1229,272.84,210.35,1234,272.95099999999996,216.782,1238,273.94,223.435,1243,275.78,229.826,1243,278.95,235.605,1247,283.258,240.03,1243,288.60400000000004,243.514,1243,295.005,245.865,1243,302.379,246.727,1252,309.975,245.78799999999998,1265,316.76599999999996,243.38,1284,322.519,239.49,1294,326.992,234.581,0,329.996,228.65599999999998,1314,331.724,222.166,1536,332.598,215.533,0,332.715,209.05200000000002,1314,332.19699999999995,202.62900000000002,1294,288.697,201.40400000000002,1216,316.288,201.03599999999997,1234,302.198,213.106,1212,296.2,189.795,1208,291.52099999999996,188.699,1204,286.132,188.822,1221,281.461,190.387,1234,278.26099999999997,192.71400000000003,1234,308.578,189.487,1238,313.187,188.34900000000002,1243,318.86,188.33599999999998,1252,323.65,189.77599999999998,1252,326.883,191.93200000000002,1256
289.371,200.795,1234,286.724,199.649,1238,283.592,199.588,1243,280.635,200.81,1243,278.52,203.049,1243,281.207,203.18400000000003,1243,284.194,202.84,1243,287.065,201.99599999999998,1238,305.70099999999996,198.477,1247,307.843,196.763,1256,310.843,195.85299999999998,1256,313.95799999999997,196.192,1261,316.343,197.748,1270,314.121,198.592,1261,311.177,199.015,1256,308.22,198.97099999999998,1256,289.056,189.99099999999999,1238,283.995,189.93,1247,278.842,191.171,1256,275.434,193.734,1256,273.305,196.79,1252,274.079,198.079,1247,276.808,195.546,1247,280.08799999999997,193.803,1252,284.599,192.942,1243,289.336,192.743,1238,303.14099999999996,188.005,1256,307.635,186.696,1265,312.926,186.495,1270,316.839,187.99900000000002,1280,319.441,190.19299999999998,1289,318.942,191.743,1284,315.9,190.065,1275,312.443,189.326,1265,307.89599999999996,189.722,1261,303.475,190.76,1256,294.23,199.58700000000002,1234,294.028,202.947,1234,292.759,206.062,1234,290.51599999999996,209.192,1229,292.183,212.351,1229,297.512,210.472,1234,301.118,209.956,1238,306.344,210.22400000000002,1243,307.009,206.769,1247,304.082,204.257,1247,302.144,201.65,1243,301.019,198.578,1243,290.16,223.206,1234,292.697,219.107,1225,296.334,215.892,1225,299.942,215.72,1229,303.324,214.83700000000002,1238,307.438,216.81799999999998,1243,310.71,220.08599999999998,1252,308.163,220.959,1247,305.003,221.62900000000002,1243,300.905,222.34099999999998,1234,296.665,223.03400000000002,1234,293.08799999999997,223.36900000000003,1234,292.698,221.997,1229,296.029,219.69799999999998,1225,300.279,218.604,1225,304.464,218.451,1234,308.024,219.68900000000002,1243,304.322,218.622,1234,300.28,218.77200000000002,1225,296.185,219.84099999999998,1225,268.459,207.253,1256,268.894,213.278,1261,269.868,219.06099999999998,1270,271.47,224.877,1270,273.862,230.32299999999998,1275,277.423,234.859,1270,282.399,237.88099999999997,1261,288.465,239.793,1261,295.5,240.65400000000002,1261,303.305,240.13400000000001,1270,310.647,238.205,1284,316.937,235.179,1304,321.882,231.05900000000003,1314,325.20599999999996,226.05200000000002,0,326.64099999999996,220.707,1304,326.968,215.084,1536,326.8,209.488,1294,326.02,204.171,1299,324.655,198.794,1294,283.914,201.489,1243,311.026,197.701,1256,298.94,208.66,1234,289.286,187.49,1238,283.809,187.44099999999997,1252,277.642,188.96400000000003,1256,273.335,192.204,1256,270.914,195.644,1261,302.27099999999996,185.666,1261,307.181,184.24900000000002,1275,313.572,184.03,1280,318.573,185.93599999999998,1294,321.563,188.421,1294
290.653,203.07,1208,288.078,201.429,1208,284.832,200.963,1212,281.657,201.84599999999998,1221,279.355,203.858,1221,281.901,204.532,1216,284.957,204.608,1212,288.041,204.092,1208,307.966,202.428,1225,310.432,200.639,1225,313.711,199.93099999999998,1225,316.94599999999997,200.578,1238,319.317,202.419,1243,316.871,203.265,1234,313.768,203.518,1225,310.621,203.22299999999998,1225,291.649,193.16400000000002,1204,286.784,192.24099999999999,1204,281.577,192.58900000000003,1221,277.66200000000003,194.38099999999997,1225,274.98400000000004,196.99200000000002,1221,275.522,198.79,1221,278.61400000000003,196.835,1221,282.198,195.678,1221,286.785,195.502,1208,291.54,196.037,1204,306.20599999999996,192.459,1229,311.073,191.26,1234,316.645,191.24,1243,320.808,192.79,1247,323.625,195.112,1252,323.13,196.99200000000002,1252,319.845,195.247,1243,316.063,194.359,1238,311.192,194.514,1229,306.371,195.358,1225,295.447,202.572,1208,294.64799999999997,206.65900000000002,1208,292.876,210.342,1208,290.029,213.80700000000002,1208,291.135,217.588,1208,296.941,217.15599999999998,1208,300.939,217.024,1212,306.992,217.08900000000003,1221,308.053,213.23,1225,305.224,209.945,1221,303.626,206.372,1221,302.918,202.31799999999998,1221,287.297,228.977,1204,290.80400000000003,225.377,1204,295.116,222.963,1204,299.059,223.31900000000002,1208,302.943,222.65400000000002,1216,307.569,224.696,1221,311.464,228.003,1234,308.13,229.983,1225,304.325,231.176,1221,299.334,231.75799999999998,1212,294.42400000000004,231.638,1208,290.6,230.737,1208,289.598,228.43900000000002,1204,294.107,226.692,1204,299.134,226.226,1204,304.298,226.308,1216,309.154,227.673,1225,304.32099999999997,227.65200000000002,1221,299.189,227.826,1204,294.154,228.021,1204,269.502,206.058,1225,269.053,212.956,1229,269.33799999999997,219.59599999999998,1238,270.406,226.417,1243,272.324,233.00400000000002,1252,275.57,238.858,1256,279.98900000000003,243.202,1252,285.465,246.623,1247,292.085,248.894,1247,299.79400000000004,249.643,1256,307.649,248.49900000000002,1270,314.687,245.89700000000002,1284,320.564,241.793,1294,325.073,236.667,1299,328.015,230.485,1536,329.631,223.773,1536,330.43300000000005,216.935,0,330.494,210.28799999999998,0,329.9,203.50900000000001,0,284.934,203.05,1208,313.704,202.0,1225,299.024,214.523,1208,292.41700000000003,190.487,1204,287.126,189.495,1200,280.906,189.933,1229,275.995,192.209,1229,272.927,195.166,1225,305.397,189.826,1238,310.688,188.543,1238,317.286,188.555,1252,322.444,190.511,1252,325.64099999999996,193.132,1261
302.84,222.574,1179,299.827,221.218,1183,296.332,220.863,1191,292.909,220.979,1195,289.91,221.66099999999997,1191,292.582,223.05900000000003,1195,295.991,223.551,1191,299.518,223.31099999999998,1183,320.096,222.055,1204,322.64799999999997,220.61700000000002,1208,325.983,220.171,1216,329.176,220.252,1221,331.675,221.025,1225,329.26199999999994,222.364,1221,326.181,222.86,1216,322.91,222.662,1208,303.6,214.46900000000002,1179,297.828,212.757,1191,291.42,211.59900000000002,1195,286.856,212.86599999999999,1195,283.466,215.05900000000003,1195,284.575,216.75400000000002,1195,288.04900000000004,215.74599999999998,1195,291.92400000000004,215.38099999999997,1195,297.322,215.957,1191,302.65,217.03799999999998,1179,319.717,214.65900000000002,1204,324.653,212.797,1212,329.86300000000006,211.24400000000003,1221,333.865,211.919,1229,336.349,213.796,0,335.575,215.69099999999997,0,333.05199999999996,215.065,1234,329.773,215.111,1225,325.39799999999997,215.982,1216,320.693,217.173,1204,308.133,222.537,1179,308.03700000000003,228.322,1191,306.655,233.551,1195,302.993,237.458,1200,303.807,241.83599999999998,1204,310.541,242.954,1216,315.652,242.838,1225,319.883,241.47,1225,320.328,237.34599999999998,1221,317.409,233.418,1212,316.014,227.905,1204,315.714,222.394,1204,299.45799999999997,250.27900000000002,1212,303.913,249.707,1212,308.317,249.109,1216,311.817,249.861,1221,315.057,248.93099999999998,1229,318.406,249.195,1256,321.72900000000004,249.40400000000002,0,319.178,252.99099999999999,1284,316.117,255.23,1284,311.666,256.19599999999997,1261,306.57599999999996,255.44,1225,302.752,253.315,1221,302.231,250.821,1212,306.805,251.41299999999998,1221,311.533,251.89,1225,315.77299999999997,251.17,1252,319.572,250.158,1261,316.122,251.315,1256,311.793,251.918,1225,306.848,251.572,1221,275.041,220.1,1208,276.02099999999996,227.738,1208,277.72,235.59599999999998,1216,280.075,243.15400000000002,1225,283.402,249.583,1234,287.673,254.794,1238,292.385,258.88,1243,297.64099999999996,262.485,1261,303.66200000000003,264.827,1275,310.54,265.53,1280,316.664,263.572,1289,320.981,259.76099999999997,1299,324.373,255.357,1314,327.587,250.888,1339,330.60400000000004,245.68599999999998,1522,333.03,239.84400000000002,1522,335.233,233.6,0,336.765,227.09099999999998,0,337.106,220.19099999999997,0,296.23900000000003,222.15200000000002,1191,325.991,221.50099999999998,1216,312.158,238.859,1212,304.551,211.304,1179,298.607,209.545,1187,291.29200000000003,208.303,1191,285.535,209.856,1195,281.705,212.28400000000002,1200,318.535,211.56099999999998,1208,323.528,209.65200000000002,1208,329.584,207.91299999999998,1225,335.157,208.868,1238,338.351,211.148,0
289.623,200.671,1234,286.941,199.44,1238,283.795,199.315,1238,280.801,200.55,1238,278.611,202.864,1238,281.34,203.065,1243,284.384,202.76,1238,287.283,201.925,1234,306.19,198.477,1247,308.389,196.738,1252,311.347,195.824,1256,314.365,196.23,1261,316.589,197.918,1265,314.492,198.752,1261,311.64599999999996,199.15900000000002,1256,308.72700000000003,199.062,1252,289.736,189.555,1234,284.481,189.42,1243,279.151,190.671,1247,275.499,193.282,1247,273.139,196.422,1243,273.911,197.894,1243,276.882,195.27599999999998,1243,280.36,193.48,1243,285.07099999999997,192.614,1238,290.005,192.481,1238,303.724,187.805,1256,308.149,186.553,1261,313.293,186.47099999999998,1270,317.095,187.993,1284,319.635,190.26,1284,319.171,191.89,1280,316.202,190.165,1275,312.85900000000004,189.362,1261,308.418,189.702,1256,304.09,190.715,1252,294.737,199.423,1229,294.582,202.99599999999998,1229,293.29900000000004,206.19099999999997,1229,290.902,209.28599999999997,1225,292.664,212.674,1225,298.673,210.833,1229,302.301,210.34900000000002,1238,307.361,210.457,1243,307.95799999999997,206.83700000000002,1243,305.01,204.28599999999997,1243,302.942,201.643,1238,301.695,198.41299999999998,1238,289.512,223.528,1229,292.796,219.53599999999997,1225,297.019,216.39700000000002,1221,300.885,216.25900000000001,1225,304.476,215.338,1234,308.635,217.142,1243,311.942,220.25400000000002,1256,309.138,221.31,1252,305.86,221.97400000000002,1238,301.633,222.683,1229,297.125,223.43,1229,293.10200000000003,223.831,1229,291.953,222.416,1225,296.29400000000004,220.175,1225,301.095,219.123,1225,305.591,218.838,1234,309.541,219.85299999999998,1243,305.452,218.93200000000002,1234,301.05400000000003,219.132,1225,296.346,220.243,1225,266.69,207.24200000000002,1256,267.193,213.808,1256,268.199,220.097,1261,269.79,226.44799999999998,1265,272.31,232.332,1280,276.20599999999996,237.12400000000002,1280,281.606,240.112,1265,288.143,241.888,1261,295.643,242.514,1261,303.788,241.826,1275,311.091,239.77900000000002,1299,317.16700000000003,236.64700000000002,1314,321.843,232.426,1304,324.931,227.282,0,326.127,221.72299999999998,1542,326.311,215.89700000000002,0,326.033,210.09900000000002,0,325.142,204.66299999999998,0,323.695,199.138,1284,284.097,201.324,1238,311.468,197.77,1256,299.77099999999996,208.864,1234,289.95599999999996,186.937,1229,284.279,186.81099999999998,1243,277.96,188.33599999999998,1252,273.455,191.583,1252,270.817,195.079,1252,302.85200000000003,185.345,1261,307.707,183.983,1275,313.944,183.898,1284,318.829,185.845,1294,321.769,188.428,1294
