0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
305.486,208.166,1225,302.944,206.08,1225,299.592,205.215,1238,296.112,205.355,1238,293.23900000000003,206.43200000000002,1238,295.927,207.76,1238,299.192,208.418,1234,302.55400000000003,208.485,1229,322.601,210.31799999999998,1247,325.325,209.143,1247,328.639,209.148,1256,331.6,210.107,1265,333.673,211.93,1275,331.10900000000004,212.388,1270,328.12699999999995,212.183,1256,325.14,211.422,1247,307.223,198.484,1221,301.717,196.545,1234,295.639,195.562,1243,291.12,197.00400000000002,1243,287.88,199.495,1243,288.46299999999997,201.231,1243,292.027,199.644,1243,295.943,199.062,1238,301.268,199.764,1225,306.555,201.25,1221,323.254,200.81,1252,328.125,200.248,1261,333.11699999999996,200.49200000000002,1280,336.417,202.562,1289,338.181,205.285,0,337.25699999999995,206.952,1280,335.061,205.012,1280,332.1,203.829,1270,327.827,203.47799999999998,1256,323.224,203.602,1252,310.735,208.546,1229,310.158,213.468,1238,308.281,217.4,1238,304.871,220.299,1234,305.284,224.355,1238,311.536,225.50900000000001,1243,315.757,225.915,1247,320.298,226.08700000000002,1252,321.514,222.394,1252,319.393,218.75599999999997,1247,318.388,214.112,1243,318.491,209.25400000000002,1243,302.087,233.168,1234,305.464,231.412,1234,309.568,230.206,1238,312.872,231.34900000000002,1243,316.131,230.94799999999998,1252,319.284,232.893,1261,321.954,235.294,1265,319.46299999999997,237.39700000000002,1270,316.323,238.517,1265,312.26599999999996,238.40099999999998,1256,308.035,237.542,1238,304.818,235.896,1229,304.752,233.38299999999998,1229,308.42400000000004,233.4,1234,312.439,233.96099999999998,1243,316.243,234.263,1256,319.671,234.99,1261,316.493,234.547,1256,312.76099999999997,233.959,1243,308.70799999999997,233.44400000000002,1234,280.142,207.68,1247,279.921,215.99599999999998,1252,280.52299999999997,223.923,1256,281.67400000000004,231.481,1261,283.955,237.926,1265,287.452,243.063,1270,292.017,247.173,1270,297.346,250.47400000000002,1275,303.666,252.72299999999998,1289,310.768,253.56,1299,317.25,252.362,1314,322.087,249.39700000000002,1319,325.755,245.718,1324,328.908,241.489,1529,331.43800000000005,236.653,1529,333.711,231.232,1536,335.902,225.356,1542,337.374,219.27900000000002,0,338.046,212.764,0,299.381,206.989,1234,328.277,210.83,1256,313.367,222.58900000000003,1243,308.311,195.423,1221,302.526,193.4,1238,295.434,192.32,1243,289.688,194.08,1247,285.97900000000004,196.84799999999998,1247,323.02299999999997,197.55599999999998,1256,328.185,197.016,1261,334.23,197.46200000000002,1284,338.75800000000004,200.287,0,340.93800000000005,203.528,0
325.176,223.239,1238,322.877,221.215,1238,319.883,219.977,1247,316.703,219.28599999999997,1252,313.601,219.226,1256,316.007,221.06,1252,318.98400000000004,222.31099999999998,1252,322.131,223.023,1243,340.339,227.793,1275,343.022,227.452,1280,345.945,228.071,1289,348.403,229.144,1294,350.11199999999997,230.692,0,347.793,230.888,1289,345.156,230.31,1289,342.542,229.213,1280,328.501,216.33900000000003,1238,323.619,213.34099999999998,1243,318.151,210.983,1256,313.505,210.812,1256,309.66,211.833,1256,309.622,213.82,1256,313.597,213.699,1256,317.54900000000004,214.386,1256,322.478,216.217,1243,327.32099999999997,218.75599999999997,1238,342.04,221.222,1275,346.458,221.16099999999997,1289,350.79699999999997,221.582,0,353.652,223.21400000000003,0,355.069,225.457,1549,354.0,227.09900000000002,1542,352.212,225.692,0,349.686,224.696,0,345.999,224.076,1280,341.82,223.69799999999998,1275,330.115,224.732,1238,328.616,229.465,1252,326.111,233.033,1261,322.063,235.06,1256,321.848,239.05700000000002,1261,328.2,242.033,1280,332.591,243.238,1289,336.529,243.165,1294,337.94699999999995,239.831,1289,336.423,236.033,1280,336.157,231.36599999999999,1275,336.93,226.64700000000002,1270,314.27299999999997,245.11599999999999,1261,319.228,245.361,1270,324.259,245.986,1275,327.5,247.665,1289,330.795,247.94799999999998,1294,333.44199999999995,249.42,1304,335.50800000000004,251.132,1522,332.31199999999995,253.75400000000002,0,328.98900000000003,255.043,1314,324.814,254.65,1294,320.255,252.75,1275,316.91,249.68599999999998,1265,316.369,246.183,1261,321.76099999999997,247.65900000000002,1270,326.512,249.426,1289,330.468,250.18200000000002,1299,333.538,251.078,1299,330.101,251.583,1299,325.999,250.891,1280,321.019,248.96099999999998,1270,296.555,215.572,1261,295.066,223.63400000000001,1265,294.327,231.65400000000002,1270,294.36,239.43599999999998,1280,296.057,246.27599999999998,1280,299.262,252.033,1284,303.38599999999997,256.74,1289,308.319,260.79900000000004,1309,314.284,263.926,1324,320.842,265.762,1324,326.586,265.161,1334,330.901,262.44,1355,334.548,259.20599999999996,1376,338.156,255.812,1522,341.68199999999996,251.83,1522,345.152,247.28400000000002,1522,348.366,242.391,1529,350.819,237.166,1529,352.57199999999995,231.61900000000003,1536,319.42,221.167,1247,345.414,229.196,1289,330.214,238.93099999999998,1275,330.085,213.752,1243,325.017,210.649,1252,318.83,208.032,1261,313.188,207.81,1256,308.901,208.916,1256,342.065,218.217,1275,346.659,218.188,1284,351.759,218.79,0,355.728,221.095,1542,357.599,223.882,1542
303.671,209.967,1212,301.154,207.959,1208,297.83299999999997,207.017,1221,294.355,206.946,1225,291.404,207.736,1225,293.997,209.203,1225,297.246,210.003,1225,300.623,210.208,1216,320.58799999999997,212.435,1234,323.285,211.407,1238,326.547,211.52900000000002,1243,329.465,212.437,1256,331.491,214.09799999999998,1261,328.95599999999996,214.606,1252,326.018,214.382,1243,323.067,213.577,1238,305.85900000000004,200.46599999999998,1208,300.35900000000004,198.227,1216,294.248,196.835,1229,289.66900000000004,198.079,1234,286.27099999999996,200.343,1229,287.052,202.081,1225,290.56,200.817,1229,294.45099999999996,200.46900000000002,1225,299.7,201.456,1212,304.842,203.118,1204,321.512,203.19,1243,326.28700000000003,202.597,1252,331.11300000000006,202.702,1265,334.407,204.584,1275,336.17900000000003,207.166,1280,335.209,208.838,1275,333.048,207.12900000000002,1265,330.11699999999996,206.114,1261,326.029,205.833,1252,321.622,205.958,1238,309.084,210.468,1225,308.363,215.49400000000003,1225,306.385,219.595,1225,302.752,222.55900000000003,1221,303.089,226.697,1225,309.507,228.023,1234,313.79900000000004,228.567,1238,318.215,228.81,1247,319.517,225.00599999999997,1247,317.408,221.05200000000002,1238,316.488,216.232,1234,316.615,211.365,1234,299.45599999999996,235.615,1225,303.11,233.9,1225,307.357,232.847,1229,310.65,233.997,1238,313.888,233.71599999999998,1243,316.945,235.62099999999998,1252,319.546,237.981,1265,316.981,240.55700000000002,1265,313.869,241.93099999999998,1261,309.695,241.942,1252,305.223,240.74400000000003,1229,301.992,238.639,1225,302.25,236.018,1225,305.875,235.96400000000003,1225,310.053,236.6,1238,313.937,237.011,1247,317.248,237.798,1261,314.16200000000003,237.752,1252,310.29200000000003,237.338,1238,306.069,236.548,1225,278.126,206.83900000000003,1238,277.677,214.57,1238,278.003,222.25,1238,278.925,229.801,1243,280.926,236.50400000000002,1247,284.124,242.072,1252,288.46299999999997,246.72099999999998,1256,293.66900000000004,250.69799999999998,1265,299.877,253.627,1275,307.134,255.092,1294,313.76099999999997,254.11900000000003,1309,318.731,251.111,1324,322.64599999999996,247.262,1515,326.055,243.01,1522,328.921,238.255,1522,331.444,232.873,1529,333.785,227.092,1522,335.36699999999996,221.175,0,336.06,214.80599999999998,0,297.536,208.63,1221,326.177,213.05900000000003,1247,311.334,225.03900000000002,1234,307.082,197.477,1221,301.335,195.15099999999998,1221,294.214,193.608,1234,288.39799999999997,195.108,1234,284.54900000000004,197.608,1234,321.218,199.97799999999998,1243,326.23900000000003,199.40099999999998,1252,332.05800000000005,199.667,1270,336.61,202.248,1275,338.839,205.342,0
296.322,205.52200000000002,1225,293.688,203.27700000000002,1225,290.123,202.363,1229,286.533,202.972,1234,283.841,204.94299999999998,1234,286.56,206.05900000000003,1234,289.969,206.49599999999998,1229,293.4,206.22,1225,312.866,206.497,1238,315.605,204.72299999999998,1243,319.28,204.222,1247,322.753,205.253,1256,325.01599999999996,207.428,1261,322.432,208.192,1256,319.108,208.205,1247,315.755,207.53599999999997,1243,297.769,196.071,1208,291.762,194.507,1225,285.048,194.21200000000002,1238,280.622,196.476,1238,277.776,199.697,1238,279.04400000000004,200.775,1238,282.154,198.577,1238,285.862,197.412,1238,291.45099999999996,197.767,1221,297.004,198.88099999999997,1208,312.168,196.91,1247,318.092,196.108,1261,324.688,196.577,1265,328.87199999999996,199.324,1275,331.205,202.623,0,329.81300000000005,203.645,0,327.19,201.23,1270,323.657,199.705,1256,318.177,199.377,1256,312.608,199.774,1243,300.91,205.437,1225,300.26599999999996,209.78,1225,298.52,213.334,1225,295.606,216.18200000000002,1225,296.311,220.16099999999997,1225,301.965,220.206,1225,306.048,220.451,1238,311.552,220.984,1243,312.634,217.18099999999998,1243,309.994,213.893,1238,308.707,210.123,1238,308.47700000000003,205.817,1238,292.22,231.078,1225,295.744,228.19400000000002,1221,300.07599999999996,226.187,1225,303.819,227.028,1234,307.54,226.61700000000002,1238,311.502,228.942,1247,314.594,232.166,1265,311.774,233.71200000000002,1256,308.149,234.657,1247,303.518,234.813,1238,298.742,234.21599999999998,1234,295.066,232.97799999999998,1225,295.03,230.75400000000002,1225,298.905,229.75400000000002,1225,303.658,229.84900000000002,1234,308.303,230.262,1243,311.904,231.623,1252,308.23,231.081,1243,303.60400000000004,230.87900000000002,1234,298.94599999999997,230.59,1225,273.968,205.674,1238,273.566,212.817,1243,273.92400000000004,219.864,1243,274.897,226.938,1247,276.70799999999997,233.61599999999999,1256,279.849,239.451,1256,283.994,243.618,1261,289.073,247.207,1261,295.316,249.862,1261,302.81,251.24900000000002,1284,310.277,250.454,1299,316.781,248.238,1314,322.095,244.69099999999997,1522,326.445,240.266,1522,329.599,234.47299999999998,1529,331.423,228.197,1536,332.73199999999997,221.67,1542,333.346,215.312,0,333.35,208.44400000000002,0,290.055,204.732,1229,319.10200000000003,206.507,1247,304.079,217.799,1229,298.56,193.315,1216,292.193,191.68900000000002,1229,284.254,191.44,1243,278.473,194.322,1243,275.16700000000003,197.97099999999998,1243,311.709,194.074,1247,317.98400000000004,193.252,1261,325.808,193.894,1270,331.295,197.37400000000002,0,334.035,201.12,0
300.561,207.06400000000002,1225,298.132,204.47799999999998,1221,294.559,203.171,1229,290.819,203.442,1238,287.849,205.207,1238,290.496,206.649,1238,293.981,207.449,1229,297.53700000000003,207.5,1225,316.966,209.75599999999997,1247,319.899,208.208,1252,323.70799999999997,208.05900000000003,1256,327.123,209.46599999999998,1270,329.093,211.919,1275,326.461,212.47,1265,323.086,212.15599999999998,1256,319.75,211.108,1252,303.028,197.965,1225,296.823,195.77900000000002,1229,289.765,194.773,1243,284.935,196.729,1243,281.668,199.81799999999998,1238,283.041,200.907,1238,286.39599999999996,198.929,1243,290.298,198.071,1243,296.15,199.0,1221,301.869,200.68099999999998,1216,317.437,200.391,1261,323.597,200.247,1256,330.284,201.416,1280,334.168,204.7,0,336.015,208.308,0,334.356,208.985,0,332.20099999999996,206.31400000000002,0,328.92199999999997,204.41099999999997,1275,323.403,203.502,1256,317.70799999999997,203.28400000000002,1252,305.298,207.548,1238,304.323,211.855,1234,302.29900000000004,215.225,1229,299.225,217.763,1229,299.61,221.859,1234,305.186,222.265,1243,309.164,222.903,1247,314.117,224.019,1252,315.58099999999996,220.335,1252,313.457,216.82299999999998,1243,312.57099999999997,212.956,1243,312.788,208.66099999999997,1243,294.409,232.58700000000002,1225,298.092,230.109,1229,302.557,228.418,1238,306.127,229.606,1243,309.784,229.579,1247,313.02299999999997,232.27599999999998,1261,315.236,235.666,1280,312.754,236.43,1270,309.35400000000004,236.757,1252,305.01099999999997,236.40200000000002,1243,300.45099999999996,235.484,1234,296.955,234.199,1234,297.673,232.487,1229,301.202,231.92,1234,305.592,232.416,1243,309.63,233.225,1247,312.328,234.68900000000002,1265,309.493,233.25099999999998,1247,305.532,232.524,1243,301.308,232.01,1234,276.829,204.641,1238,275.85,211.85299999999998,1243,275.621,219.208,1247,275.926,226.55200000000002,1256,277.154,233.495,1256,279.882,239.662,1261,283.808,244.045,1261,288.752,247.91099999999997,1265,294.961,250.937,1275,302.42400000000004,252.93200000000002,1294,309.813,252.739,1304,316.308,251.13099999999997,1329,321.66900000000004,248.115,1515,326.215,244.166,1522,329.809,238.625,1529,332.19800000000004,232.56799999999998,1536,334.176,226.252,1536,335.465,220.035,1542,336.173,213.274,0,294.242,205.62,1234,323.26099999999997,210.393,1256,307.33,220.149,1243,304.041,195.23,1229,297.506,192.967,1234,289.215,191.9,1247,282.936,194.35299999999998,1243,279.163,197.827,1243,317.335,197.485,1261,323.836,197.364,1261,331.754,198.84599999999998,1284,336.898,203.041,0,339.102,207.16,1549
309.962,212.067,1216,307.448,209.924,1216,304.11400000000003,208.917,1221,300.613,208.847,1225,297.633,209.69400000000002,1225,300.243,211.218,1221,303.5,212.055,1221,306.901,212.278,1221,326.962,214.74099999999999,1234,329.735,213.687,1238,333.05,213.825,1247,335.971,214.799,1252,337.98,216.56099999999998,1256,335.431,217.05,1252,332.459,216.79,1247,329.468,215.93900000000002,1238,312.048,202.71400000000003,1208,306.52,200.426,1229,300.37,198.988,1229,295.724,200.18099999999998,1229,292.306,202.44299999999998,1225,292.954,204.19299999999998,1225,296.573,202.898,1225,300.502,202.576,1229,305.841,203.608,1225,311.08799999999997,205.36,1204,327.88,205.655,1247,332.75699999999995,205.132,1252,337.68199999999996,205.312,1265,340.973,207.298,1270,342.699,209.96900000000002,0,341.685,211.606,0,339.57099999999997,209.803,1265,336.653,208.701,1261,332.47,208.359,1247,327.912,208.425,1238,315.27299999999997,212.669,1216,314.57,217.649,1221,312.608,221.685,1221,308.94599999999997,224.54,1225,309.268,228.636,1225,315.66900000000004,230.153,1238,320.08,230.72400000000002,1238,324.5,230.889,1247,325.759,227.15099999999998,1247,323.64599999999996,223.33,1238,322.767,218.5,1234,322.981,213.609,1234,305.134,237.21900000000002,1221,308.97,235.718,1225,313.358,234.858,1234,316.769,236.084,1238,320.116,235.82,1243,323.256,237.638,1256,325.908,239.94799999999998,1261,323.283,242.605,1261,320.065,244.033,1256,315.783,243.982,1243,311.217,242.774,1238,307.869,240.571,1225,307.693,237.673,1225,311.85400000000004,237.735,1229,316.281,238.52,1238,320.33099999999996,238.933,1247,323.747,239.798,1261,320.465,239.96900000000002,1252,316.42900000000003,239.517,1238,311.89799999999997,238.605,1229,284.16,209.537,1238,283.78700000000003,217.58599999999998,1238,284.255,225.476,1238,285.309,233.074,1243,287.54200000000003,239.646,1252,290.95799999999997,244.975,1256,295.384,249.372,1256,300.569,253.08700000000002,1270,306.758,255.768,1289,313.895,257.017,1309,320.33099999999996,255.91299999999998,1324,325.045,252.81799999999998,1350,328.733,249.06900000000002,1522,332.032,244.93900000000002,1522,334.827,240.29,1522,337.337,235.06,1522,339.675,229.41,0,341.316,223.597,1549,342.175,217.362,1542,303.802,210.625,1225,332.63199999999995,215.424,1247,317.559,227.138,1234,313.298,199.709,1216,307.52099999999996,197.331,1229,300.366,195.736,1234,294.469,197.176,1229,290.58299999999997,199.679,1234,327.658,202.399,1247,332.788,201.899,1252,338.725,202.264,1270,343.282,204.99599999999998,0,345.457,208.204,1542
313.059,215.335,1261,311.01,212.71900000000002,1256,307.784,211.188,1265,304.279,211.049,1270,301.272,212.275,1275,303.585,214.025,1275,306.803,215.166,1275,310.123,215.565,1261,328.366,219.34400000000002,1289,331.245,218.136,1289,334.69199999999995,218.263,1299,337.565,219.709,1309,339.02099999999996,221.993,1314,336.736,222.49099999999999,1314,333.81,222.1,1304,330.839,220.90200000000002,1289,316.51599999999996,208.19400000000002,1261,311.029,205.47299999999998,1270,304.77299999999997,203.71400000000003,1280,299.828,204.52200000000002,1275,296.046,206.544,1275,296.904,208.084,1275,300.59,207.043,1275,304.608,206.938,1275,309.965,208.424,1265,315.168,210.62099999999998,1261,329.42699999999996,211.791,1289,334.653,211.922,1294,340.069,213.097,1309,343.425,215.755,1556,345.168,218.833,1542,343.745,219.703,1549,341.80199999999996,217.56099999999998,1549,338.976,215.92,1304,334.39599999999996,214.935,1294,329.587,214.498,1289,317.78700000000003,216.453,1265,316.507,220.923,1275,314.362,224.31400000000002,1280,311.134,226.53799999999998,1275,311.256,230.674,1280,317.238,232.25599999999997,1294,321.084,233.24400000000003,1294,325.339,233.851,1304,326.878,230.28900000000002,1299,325.16900000000004,226.62400000000002,1294,324.52099999999996,222.581,1289,324.928,218.107,1284,304.291,239.197,1275,308.83099999999996,238.298,1275,313.69599999999997,237.87,1289,317.219,239.387,1299,320.807,239.674,1299,323.741,241.717,1314,325.86,244.27599999999998,1319,323.034,245.31599999999997,1319,319.735,245.605,1314,315.535,244.987,1299,310.947,243.56599999999997,1280,307.3,241.72,1275,307.02299999999997,239.653,1275,311.768,240.398,1284,316.447,241.614,1299,320.524,242.49900000000002,1309,323.694,243.579,1314,320.443,242.575,1309,316.339,241.68599999999998,1299,311.673,240.472,1284,288.08799999999997,209.21099999999998,1280,286.625,216.7,1280,285.806,224.37900000000002,1294,285.545,232.12099999999998,1299,286.48,239.37900000000002,1299,289.298,245.933,1299,293.351,250.47799999999998,1299,298.33,254.485,1304,304.45799999999997,257.559,1324,311.478,259.78,1329,318.082,259.83099999999996,1022,323.647,258.41700000000003,1022,328.27,255.68400000000003,1028,332.48800000000006,252.188,1522,336.301,246.935,1522,339.116,241.15,1522,341.501,235.04,1529,343.17400000000004,229.025,1542,344.352,222.608,1549,307.23900000000003,213.415,1265,334.034,220.36700000000002,1304,319.058,229.72400000000002,1294,317.79400000000004,205.69,1270,312.04900000000004,202.87,1265,304.85,200.925,1280,298.733,201.91,1275,294.495,204.141,1275,329.394,208.97400000000002,1289,334.904,209.135,1294,341.30699999999996,210.597,1314,345.749,214.042,1549,347.849,217.6,1542
303.145,211.43599999999998,1212,300.603,209.125,1212,297.02,208.13099999999997,1225,293.369,208.465,1225,290.494,210.042,1229,293.111,211.525,1229,296.611,212.22,1229,300.156,212.088,1216,319.867,212.97299999999998,1243,322.61400000000003,211.293,1238,326.268,210.903,1252,329.624,211.828,1256,331.744,213.782,1270,329.291,214.74200000000002,1256,326.04,214.845,1247,322.70099999999996,214.113,1238,305.012,201.83700000000002,1216,299.068,199.921,1225,292.427,199.015,1238,287.795,200.78900000000002,1238,284.565,203.625,1238,285.716,204.899,1234,289.065,203.171,1234,292.915,202.41400000000002,1229,298.494,203.139,1221,304.026,204.53099999999998,1208,319.964,203.36900000000003,1247,325.6,202.55,1252,331.67199999999997,202.699,1265,335.624,205.05599999999998,1280,337.805,208.067,0,336.45599999999996,209.093,1275,334.126,207.157,1270,330.847,205.953,1261,325.812,205.76,1252,320.53700000000003,206.135,1238,308.132,211.68,1221,307.531,216.65200000000002,1229,305.782,220.785,1225,302.638,223.865,1225,303.33,228.104,1234,309.316,228.59,1238,313.595,228.96200000000002,1243,318.374,229.158,1252,319.432,225.206,1247,316.971,221.49900000000002,1238,315.83,217.06099999999998,1238,315.77299999999997,212.21900000000002,1238,298.704,238.345,1229,302.557,236.38400000000001,1229,307.078,234.895,1234,310.653,235.87900000000002,1243,314.18,235.524,1252,317.452,237.428,1261,319.882,239.928,1270,317.467,241.88,1275,314.19,243.106,1270,309.82,243.327,1256,305.078,242.46200000000002,1243,301.483,240.805,1234,301.704,238.46200000000002,1229,305.764,238.106,1229,310.255,238.47,1243,314.289,238.77599999999998,1256,317.259,239.61900000000003,1265,314.158,239.468,1256,310.11400000000003,239.388,1247,305.70599999999996,238.838,1229,278.002,209.486,1243,277.878,217.271,1243,278.53700000000003,225.024,1252,279.73400000000004,232.57,1256,281.89,239.345,1261,285.416,245.183,1265,289.781,249.412,1265,294.914,253.155,1275,301.059,255.937,1284,308.387,257.341,1299,315.17,256.29900000000004,1314,320.737,253.56099999999998,1319,325.212,249.75099999999998,1334,329.156,245.32,1522,332.38199999999995,239.68200000000002,1522,334.654,233.653,1529,336.444,227.297,1536,337.583,220.957,0,338.074,214.09,0,296.814,210.37900000000002,1225,326.018,213.06,1247,311.18,225.771,1238,306.002,199.005,1221,299.784,197.03,1225,292.024,196.071,1238,286.041,198.293,1243,282.33799999999997,201.472,1243,319.46,200.423,1247,325.37,199.59,1252,332.583,199.864,1270,337.875,202.91,0,340.5,206.378,1556
298.744,207.042,1221,296.056,204.73,1221,292.431,203.82299999999998,1229,288.807,204.528,1234,286.153,206.642,1234,288.83099999999996,207.78799999999998,1229,292.302,208.199,1225,295.802,207.829,1221,315.329,207.734,1238,318.073,205.817,1243,321.817,205.19099999999997,1247,325.36400000000003,206.19799999999998,1252,327.586,208.426,1261,325.039,209.31,1252,321.664,209.41,1243,318.256,208.765,1243,300.053,197.171,1212,293.711,195.69799999999998,1229,286.585,195.54,1238,282.13,198.141,1238,279.408,201.696,1238,280.883,202.62,1238,283.866,200.15900000000002,1238,287.51599999999996,198.792,1238,293.403,199.04,1221,299.22900000000004,200.074,1212,314.616,197.78599999999997,1247,320.874,196.894,1252,327.85900000000004,197.31099999999998,1261,332.094,200.25799999999998,0,334.267,203.74599999999998,0,332.727,204.61900000000003,1280,330.26800000000003,202.093,1280,326.76099999999997,200.50400000000002,1261,321.032,200.236,1252,315.183,200.73,1243,303.35,206.90200000000002,1229,302.803,211.321,1225,301.097,214.933,1225,298.198,217.78400000000002,1225,298.934,221.86900000000003,1225,304.53700000000003,221.775,1229,308.545,221.93599999999998,1238,313.937,222.378,1243,314.987,218.482,1238,312.39599999999996,215.28799999999998,1238,311.123,211.498,1234,310.94,207.15,1234,294.747,232.84599999999998,1225,298.30400000000003,230.078,1221,302.632,227.99099999999999,1225,306.341,228.821,1234,310.072,228.297,1238,313.903,230.52700000000002,1247,316.915,233.511,1261,314.16,234.7,1261,310.58,235.437,1247,306.05,235.595,1234,301.353,235.213,1225,297.65,234.31599999999997,1229,297.70099999999996,232.422,1225,301.495,231.582,1225,306.135,231.658,1234,310.643,231.90200000000002,1238,314.12,232.93200000000002,1252,310.559,231.905,1238,306.119,231.657,1234,301.58,231.612,1225,275.881,207.551,1238,275.64599999999996,214.83700000000002,1247,276.199,222.071,1243,277.219,229.233,1252,279.067,235.952,1256,282.246,241.72299999999998,1261,286.428,245.68200000000002,1261,291.533,249.063,1265,297.83,251.498,1270,305.372,252.69799999999998,1280,312.69599999999997,251.722,1299,319.07599999999996,249.39,1314,324.209,245.768,1324,328.39300000000003,241.303,1522,331.41,235.419,1529,333.17400000000004,229.11700000000002,1529,334.48400000000004,222.593,1542,335.155,216.21400000000003,0,335.195,209.222,0,292.39099999999996,206.32299999999998,1225,321.64099999999996,207.606,1243,306.579,219.30599999999998,1229,300.774,194.299,1216,294.079,192.78099999999998,1225,285.677,192.709,1238,279.812,196.014,1243,276.632,200.037,1238,314.21,194.872,1252,320.82099999999997,193.96200000000002,1256,329.092,194.56,1275,334.666,198.301,0,337.227,202.27,0
321.20799999999997,220.622,1216,319.17900000000003,218.321,1212,316.276,216.80700000000002,1225,313.039,215.967,1234,309.903,215.90200000000002,1234,312.20599999999996,217.825,1234,315.12,219.24200000000002,1225,318.21299999999997,220.171,1221,336.04,226.106,1256,338.73699999999997,225.801,1261,341.63,226.546,1270,343.98199999999997,227.803,1270,345.435,229.549,0,343.18300000000005,229.607,1275,340.647,228.87400000000002,1270,338.13599999999997,227.636,1265,325.405,213.34900000000002,1221,320.661,210.02200000000002,1225,315.286,207.322,1238,310.617,207.019,1238,306.664,207.91099999999997,1234,306.668,209.956,1234,310.595,209.985,1238,314.53700000000003,210.84599999999998,1238,319.33799999999997,212.96400000000003,1221,323.98,215.731,1216,338.366,218.905,1261,342.6,219.107,1270,346.64300000000003,219.825,1275,349.29,221.63,1536,350.551,223.959,1542,349.411,225.56,1536,347.68199999999996,224.02599999999998,1536,345.26599999999996,222.878,1275,341.845,222.054,1270,337.967,221.477,1256,326.30400000000003,222.44799999999998,1225,324.587,227.149,1238,321.921,230.725,1238,317.806,232.812,1238,317.54400000000004,236.923,1243,323.884,239.912,1261,327.975,241.297,1270,331.79,241.738,1275,333.592,238.292,1270,332.32,234.107,1261,332.129,229.34400000000002,1252,332.89099999999996,224.623,1252,310.382,243.34,1243,315.275,243.495,1247,320.2,244.088,1256,323.243,245.878,1270,326.407,246.298,1284,328.835,248.15900000000002,1289,330.767,250.207,1355,327.755,252.30700000000002,1350,324.628,253.114,1294,320.663,252.446,1280,316.263,250.357,1256,312.985,247.41099999999997,1243,312.795,244.463,1247,317.66200000000003,246.071,1256,322.078,247.93,1270,325.827,248.91099999999997,1284,328.832,249.919,1289,325.82,249.56599999999997,1284,322.034,248.49,1270,317.4,246.59400000000002,1256,293.26599999999996,210.922,1238,291.293,218.668,1243,289.994,226.565,1252,289.452,234.43099999999998,1256,290.54,241.639,1256,293.297,247.92,1261,297.311,253.295,1261,302.308,258.024,1280,308.459,261.839,1294,315.401,264.369,1304,321.553,264.20799999999997,1309,326.243,261.707,1319,330.28,258.502,1334,334.096,255.049,1360,337.70599999999996,250.94299999999998,1522,341.152,246.27200000000002,1522,344.222,241.321,1529,346.462,236.172,1536,348.101,230.739,1536,315.643,218.107,1225,340.974,227.74,1270,325.85400000000004,236.976,1256,327.13599999999997,210.875,1229,322.212,207.43,1225,316.08799999999997,204.41400000000002,1243,310.393,204.021,1238,306.01099999999997,204.98,1238,338.58,215.91400000000002,1261,343.022,216.165,1270,347.83,217.13,0,351.51099999999997,219.671,1542,353.17400000000004,222.55599999999998,1542
