0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
301.994,201.668,1225,299.291,199.77,1225,295.873,198.965,1225,292.303,199.537,1234,289.47900000000004,201.372,1238,292.366,202.14,1234,295.741,202.457,1225,299.094,202.22099999999998,1225,318.935,202.65,1243,321.759,201.322,1238,325.248,200.987,1238,328.539,202.017,1247,330.724,204.09099999999998,1256,328.186,204.467,1252,324.98400000000004,204.28900000000002,1243,321.791,203.623,1238,303.763,191.38400000000001,1221,297.80400000000003,190.06099999999998,1225,291.29,190.13400000000001,1238,286.952,192.47099999999998,1238,284.121,195.574,1234,285.052,196.59799999999998,1238,288.4,194.299,1238,292.207,193.02700000000002,1238,297.697,193.21599999999998,1225,303.20799999999997,194.185,1225,318.402,192.287,1243,324.053,191.857,1247,330.319,192.793,1270,334.219,195.63,1280,336.389,198.898,0,335.19599999999997,199.84900000000002,1275,332.54400000000004,197.225,1275,329.139,195.52599999999998,1261,323.883,194.956,1238,318.486,195.141,1243,306.889,201.118,1225,306.194,204.678,1225,304.296,207.36700000000002,1225,300.887,209.447,1221,301.578,213.014,1221,308.268,212.787,1225,312.64799999999997,213.05200000000002,1234,318.586,213.929,1243,319.61400000000003,210.572,1243,316.527,207.915,1243,314.968,205.03799999999998,1238,314.582,201.523,1238,296.236,222.321,1221,300.643,219.143,1221,305.868,217.13299999999998,1221,310.119,217.912,1229,314.33799999999997,217.61,1238,319.025,220.054,1247,322.642,223.669,1261,319.133,225.49,1256,315.058,226.407,1243,309.753,226.53099999999998,1238,304.232,225.98,1225,299.827,224.709,1221,298.442,221.958,1221,303.835,220.516,1221,309.889,220.578,1225,315.764,221.139,1243,320.586,223.109,1252,315.707,223.071,1243,309.798,222.87400000000002,1229,303.736,222.44,1225,278.915,203.293,1247,278.33099999999996,209.66,1252,278.44,215.59900000000002,1252,279.163,221.695,1252,280.80400000000003,227.56599999999997,1265,283.759,232.627,1265,288.223,236.43599999999998,1256,293.825,239.668,1256,300.599,242.16099999999997,1261,308.726,243.419,1265,316.531,242.78799999999998,1289,323.177,240.72,1309,328.61199999999997,237.468,1314,332.835,233.22799999999998,1529,335.417,228.34900000000002,1529,336.87800000000004,223.041,1536,337.909,217.55,1549,338.223,212.37599999999998,0,338.045,206.57,0,295.768,201.016,1225,325.02099999999996,202.93099999999998,1238,310.3,211.01,1229,304.47,188.91,1216,298.094,187.521,1225,290.36400000000003,187.68900000000002,1243,284.834,190.65099999999998,1238,281.628,194.15400000000002,1238,318.013,189.731,1252,324.08299999999997,189.29,1252,331.60400000000004,190.46900000000002,1275,336.73,194.08599999999998,1284,339.269,197.81099999999998,0
294.76099999999997,202.93900000000002,1229,292.026,201.09900000000002,1229,288.564,200.44799999999998,1234,285.065,201.233,1238,282.531,203.271,1243,285.244,203.921,1243,288.552,204.06099999999998,1238,291.901,203.638,1229,311.711,203.00099999999998,1243,314.475,201.37099999999998,1243,318.08799999999997,200.801,1252,321.608,201.69799999999998,1252,324.022,203.729,1256,321.337,204.291,1252,317.957,204.28599999999997,1247,314.619,203.801,1243,295.75,193.19099999999997,1221,289.9,192.18,1229,283.439,192.551,1243,279.395,195.075,1243,276.988,198.352,1243,278.051,199.25099999999998,1243,280.91900000000004,196.795,1243,284.406,195.342,1238,289.813,195.269,1234,295.275,195.94400000000002,1225,310.54,193.09400000000002,1247,316.598,192.30200000000002,1256,323.487,192.89,1265,327.79,195.639,1270,330.154,198.86,1280,328.949,199.83700000000002,1275,326.073,197.28099999999998,1270,322.315,195.708,1256,316.58299999999997,195.41,1252,310.758,195.90200000000002,1243,299.20799999999997,202.285,1234,298.438,205.783,1229,296.525,208.604,1225,293.286,211.058,1229,293.913,214.542,1225,299.751,214.127,1225,304.04,214.15900000000002,1238,310.47900000000004,214.822,1247,311.546,211.41299999999998,1252,308.528,208.83,1247,307.132,205.91,1243,306.86400000000003,202.378,1243,289.573,224.833,1225,293.248,221.235,1225,297.853,218.877,1225,301.95,219.46900000000002,1229,306.152,218.94299999999998,1238,311.038,221.362,1247,315.004,224.96099999999998,1261,311.546,226.747,1256,307.39099999999996,227.805,1252,301.944,228.157,1238,296.60900000000004,227.84599999999998,1229,292.647,226.78599999999997,1225,291.857,224.285,1225,296.324,222.511,1225,301.89799999999997,222.257,1234,307.703,222.602,1243,312.639,224.419,1256,307.697,224.355,1243,301.91700000000003,224.36700000000002,1234,296.362,224.263,1225,274.336,205.595,1247,273.745,211.66299999999998,1252,273.966,217.387,1261,274.798,223.25,1261,276.365,229.046,1265,279.022,234.149,1270,282.908,237.997,1265,287.851,241.292,1265,294.061,243.805,1265,301.78700000000003,244.997,1275,309.723,244.25400000000002,1284,316.85,242.155,1299,322.769,238.72,1309,327.367,234.327,1585,330.379,229.083,1536,332.092,223.391,1529,333.221,217.54,1536,333.653,211.93,1334,333.48800000000006,205.707,1355,288.58099999999996,202.576,1238,317.97700000000003,202.872,1252,302.259,212.19400000000002,1229,296.431,190.69,1221,290.153,189.62400000000002,1225,282.45099999999996,190.137,1252,277.172,193.377,1247,274.368,197.114,1243,310.087,190.574,1252,316.577,189.74900000000002,1261,324.73,190.521,1270,330.212,193.988,1289,332.912,197.63,0
301.887,201.55200000000002,1243,299.16200000000003,199.67,1247,295.73,198.94099999999997,1243,292.172,199.672,1247,289.38,201.71900000000002,1252,292.33,202.338,1247,295.732,202.511,1243,299.046,202.174,1247,318.47900000000004,202.18400000000003,1261,321.276,200.78799999999998,1261,324.722,200.38099999999997,1261,327.957,201.412,1270,330.041,203.575,1280,327.57599999999996,203.907,1275,324.44,203.72799999999998,1265,321.297,203.1,1261,303.697,191.648,1238,297.557,190.502,1247,290.922,190.859,1256,286.524,193.42,1252,283.704,196.72,1256,284.76,197.705,1256,288.087,195.21099999999998,1252,291.916,193.745,1256,297.534,193.73,1243,303.17400000000004,194.535,1243,317.83,192.29,1265,323.428,191.84099999999998,1270,329.624,192.81099999999998,1289,333.49800000000005,195.671,1309,335.589,199.02,1294,334.32199999999995,199.91299999999998,1294,331.777,197.238,1284,328.467,195.515,1275,323.279,194.97,1265,317.98400000000004,195.18900000000002,1261,306.784,200.794,1243,306.17900000000003,204.303,1243,304.355,206.84400000000002,1243,301.078,208.888,1243,301.868,212.484,1238,308.699,211.907,1243,312.92400000000004,212.07299999999998,1252,318.61,212.952,1261,319.53,209.572,1256,316.564,207.06799999999998,1261,314.91200000000003,204.44799999999998,1256,314.4,201.017,1256,296.385,222.515,1238,300.737,218.778,1238,306.092,216.395,1243,310.45599999999996,217.03400000000002,1247,314.767,216.702,1256,319.33099999999996,219.25,1265,322.578,223.236,1280,319.347,225.26,1275,315.422,226.38,1261,310.112,226.667,1256,304.512,226.245,1247,300.004,224.986,1238,298.723,222.012,1238,304.07599999999996,220.02200000000002,1238,310.211,219.80900000000003,1247,315.988,220.36900000000003,1256,320.47700000000003,222.62,1270,315.916,222.921,1256,310.128,222.91299999999998,1247,303.99,222.571,1243,278.04400000000004,204.03400000000002,1261,277.492,210.583,1265,277.62,216.74,1270,278.34,223.08,1275,280.041,229.201,1280,283.131,234.457,1280,287.778,238.195,1280,293.673,241.25599999999997,1275,300.796,243.487,1275,309.172,244.523,1289,316.978,243.588,1304,323.468,241.257,1324,328.61400000000003,237.709,1536,332.477,233.15400000000002,1536,334.68800000000005,227.957,1529,335.858,222.44799999999998,1542,336.648,216.80700000000002,0,336.68300000000005,211.63,0,336.226,205.875,0,295.68,201.072,1243,324.473,202.38400000000001,1261,310.453,210.22400000000002,1243,304.275,189.12599999999998,1238,297.709,187.93200000000002,1247,289.882,188.43599999999998,1256,284.356,191.65400000000002,1256,281.186,195.355,1256,317.47700000000003,189.725,1275,323.513,189.26,1275,330.961,190.47400000000002,1299,336.04400000000004,194.12400000000002,1314,338.504,197.94799999999998,0
295.349,202.253,1221,292.869,200.37900000000002,1221,289.612,199.643,1225,286.32599999999996,200.271,1225,283.983,202.097,1229,286.325,202.96400000000003,1225,289.387,203.27900000000002,1225,292.607,202.96900000000002,1221,312.262,202.78799999999998,1229,314.91200000000003,201.142,1234,318.432,200.632,1243,321.85200000000003,201.532,1238,324.197,203.515,1247,321.55,204.201,1243,318.224,204.225,1238,314.967,203.696,1234,296.494,192.481,1212,291.348,191.28599999999997,1212,285.541,191.27900000000002,1229,281.72700000000003,193.24599999999998,1238,279.35200000000003,196.076,1234,280.131,197.28900000000002,1234,282.856,195.24900000000002,1234,286.149,194.144,1229,291.04200000000003,194.304,1221,295.999,195.144,1221,311.346,192.68400000000003,1238,317.157,191.903,1247,323.775,192.40400000000002,1252,327.968,194.855,1256,330.31699999999995,197.75400000000002,1265,329.34,199.023,1265,326.436,196.72400000000002,1256,322.64599999999996,195.30200000000002,1247,317.08099999999996,195.002,1243,311.416,195.445,1234,299.665,202.06,1225,298.59,205.68400000000003,1221,296.52299999999997,208.878,1221,293.343,211.735,1221,293.845,215.28900000000002,1216,298.938,215.27599999999998,1221,302.97700000000003,215.41299999999998,1225,309.34,216.088,1234,310.714,212.612,1234,308.08799999999997,209.576,1229,307.04400000000004,206.15,1229,307.034,202.398,1225,289.683,225.535,1221,293.057,222.502,1216,297.123,220.486,1216,300.793,221.201,1221,304.678,220.747,1225,309.199,223.122,1238,313.097,226.364,1247,309.615,227.535,1243,305.603,228.136,1238,300.52299999999997,228.231,1225,295.78,227.852,1221,292.369,226.97,1216,292.008,225.107,1216,295.91,223.96099999999998,1216,300.665,223.96,1221,305.868,224.33900000000003,1229,310.65,225.778,1243,305.828,224.821,1229,300.693,224.484,1221,295.97900000000004,224.449,1216,276.531,203.78599999999997,1238,275.656,209.782,1238,275.633,215.59099999999998,1243,276.191,221.50099999999998,1243,277.383,227.364,1247,279.608,232.65599999999998,1252,282.932,236.81599999999997,1256,287.216,240.418,1256,292.762,243.21599999999998,1261,299.83099999999996,244.68,1261,307.51099999999997,244.358,1265,314.795,242.676,1289,321.094,239.53,1299,326.157,235.382,1309,329.81800000000004,230.11900000000003,1309,332.17400000000004,224.24599999999998,1542,333.798,218.18200000000002,1542,334.79400000000004,212.11599999999999,1319,335.13800000000003,205.55200000000002,1329,289.557,201.732,1225,318.3,202.71599999999998,1243,301.721,213.108,1225,297.411,189.989,1216,291.863,188.71200000000002,1212,284.897,188.75099999999998,1243,279.862,191.295,1238,277.053,194.53900000000002,1238,310.901,190.13400000000001,1243,317.128,189.321,1252,324.892,189.983,1256,330.108,193.055,1275,332.74800000000005,196.31900000000002,1284
300.113,202.8,1221,297.496,200.66099999999997,1216,294.014,199.81099999999998,1221,290.52099999999996,200.623,1229,287.95599999999996,202.88099999999997,1225,290.67,203.709,1225,293.981,203.968,1221,297.312,203.595,1221,317.026,203.555,1234,319.741,201.785,1238,323.381,201.255,1234,326.866,202.389,1243,329.10699999999997,204.785,1256,326.468,205.36900000000003,1243,323.096,205.267,1234,319.789,204.59099999999998,1234,301.632,192.72099999999998,1208,295.71299999999997,191.481,1212,289.147,191.68900000000002,1234,284.874,194.19299999999998,1229,282.22900000000004,197.58900000000003,1238,283.406,198.713,1234,286.418,196.218,1234,290.064,194.78799999999998,1234,295.569,194.83599999999998,1216,301.073,195.699,1212,316.127,193.255,1238,322.098,192.62900000000002,1243,328.865,193.49200000000002,1256,333.06699999999995,196.46400000000003,1275,335.31699999999995,199.873,1280,333.99699999999996,201.00799999999998,1270,331.26300000000003,198.27,1256,327.60900000000004,196.50900000000001,1247,321.938,195.989,1238,316.28,196.28099999999998,1238,304.78,202.58,1221,303.91900000000004,206.331,1225,302.007,209.43400000000003,1225,299.203,212.238,1221,300.01099999999997,216.083,1221,305.405,215.511,1225,309.183,215.679,1225,314.925,216.767,1234,316.262,213.07299999999998,1234,313.802,209.95,1229,312.506,206.687,1225,312.21,202.90900000000002,1229,295.906,227.89,1212,299.144,224.13299999999998,1212,303.35,221.521,1221,307.139,222.209,1225,310.975,221.842,1225,315.041,224.71599999999998,1238,318.087,228.69799999999998,1247,315.181,229.229,1243,311.514,229.475,1229,306.901,229.429,1221,302.318,229.22099999999998,1216,298.683,228.71200000000002,1212,298.905,227.112,1212,302.39,225.537,1216,306.97900000000004,225.34400000000002,1221,311.572,225.928,1225,315.138,227.735,1238,311.438,226.003,1225,306.985,225.44,1221,302.559,225.638,1216,278.585,204.75099999999998,1234,277.76099999999997,211.438,1243,277.677,218.105,1243,278.17900000000003,224.93099999999998,1243,279.482,231.63400000000001,1256,282.164,237.582,1261,286.24,241.792,1261,291.53700000000003,245.204,1261,298.19,247.666,1261,306.077,248.96,1270,314.139,248.40599999999998,1284,321.509,246.63,1294,327.606,243.268,1314,332.295,238.72799999999998,1522,335.349,232.797,1536,337.001,226.34599999999998,1536,338.12,219.77599999999998,1542,338.537,213.426,0,338.33099999999996,206.69400000000002,0,294.008,202.25599999999997,1221,323.184,203.62400000000002,1234,307.6,213.592,1225,302.33299999999997,189.981,1208,295.98400000000004,188.679,1216,288.163,189.002,1234,282.60200000000003,192.19099999999997,1234,279.517,196.04,1238,315.803,190.47099999999998,1243,322.216,189.82299999999998,1243,330.244,190.919,1265,335.608,194.65900000000002,1275,338.19300000000004,198.50900000000001,0
296.931,202.25799999999998,1216,294.207,200.305,1216,290.654,199.62099999999998,1225,287.094,200.372,1225,284.508,202.388,1229,287.24,203.19,1225,290.635,203.398,1225,294.06,202.975,1221,313.741,202.452,1229,316.46,200.74200000000002,1238,320.152,200.166,1238,323.73900000000003,201.048,1238,326.176,203.06900000000002,1256,323.485,203.75799999999998,1238,320.043,203.801,1234,316.64599999999996,203.28099999999998,1234,297.805,192.33700000000002,1208,291.802,191.229,1225,285.147,191.416,1238,281.053,193.987,1234,278.618,197.363,1229,279.862,198.167,1229,282.677,195.733,1229,286.151,194.32299999999998,1234,291.67,194.342,1225,297.211,195.071,1212,312.812,192.425,1238,318.938,191.56599999999997,1247,325.865,191.995,1252,330.17199999999997,194.78900000000002,1270,332.457,198.07,0,331.094,198.94299999999998,1270,328.399,196.457,1261,324.718,194.94099999999997,1247,319.004,194.701,1238,313.175,195.197,1238,301.445,201.762,1221,300.807,205.55599999999998,1216,299.01,208.69299999999998,1216,295.968,211.387,1221,296.668,215.002,1216,302.139,214.49599999999998,1216,306.34,214.544,1225,312.28,215.283,1238,313.341,211.767,1234,310.518,208.919,1225,309.209,205.65,1225,309.003,201.864,1229,293.068,225.84400000000002,1212,296.245,222.322,1208,300.462,219.858,1212,304.26099999999997,220.46900000000002,1221,308.133,219.957,1229,312.397,222.46099999999998,1238,315.66900000000004,226.007,1247,312.868,227.555,1243,309.135,228.59,1238,304.178,228.937,1229,299.238,228.59400000000002,1221,295.638,227.546,1216,295.819,225.294,1212,299.35,223.615,1212,304.18,223.34400000000002,1221,309.1,223.726,1234,312.89599999999996,225.426,1243,309.018,225.024,1234,304.172,224.988,1221,299.45799999999997,224.942,1212,275.89099999999996,204.30900000000003,1238,275.547,210.644,1238,276.026,216.78,1243,277.066,222.91099999999997,1243,278.811,228.801,1256,281.591,233.96200000000002,1256,285.464,237.838,1256,290.33299999999997,241.195,1256,296.426,243.761,1256,304.0,244.965,1261,311.666,244.077,1280,318.469,241.774,1294,324.055,238.208,1309,328.463,233.767,1314,331.461,228.42,1529,333.233,222.672,1542,334.48199999999997,216.74099999999999,0,335.06199999999995,210.967,1329,334.995,204.605,1355,290.666,201.813,1221,320.055,202.29,1234,304.533,212.511,1221,298.485,189.727,1208,292.094,188.576,1221,284.175,188.889,1243,278.75,192.187,1238,275.887,196.033,1238,312.362,189.799,1238,318.877,188.91400000000002,1252,327.085,189.512,1265,332.658,193.044,1280,335.30300000000005,196.763,0
298.487,199.882,1225,295.841,198.00099999999998,1225,292.428,197.343,1225,289.02299999999997,198.18099999999998,1234,286.536,200.315,1234,289.242,200.997,1234,292.498,201.138,1229,295.757,200.687,1225,315.226,200.017,1238,317.843,198.329,1238,321.36400000000003,197.748,1243,324.798,198.669,1247,327.125,200.78599999999997,1256,324.535,201.40200000000002,1247,321.228,201.407,1238,317.97700000000003,200.885,1243,299.547,189.679,1221,293.814,188.69,1225,287.533,189.08,1238,283.52,191.58900000000003,1238,281.07,194.877,1238,282.144,195.907,1238,285.026,193.454,1238,288.52299999999997,192.00099999999998,1238,293.802,191.89,1229,299.128,192.53,1225,314.117,189.705,1243,319.856,188.91400000000002,1252,326.39099999999996,189.487,1261,330.55300000000005,192.16400000000002,1275,332.856,195.329,1280,331.67400000000004,196.45,1275,328.895,193.94400000000002,1261,325.27,192.416,1252,319.802,192.12,1243,314.316,192.583,1243,303.106,199.39,1229,302.39599999999996,203.011,1225,300.594,206.046,1225,297.744,208.80200000000002,1225,298.617,212.418,1221,304.064,211.675,1221,307.97,211.707,1225,313.764,212.59400000000002,1238,314.909,209.053,1238,312.23400000000004,206.162,1238,310.84,203.063,1234,310.454,199.457,1234,294.96,223.608,1216,298.094,219.825,1216,302.256,217.176,1221,306.039,217.704,1225,309.842,217.225,1229,314.051,219.86700000000002,1238,317.251,223.65900000000002,1243,314.389,224.68599999999998,1243,310.745,225.31599999999997,1234,306.031,225.532,1225,301.335,225.389,1221,297.70099999999996,224.75599999999997,1216,297.719,222.859,1212,301.275,221.065,1216,305.97700000000003,220.701,1221,310.723,221.13099999999997,1229,314.476,222.918,1238,310.616,221.87599999999998,1229,305.982,221.627,1221,301.413,221.829,1216,277.502,202.622,1243,276.983,208.972,1247,277.20099999999996,215.16299999999998,1247,278.008,221.455,1252,279.573,227.579,1261,282.33,232.965,1261,286.409,236.903,1261,291.629,240.111,1261,298.105,242.43599999999998,1256,305.866,243.472,1261,313.699,242.645,1280,320.736,240.52,1289,326.524,237.002,1309,330.92800000000005,232.44099999999997,1314,333.69199999999995,226.9,1529,335.184,220.917,1536,336.149,214.81599999999997,0,336.436,208.925,0,336.101,202.61700000000002,0,292.47700000000003,199.56799999999998,1229,321.262,199.905,1238,306.237,209.80700000000002,1225,300.17400000000004,187.062,1216,294.02299999999997,186.025,1221,286.524,186.56099999999998,1247,281.286,189.767,1247,278.431,193.5,1243,313.676,187.077,1247,319.84,186.252,1252,327.613,187.00099999999998,1265,332.945,190.378,1284,335.592,193.958,1289
298.043,201.351,1221,295.42,199.28799999999998,1221,291.927,198.454,1225,288.39599999999996,199.113,1229,285.793,201.097,1229,288.448,202.0,1225,291.78,202.329,1225,295.171,202.02599999999998,1221,314.877,202.162,1238,317.632,200.49900000000002,1238,321.308,200.021,1238,324.825,201.05599999999998,1247,327.142,203.22099999999998,1261,324.469,203.835,1247,321.069,203.771,1238,317.714,203.132,1238,299.389,191.822,1212,293.529,190.50900000000001,1212,286.988,190.484,1238,282.77,192.794,1238,280.145,195.98,1238,281.28700000000003,196.967,1238,284.24,194.69099999999997,1238,287.811,193.43400000000003,1238,293.27099999999996,193.628,1221,298.73900000000003,194.55900000000003,1221,314.138,192.41299999999998,1243,320.189,191.761,1252,327.008,192.455,1261,331.228,195.287,1275,333.5,198.543,1275,332.185,199.519,1275,329.47900000000004,196.982,1270,325.814,195.355,1252,320.135,194.912,1247,314.372,195.22,1238,302.574,201.149,1225,301.74,204.88299999999998,1225,299.83,207.96599999999998,1221,296.798,210.607,1225,297.42400000000004,214.269,1221,302.849,214.03799999999998,1221,306.932,214.237,1229,312.828,215.09799999999998,1238,314.077,211.585,1238,311.433,208.6,1234,310.225,205.299,1229,310.085,201.52700000000002,1234,293.253,224.975,1216,296.656,221.74,1216,300.92,219.52700000000002,1221,304.70599999999996,220.274,1225,308.586,219.898,1234,312.79400000000004,222.456,1243,316.119,225.963,1252,313.086,227.002,1247,309.286,227.584,1238,304.401,227.63299999999998,1229,299.572,227.226,1221,295.966,226.343,1221,295.997,224.458,1216,299.733,223.16,1216,304.54200000000003,223.122,1225,309.447,223.62400000000002,1238,313.39599999999996,225.232,1243,309.356,224.19299999999998,1238,304.527,223.824,1225,299.83099999999996,223.75099999999998,1216,276.983,202.55599999999998,1238,276.306,208.91,1238,276.427,215.16299999999998,1243,277.135,221.50099999999998,1247,278.591,227.671,1256,281.257,233.139,1256,285.095,237.157,1256,289.968,240.58599999999998,1261,296.103,243.188,1261,303.625,244.58700000000002,1261,311.385,244.07299999999998,1280,318.433,242.264,1294,324.317,239.048,1309,329.01,234.842,1542,332.292,229.417,1536,334.241,223.487,1542,335.626,217.377,1542,336.334,211.408,1334,336.42199999999997,204.93400000000003,1355,291.872,200.707,1225,321.13,202.21200000000002,1238,305.27099999999996,212.05,1225,300.17,189.235,1216,293.916,187.859,1216,286.145,187.91099999999997,1243,280.621,190.86599999999999,1243,277.555,194.49,1243,313.763,189.766,1247,320.216,189.097,1252,328.272,189.99900000000002,1270,333.67699999999996,193.57,1289,336.289,197.253,1355
300.151,202.80900000000003,1216,297.447,200.68099999999998,1216,293.911,199.88299999999998,1221,290.366,200.775,1225,287.795,203.13299999999998,1225,290.586,203.87599999999998,1225,293.95799999999997,204.055,1221,297.327,203.611,1221,317.086,203.262,1234,319.83099999999996,201.458,1238,323.512,200.87400000000002,1234,327.059,201.986,1247,329.351,204.399,1252,326.678,204.96900000000002,1243,323.263,204.88,1234,319.92,204.24,1234,301.47700000000003,192.35299999999998,1208,295.337,191.218,1216,288.539,191.611,1234,284.285,194.41,1229,281.763,198.065,1238,283.063,199.043,1234,286.005,196.32,1234,289.618,194.708,1234,295.282,194.636,1221,300.938,195.403,1216,316.068,192.645,1238,322.23,191.96200000000002,1243,329.233,192.822,1261,333.50300000000004,195.965,1270,335.705,199.56,1280,334.296,200.581,1275,331.584,197.7,1261,327.911,195.868,1247,322.096,195.37900000000002,1238,316.275,195.732,1238,304.79400000000004,202.345,1221,304.018,206.09,1225,302.125,209.11700000000002,1225,299.254,211.84,1221,300.065,215.69400000000002,1216,305.624,214.94,1225,309.472,215.043,1225,315.38,216.145,1234,316.615,212.425,1238,314.015,209.447,1234,312.643,206.303,1225,312.322,202.55200000000002,1225,296.029,227.68900000000002,1208,299.267,223.613,1212,303.605,220.794,1221,307.51,221.433,1225,311.473,220.998,1229,315.726,223.949,1238,318.837,228.138,1247,315.92,229.014,1238,312.161,229.521,1234,307.363,229.622,1221,302.592,229.438,1216,298.835,228.804,1212,298.982,226.856,1208,302.553,224.956,1216,307.383,224.636,1221,312.225,225.2,1229,315.899,227.21599999999998,1238,312.089,225.896,1229,307.377,225.50400000000002,1221,302.7,225.675,1216,278.58099999999996,205.457,1238,277.857,212.18599999999998,1243,277.895,218.804,1243,278.48900000000003,225.562,1247,279.875,232.205,1261,282.564,238.05900000000003,1261,286.668,242.218,1265,292.018,245.615,1261,298.752,248.08599999999998,1261,306.816,249.31599999999997,1275,314.966,248.57299999999998,1280,322.32599999999996,246.537,1294,328.34,242.957,1314,332.89,238.225,1515,335.733,232.285,1529,337.223,225.887,1536,338.227,219.375,1542,338.52099999999996,213.142,1542,338.19599999999997,206.421,0,293.943,202.35299999999998,1221,323.33799999999997,203.25799999999998,1234,307.819,213.081,1225,302.099,189.572,1208,295.515,188.386,1216,287.406,188.938,1234,281.83,192.505,1238,278.878,196.649,1238,315.753,189.84,1243,322.368,189.13400000000001,1247,330.69300000000004,190.232,1265,336.18,194.195,1275,338.72,198.261,0
299.168,201.39700000000002,1252,296.621,199.426,1252,293.314,198.585,1252,289.918,199.18400000000003,1261,287.388,201.075,1261,289.99,201.882,1261,293.159,202.208,1252,296.389,201.955,1252,315.29400000000004,202.31099999999998,1265,317.992,200.82299999999998,1265,321.496,200.423,1270,324.856,201.485,1270,327.09,203.602,1284,324.496,204.06099999999998,1270,321.246,203.91099999999997,1270,318.064,203.25900000000001,1265,300.48,191.68900000000002,1243,294.81,190.395,1247,288.449,190.426,1261,284.45099999999996,192.80200000000002,1261,282.02299999999997,195.979,1261,283.106,196.829,1261,285.959,194.5,1261,289.369,193.21,1261,294.633,193.41299999999998,1252,299.887,194.359,1247,314.562,192.363,1270,320.471,191.864,1275,327.15,192.764,1289,331.144,195.75900000000001,1304,333.259,199.085,1304,331.98199999999997,199.94099999999997,1294,329.361,197.247,1294,325.856,195.487,1275,320.314,194.91400000000002,1270,314.677,195.12400000000002,1265,303.438,201.05,1256,302.624,204.447,1256,300.736,207.153,1247,297.665,209.378,1243,298.171,212.813,1243,303.637,212.65099999999998,1247,307.64099999999996,212.895,1256,313.66700000000003,213.863,1265,314.842,210.578,1265,312.066,207.90400000000002,1261,310.839,204.951,1261,310.70599999999996,201.503,1261,293.908,222.479,1243,297.453,219.364,1243,301.789,217.326,1243,305.564,218.12,1247,309.438,217.778,1256,313.904,220.31400000000002,1265,317.539,223.80599999999998,1280,314.214,224.952,1275,310.275,225.505,1265,305.353,225.485,1261,300.506,225.021,1252,296.796,224.077,1243,296.211,221.998,1243,300.323,220.74900000000002,1243,305.433,220.824,1252,310.746,221.372,1261,315.17900000000003,223.111,1275,310.704,222.27700000000002,1261,305.422,221.87400000000002,1252,300.37,221.65900000000002,1243,279.66,202.858,1265,278.916,208.74400000000003,1270,278.91200000000003,214.36,1275,279.473,220.12099999999998,1275,280.73400000000004,225.81099999999998,1275,283.10900000000004,230.828,1275,286.746,234.639,1280,291.404,237.952,1280,297.279,240.578,1280,304.6,242.04,1289,312.215,241.72400000000002,1304,319.13599999999997,240.142,1319,324.95099999999996,237.236,1334,329.537,233.328,1339,332.57800000000003,228.433,1536,334.29900000000004,223.00900000000001,1536,335.527,217.399,0,336.111,211.96599999999998,0,336.164,205.903,0,293.243,200.71400000000003,1256,321.317,202.484,1270,306.053,210.90400000000002,1256,301.204,189.262,1243,295.127,187.9,1243,287.51599999999996,188.016,1265,282.233,191.06799999999998,1265,279.393,194.69299999999998,1265,314.249,189.856,1275,320.564,189.347,1280,328.49,190.49400000000003,1294,333.65,194.27,1314,336.083,198.02700000000002,0
