0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
302.957,203.195,1225,300.275,201.351,1225,296.85200000000003,200.78099999999998,1225,293.513,201.618,1234,291.13,203.632,1234,293.723,204.498,1229,296.926,204.672,1225,300.171,204.17700000000002,1225,320.139,202.69400000000002,1234,322.703,200.762,1234,326.164,199.99200000000002,1238,329.561,200.66099999999997,1243,332.00199999999995,202.52,1252,329.504,203.49599999999998,1243,326.301,203.815,1238,322.998,203.503,1234,303.86,193.94,1208,298.568,192.825,1221,292.782,192.96400000000003,1243,288.66700000000003,194.898,1238,285.94,197.701,1243,286.752,199.27599999999998,1243,289.82599999999996,197.27,1238,293.46,196.11,1234,298.441,196.07299999999998,1221,303.53700000000003,196.769,1212,318.368,193.36,1243,323.692,192.025,1243,329.75699999999995,191.858,1252,334.124,193.601,1261,337.026,196.128,1275,336.277,197.804,1265,333.032,196.0,1256,329.184,195.05700000000002,1252,323.97900000000004,195.273,1238,318.784,196.205,1238,307.55400000000003,202.827,1225,306.9,207.21,1225,305.225,211.063,1225,302.335,214.44099999999997,1225,303.307,218.33900000000003,1225,309.164,218.332,1225,313.357,218.236,1234,319.5,217.965,1234,320.432,214.019,1234,317.448,210.766,1234,315.867,206.967,1229,315.244,202.61599999999999,1234,299.394,229.304,1225,303.144,226.27700000000002,1221,307.529,224.234,1221,311.519,224.74,1225,315.439,224.00400000000002,1234,320.181,225.726,1243,324.38,228.489,1256,320.908,230.729,1247,316.94599999999997,232.107,1247,311.83799999999997,232.706,1234,306.756,232.442,1229,302.836,231.33700000000002,1229,301.633,228.945,1221,306.382,227.708,1221,311.618,227.475,1225,317.03,227.394,1238,322.131,228.312,1252,317.118,228.579,1238,311.678,228.861,1225,306.39799999999997,228.875,1221,281.691,205.09099999999998,1247,281.45099999999996,212.209,1247,281.982,219.067,1256,283.286,226.058,1256,285.43,232.74,1275,288.91,238.609,1280,293.288,242.845,1280,298.547,246.321,1275,304.902,248.666,1275,312.4,249.544,1280,320.08099999999996,248.37900000000002,1289,326.904,245.794,1309,332.574,241.778,1319,337.11,236.86900000000003,1529,340.289,230.62099999999998,1536,341.99800000000005,223.84099999999998,1549,342.904,216.859,1549,343.08099999999996,210.05700000000002,1329,342.606,202.96599999999998,1344,296.943,202.99099999999999,1225,326.171,202.18,1238,311.346,215.395,1229,304.64099999999996,191.207,1212,298.952,190.02599999999998,1221,292.089,190.239,1243,286.851,192.713,1243,283.70799999999997,195.90099999999998,1243,317.532,190.65400000000002,1247,323.23900000000003,189.24400000000003,1247,330.385,189.101,1256,335.88300000000004,191.293,1265,339.199,194.144,1289
305.035,200.94099999999997,1216,302.309,198.769,1221,298.709,198.03900000000002,1225,295.19,199.021,1225,292.733,201.456,1225,295.464,202.266,1225,298.845,202.40200000000002,1225,302.223,201.863,1221,321.8,200.93599999999998,1221,324.467,198.90400000000002,1229,328.17699999999996,198.16299999999998,1234,331.784,199.15599999999998,1238,334.14300000000003,201.51,1247,331.49699999999996,202.299,1238,328.07199999999995,202.385,1234,324.668,201.851,1225,306.063,191.083,1208,299.939,189.997,1221,293.152,190.392,1238,288.909,193.168,1238,286.421,196.835,1238,287.824,197.86,1238,290.642,195.188,1238,294.19599999999997,193.58,1229,299.856,193.442,1225,305.515,194.12900000000002,1212,320.47700000000003,190.957,1234,326.64,189.95,1238,333.668,190.396,1252,338.11,193.265,1265,340.49199999999996,196.72799999999998,1275,339.084,197.84900000000002,1270,336.30300000000005,195.21200000000002,1256,332.54900000000004,193.61,1243,326.719,193.403,1234,320.911,194.01,1229,309.547,200.521,1216,308.88,204.63400000000001,1216,307.123,208.058,1216,304.45799999999997,211.146,1212,305.347,215.146,1221,310.639,214.475,1221,314.434,214.472,1221,320.226,215.171,1221,321.344,211.243,1225,318.813,208.088,1225,317.444,204.61900000000003,1225,317.07099999999997,200.517,1225,301.867,227.75900000000001,1216,304.825,223.75400000000002,1216,308.887,220.915,1216,312.692,221.482,1221,316.53700000000003,220.90900000000002,1225,320.659,223.623,1229,323.731,227.555,1247,321.03,228.725,1238,317.405,229.542,1234,312.716,229.851,1221,308.07,229.69299999999998,1221,304.501,228.963,1221,304.927,226.94,1216,308.145,225.1,1216,312.657,224.692,1216,317.212,225.074,1229,320.663,226.80900000000003,1234,317.09,225.797,1229,312.663,225.63,1216,308.305,225.842,1216,283.594,203.449,1238,283.105,210.55599999999998,1243,283.425,217.63,1247,284.32099999999997,224.793,1252,285.996,231.75,1280,288.97,237.87900000000002,1280,293.069,242.11599999999999,1275,298.29900000000004,245.574,1275,304.876,247.97299999999998,1270,312.717,249.06599999999997,1275,320.666,248.007,1280,327.82,245.636,1299,333.60400000000004,241.702,1314,338.039,236.72400000000002,1522,340.967,230.304,1536,342.485,223.458,1542,343.449,216.477,1549,343.69699999999995,209.757,1319,343.272,202.62099999999998,1334,298.814,200.595,1225,328.07599999999996,200.65,1234,312.798,212.225,1221,306.66900000000004,188.19299999999998,1208,300.126,187.065,1216,292.065,187.623,1238,286.494,191.162,1238,283.563,195.324,1243,320.035,188.07299999999998,1234,326.622,187.02599999999998,1243,334.93199999999996,187.637,1256,340.615,191.247,1275,343.36300000000006,195.16099999999997,0
305.58299999999997,205.578,1225,302.97,203.5,1229,299.509,202.77,1238,296.094,203.449,1238,293.61,205.35,1238,296.126,206.523,1238,299.39599999999996,206.912,1238,302.745,206.512,1229,322.829,205.71900000000002,1238,325.428,203.762,1243,328.977,203.06900000000002,1247,332.403,203.81099999999998,1252,334.77099999999996,205.735,1256,332.26800000000003,206.825,1252,329.00800000000004,207.132,1247,325.668,206.67700000000002,1238,306.642,195.269,1216,301.221,193.84,1238,295.17400000000004,193.58700000000002,1243,290.99,195.52599999999998,1247,288.215,198.452,1252,289.135,199.99900000000002,1243,292.195,198.02700000000002,1243,295.805,196.989,1243,300.932,197.22799999999998,1234,306.10200000000003,198.183,1216,321.639,195.31,1243,327.166,194.025,1252,333.36699999999996,193.861,1256,337.64099999999996,195.87599999999998,1270,340.27,198.665,1284,339.332,200.237,1275,336.38,198.331,1261,332.667,197.294,1256,327.42900000000003,197.429,1252,322.10200000000003,198.25900000000001,1243,310.306,205.44099999999997,1229,309.634,210.28799999999998,1225,307.89099999999996,214.571,1229,304.906,218.15400000000002,1234,305.786,222.373,1238,311.48,222.56099999999998,1238,315.627,222.607,1238,321.428,222.513,1247,322.475,218.35,1243,319.717,214.675,1234,318.35200000000003,210.28799999999998,1238,317.994,205.48,1238,301.92400000000004,233.56599999999997,1238,305.532,230.887,1234,309.783,228.965,1234,313.494,229.68400000000003,1238,317.181,229.021,1243,321.374,230.90599999999998,1252,324.964,233.613,1270,321.863,235.72,1261,318.15,237.033,1265,313.414,237.505,1247,308.654,237.02599999999998,1243,305.002,235.725,1238,304.492,233.362,1234,308.735,232.513,1238,313.42400000000004,232.519,1238,318.182,232.56,1243,322.474,233.41,1261,318.16700000000003,233.292,1247,313.409,233.389,1238,308.732,233.25099999999998,1238,283.481,206.257,1256,283.29400000000004,213.87400000000002,1256,283.91900000000004,221.297,1265,285.176,228.68099999999998,1265,287.247,235.563,1299,290.578,241.585,1299,294.77,246.07,1299,299.789,249.90099999999998,1299,305.906,252.645,1299,313.265,253.797,1304,320.64599999999996,252.674,1309,327.143,249.912,1324,332.55199999999996,245.793,1334,337.02099999999996,240.84799999999998,1536,340.35900000000004,234.612,1536,342.43,227.833,1542,343.782,220.782,1542,344.459,213.757,1549,344.436,206.312,0,299.504,205.074,1238,328.91900000000004,205.34099999999998,1247,313.664,219.475,1238,307.547,192.35299999999998,1221,301.768,190.85299999999998,1243,294.579,190.62400000000002,1247,289.125,193.107,1252,285.89099999999996,196.43,1256,320.903,192.37400000000002,1247,326.777,191.033,1252,334.101,190.915,1265,339.595,193.47,1280,342.645,196.639,0
305.577,199.31400000000002,1229,302.841,196.826,1234,299.297,195.895,1238,295.786,196.938,1238,293.4,199.65099999999998,1243,296.10900000000004,200.486,1234,299.416,200.653,1234,302.711,200.148,1229,321.357,199.55599999999998,1238,324.147,197.388,1243,327.82599999999996,196.606,1247,331.336,197.843,1252,333.481,200.545,1256,330.912,201.21200000000002,1252,327.642,201.18900000000002,1247,324.34,200.56,1238,306.942,190.032,1221,300.499,188.69299999999998,1234,293.217,189.136,1252,288.793,192.30200000000002,1252,286.362,196.421,1247,288.03,197.361,1247,290.829,194.31099999999998,1247,294.379,192.463,1247,300.377,192.385,1238,306.27,193.313,1225,319.723,190.076,1252,326.26099999999997,189.135,1252,333.713,189.953,1265,338.151,193.41099999999997,1284,340.425,197.481,1289,338.80400000000003,198.456,1284,336.08099999999996,195.28,1270,332.412,193.239,1261,326.298,192.82,1252,320.23400000000004,193.398,1247,309.526,198.703,1229,308.83299999999997,202.975,1229,307.035,206.166,1229,304.238,208.78400000000002,1229,304.813,213.043,1225,310.712,212.923,1229,314.4,213.017,1234,320.74,213.40599999999998,1238,321.673,209.28,1238,318.967,206.419,1238,317.527,203.15099999999998,1238,317.16700000000003,198.845,1243,299.997,225.43099999999998,1229,303.837,221.43200000000002,1225,308.616,218.896,1225,312.853,219.696,1229,317.171,219.071,1238,322.138,221.649,1247,326.095,225.688,1265,322.495,227.875,1256,318.232,229.15900000000002,1256,312.95,229.513,1243,307.745,229.09900000000002,1238,303.524,227.821,1234,302.316,224.78900000000002,1229,307.065,222.99099999999999,1225,312.83099999999996,222.83900000000003,1229,318.77,223.16400000000002,1243,323.737,225.062,1256,318.823,225.21200000000002,1247,312.87,225.27700000000002,1234,307.06,225.014,1229,285.252,201.549,1247,284.431,209.18200000000002,1252,284.404,216.545,1256,284.95,224.205,1265,286.353,231.83900000000003,1289,289.223,238.524,1294,293.203,242.937,1294,298.32,246.643,1284,304.887,249.243,1289,312.785,250.623,1294,320.849,249.646,1299,328.03,247.36599999999999,1319,333.756,243.36599999999999,1324,338.12699999999995,238.263,1529,340.964,231.4,1536,342.189,224.067,1542,342.905,216.541,0,342.85400000000004,209.53799999999998,0,342.25699999999995,201.83,1304,299.392,198.739,1234,327.63,199.362,1247,312.822,210.38,1229,307.488,187.03900000000002,1221,300.579,185.644,1234,291.928,186.273,1256,286.139,190.30200000000002,1252,283.276,194.97799999999998,1256,319.41200000000003,187.045,1252,326.401,186.071,1256,335.205,187.128,1275,340.92199999999997,191.47099999999998,1289,343.556,196.065,1355
300.809,217.425,1175,298.07,215.127,1175,294.279,214.31799999999998,1200,290.606,214.888,1204,288.02,216.64,1204,290.517,218.175,1204,294.043,218.722,1191,297.704,218.34599999999998,1183,318.181,217.59799999999998,1208,320.888,215.37599999999998,1204,324.79400000000004,214.56599999999997,1212,328.551,215.202,1221,331.14300000000003,216.963,1229,328.504,218.40099999999998,1221,324.992,218.923,1216,321.308,218.521,1208,301.539,208.981,1187,295.688,207.297,1200,289.027,206.54,1204,284.547,208.312,1208,281.6,211.18,1208,282.857,212.49099999999999,1208,285.844,210.78900000000002,1208,289.518,209.97,1204,295.075,210.47299999999998,1200,300.647,211.61,1179,317.029,209.014,1208,323.155,207.389,1212,329.983,206.66,1221,334.694,208.49900000000002,1238,337.61699999999996,211.18099999999998,1243,336.399,212.525,1243,333.436,210.979,1234,329.496,210.197,1221,323.811,210.62,1212,317.961,211.665,1208,305.312,217.703,1187,304.808,223.09,1200,303.23,227.90200000000002,1204,300.29,231.71900000000002,1204,301.009,236.02200000000002,1208,306.28700000000003,236.89,1208,310.816,236.938,1216,316.553,236.197,1221,317.488,231.938,1216,314.661,228.092,1212,313.466,223.1,1208,313.32,217.74099999999999,1204,297.637,246.86,1216,301.152,245.24,1216,305.072,243.916,1212,308.637,244.77200000000002,1221,312.199,244.00099999999998,1225,316.17900000000003,245.27900000000002,1243,319.92900000000003,246.903,1247,317.02099999999996,249.196,1261,313.325,250.79,1252,308.548,251.34799999999998,1243,303.731,250.668,1221,300.374,249.1,1221,300.445,246.94799999999998,1216,304.259,246.997,1216,308.615,247.29,1221,313.123,247.05599999999998,1234,317.202,246.993,1247,313.151,247.125,1234,308.597,247.396,1221,304.267,247.079,1216,278.388,215.93599999999998,1216,278.624,223.74400000000003,1216,279.807,231.554,1225,281.65,239.157,1234,284.243,246.07,1243,288.05,252.09799999999998,1289,292.05400000000003,256.426,1280,296.513,260.344,1280,301.948,263.153,1280,308.673,264.44,1284,315.623,263.222,1284,321.743,260.437,1294,326.849,256.41,1309,331.499,251.863,1324,335.601,245.46099999999998,1344,338.233,238.521,1522,340.04400000000004,231.19799999999998,1536,341.194,223.74900000000002,1542,341.565,215.827,0,294.256,216.705,1191,324.795,216.94400000000002,1212,308.79200000000003,233.21200000000002,1208,302.565,206.032,1187,296.442,204.283,1195,288.642,203.484,1208,282.72700000000003,205.775,1212,279.253,209.055,1212,316.14799999999997,206.043,1208,322.525,204.36599999999999,1212,330.471,203.609,1225,336.54699999999997,205.929,1238,339.945,208.97,1247
304.823,200.852,1200,302.063,198.705,1204,298.433,197.968,1208,294.867,198.863,1208,292.365,201.149,1212,295.069,202.05,1208,298.478,202.25599999999997,1208,301.927,201.755,1204,322.03,200.862,1208,324.751,198.84799999999998,1212,328.515,198.113,1216,332.181,199.044,1225,334.631,201.275,1229,331.936,202.141,1221,328.45300000000003,202.28400000000002,1216,324.97700000000003,201.775,1212,305.765,190.84099999999998,1191,299.705,189.673,1204,292.955,189.905,1221,288.703,192.52200000000002,1221,286.16900000000004,196.045,1221,287.471,197.12400000000002,1221,290.341,194.59,1216,293.921,193.104,1216,299.552,193.06900000000002,1204,305.198,193.827,1191,320.698,190.704,1216,326.928,189.622,1221,334.024,189.92700000000002,1234,338.54400000000004,192.667,1247,341.041,196.012,1256,339.714,197.18900000000002,1252,336.815,194.678,1238,332.955,193.17700000000002,1229,327.06,193.046,1221,321.14,193.718,1216,309.379,200.49,1204,308.68,204.72,1200,306.872,208.305,1200,304.001,211.452,1200,304.825,215.457,1204,310.252,215.06,1204,314.29200000000003,215.06599999999997,1204,320.363,215.558,1208,321.49,211.613,1208,318.77,208.408,1208,317.413,204.743,1208,317.10200000000003,200.511,1212,301.175,227.472,1204,304.392,223.88400000000001,1200,308.56,221.33700000000002,1200,312.41700000000003,221.96599999999998,1204,316.329,221.34799999999998,1208,320.686,223.822,1216,324.177,227.354,1225,321.177,228.733,1221,317.35,229.643,1216,312.447,229.976,1204,307.621,229.74,1204,303.97,228.888,1204,304.053,226.82,1204,307.655,225.308,1200,312.389,225.045,1200,317.27299999999997,225.308,1208,321.263,226.75099999999998,1216,317.2,225.93400000000003,1208,312.405,225.82299999999998,1200,307.779,225.94799999999998,1200,283.418,202.90200000000002,1225,282.987,209.977,1229,283.395,216.949,1225,284.39799999999997,223.977,1238,286.16200000000003,230.767,1243,289.17400000000004,236.74,1261,293.237,240.99099999999999,1261,298.33099999999996,244.547,1256,304.722,247.085,1256,312.464,248.247,1256,320.405,247.25400000000002,1265,327.584,244.88400000000001,1284,333.477,241.01,1299,338.11199999999997,236.155,1309,341.31,229.905,1542,343.075,223.17700000000002,1549,344.224,216.271,0,344.67199999999997,209.543,1304,344.43300000000005,202.334,1284,298.503,200.45,1208,328.434,200.543,1216,312.608,212.615,1204,306.469,187.97099999999998,1191,299.998,186.752,1212,291.972,187.115,1225,286.37,190.467,1225,283.382,194.477,1225,320.18,187.831,1221,326.82,186.706,1225,335.194,187.15400000000002,1238,340.971,190.602,1256,343.843,194.382,1261
302.848,211.4,1191,300.086,209.264,1191,296.365,208.548,1208,292.719,209.13299999999998,1221,290.086,210.845,1216,292.64599999999996,212.262,1216,296.168,212.75,1212,299.79900000000004,212.333,1204,320.493,211.37400000000002,1216,323.172,209.299,1216,326.974,208.518,1221,330.647,209.088,1229,333.202,210.766,1238,330.62199999999996,212.137,1229,327.163,212.644,1221,323.561,212.263,1212,303.519,201.607,1191,297.675,200.083,1212,291.096,199.524,1221,286.737,201.453,1225,283.876,204.396,1225,285.019,205.69299999999998,1221,288.05400000000003,203.855,1221,291.715,202.93,1216,297.215,203.31099999999998,1208,302.75,204.31900000000002,1191,319.452,201.543,1225,325.406,199.989,1225,332.028,199.334,1238,336.55300000000005,201.21,1247,339.29699999999997,203.90599999999998,1256,338.167,205.238,1256,335.29400000000004,203.63,1243,331.48199999999997,202.834,1234,325.97700000000003,203.239,1225,320.26099999999997,204.264,1216,307.633,211.419,1200,307.204,216.65,1208,305.615,221.328,1208,302.52099999999996,225.044,1212,303.362,229.28799999999998,1216,308.99,229.782,1216,313.557,229.773,1221,319.228,229.229,1229,320.126,225.041,1221,317.177,221.32,1221,315.853,216.50400000000002,1216,315.622,211.35299999999998,1216,299.858,239.804,1216,303.502,237.955,1212,307.642,236.417,1212,311.26,237.19400000000002,1221,314.847,236.40900000000002,1225,318.82099999999997,237.796,1234,322.413,239.59,1252,319.557,241.873,1247,315.921,243.43200000000002,1243,311.166,244.043,1238,306.282,243.493,1229,302.747,242.047,1225,302.631,239.826,1216,306.673,239.59900000000002,1212,311.187,239.767,1225,315.733,239.537,1229,319.77299999999997,239.655,1243,315.731,239.752,1229,311.161,240.03599999999997,1225,306.67400000000004,239.83700000000002,1212,279.631,210.92,1234,279.997,218.608,1234,281.267,226.167,1238,283.117,233.46200000000002,1243,285.73,240.018,1261,289.478,245.649,1280,293.69,249.832,1275,298.454,253.58599999999998,1275,304.18,256.31,1280,311.226,257.404,1289,318.17900000000003,256.053,1299,324.158,253.03,1299,329.10699999999997,248.9,1314,333.49699999999996,244.225,1329,337.149,238.19,1509,339.57,231.674,1536,341.259,224.812,1549,342.31800000000004,217.821,0,342.608,210.29,0,296.34,210.817,1208,326.97900000000004,210.761,1221,311.322,226.351,1216,304.48,198.66299999999998,1195,298.35,197.082,1208,290.61,196.516,1225,284.849,199.00099999999998,1225,281.494,202.354,1225,318.587,198.60299999999998,1225,324.813,196.998,1225,332.585,196.327,1238,338.483,198.718,1265,341.69199999999995,201.792,0
300.855,215.342,1167,298.019,212.917,1167,294.166,212.046,1187,290.425,212.74200000000002,1191,287.82,214.768,1195,290.449,216.213,1195,294.035,216.704,1183,297.724,216.269,1171,318.153,215.49900000000002,1200,320.915,213.215,1195,324.88599999999997,212.362,1200,328.727,213.142,1208,331.31,215.148,1216,328.63,216.49200000000002,1208,325.059,216.93,1204,321.35400000000004,216.46099999999998,1200,301.528,206.03599999999997,1179,295.23400000000004,204.41099999999997,1187,288.05400000000003,203.93200000000002,1204,283.53700000000003,206.274,1204,280.759,209.676,1208,282.268,210.755,1204,285.19599999999997,208.56799999999998,1200,288.866,207.40900000000002,1200,294.772,207.77700000000002,1191,300.642,208.882,1175,316.849,206.06799999999998,1204,323.362,204.53,1204,330.686,204.111,1216,335.44699999999995,206.546,1229,338.223,209.74200000000002,1234,336.774,210.908,1234,333.87800000000004,208.85,1221,329.944,207.697,1208,323.92,207.946,1204,317.768,208.93400000000003,1204,305.309,215.429,1179,304.879,220.68,1187,303.305,225.245,1191,300.407,228.81599999999997,1191,301.149,233.19299999999998,1200,306.534,233.77599999999998,1200,310.937,233.824,1204,316.83799999999997,233.372,1208,317.754,229.06,1208,314.842,225.40400000000002,1200,313.54900000000004,220.671,1200,313.355,215.46200000000002,1195,297.762,244.37,1204,301.291,242.359,1204,305.325,240.738,1204,308.995,241.62599999999998,1208,312.653,240.83,1212,316.829,242.405,1225,320.666,244.41400000000002,1234,317.635,246.377,1238,313.81,247.72,1225,309.052,248.17,1208,304.23400000000004,247.62099999999998,1208,300.67400000000004,246.32,1204,300.60400000000004,244.236,1204,304.447,244.083,1204,309.003,244.329,1208,313.726,244.15400000000002,1216,317.849,244.313,1229,313.746,243.99099999999999,1216,309.001,244.112,1208,304.492,243.93,1204,278.608,214.688,1208,278.801,222.553,1208,279.9,230.359,1221,281.592,238.005,1225,284.032,245.048,1225,287.717,251.11900000000003,1280,291.814,255.377,1280,296.49,259.19599999999997,1280,302.233,261.943,1275,309.306,263.219,1280,316.551,262.019,1284,322.947,259.327,1289,328.20599999999996,255.34,1309,332.815,250.713,1329,336.596,244.247,1355,338.825,237.25099999999998,1522,340.36,229.90200000000002,1536,341.246,222.524,0,341.392,214.533,0,294.187,214.625,1183,324.879,214.90599999999998,1200,308.971,230.33599999999998,1195,302.406,202.987,1187,295.798,201.305,1191,287.337,200.855,1204,281.293,203.88,1204,277.994,207.77200000000002,1208,316.092,202.995,1208,322.892,201.41400000000002,1204,331.471,201.035,1216,337.68699999999995,204.102,1234,340.92900000000003,207.71900000000002,1238
301.941,201.12900000000002,1221,299.238,199.122,1221,295.767,198.459,1225,292.39099999999996,199.43099999999998,1229,290.014,201.766,1229,292.702,202.532,1225,295.94599999999997,202.65200000000002,1221,299.193,202.11599999999999,1221,318.878,200.86700000000002,1229,321.459,198.882,1229,324.994,198.115,1229,328.468,199.002,1238,330.847,201.208,1247,328.295,202.03799999999998,1238,325.012,202.204,1234,321.70599999999996,201.76,1229,302.921,191.233,1208,297.223,190.199,1216,290.973,190.618,1234,286.836,193.088,1238,284.28,196.40900000000002,1238,285.377,197.729,1234,288.329,195.266,1234,291.925,193.782,1234,297.22,193.61,1221,302.574,194.25799999999998,1212,317.165,190.87099999999998,1238,322.85200000000003,189.74900000000002,1238,329.385,190.02599999999998,1247,333.764,192.44099999999997,1256,336.414,195.511,1265,335.355,196.975,1261,332.285,194.612,1252,328.486,193.234,1243,322.964,193.17,1234,317.519,193.91099999999997,1234,306.51599999999996,200.71599999999998,1221,305.845,204.829,1221,304.133,208.35299999999998,1216,301.471,211.532,1216,302.491,215.47,1216,308.022,214.975,1221,311.86,214.933,1221,317.834,215.292,1229,318.89599999999996,211.347,1229,316.159,208.174,1225,314.625,204.68599999999998,1225,314.035,200.604,1225,298.884,227.388,1216,302.182,223.739,1216,306.348,221.18099999999998,1216,310.242,221.697,1216,314.087,221.05,1221,318.57099999999997,223.387,1234,322.274,226.882,1243,319.08099999999996,228.16,1243,315.27099999999996,228.93400000000003,1229,310.517,229.26,1221,305.805,229.176,1221,302.022,228.574,1221,301.531,226.64,1216,305.487,225.093,1216,310.318,224.75099999999998,1216,315.274,224.935,1225,319.568,226.3,1238,315.23400000000004,225.39,1225,310.346,225.263,1216,305.593,225.53799999999998,1216,280.845,203.783,1238,280.407,210.86,1243,280.703,217.801,1247,281.682,224.915,1256,283.486,231.831,1270,286.686,237.898,1275,291.04200000000003,242.107,1270,296.483,245.44400000000002,1265,303.168,247.665,1265,310.974,248.56400000000002,1270,318.952,247.517,1280,326.156,245.203,1294,332.059,241.329,1309,336.57300000000004,236.385,1522,339.461,230.00599999999997,1536,340.824,223.11700000000002,1549,341.542,216.09099999999998,0,341.546,209.32299999999998,1289,340.913,202.24400000000003,1289,295.899,200.90099999999998,1225,324.957,200.51,1229,310.108,212.51,1225,303.54900000000004,188.41,1208,297.41900000000004,187.322,1221,289.972,187.888,1238,284.627,191.042,1238,281.651,194.815,1243,316.551,188.05599999999998,1238,322.664,186.87400000000002,1243,330.402,187.265,1256,335.958,190.295,1265,338.99199999999996,193.75400000000002,1280
306.457,210.88099999999997,1208,303.876,208.725,1208,300.285,207.938,1225,296.746,208.373,1234,294.117,209.907,1238,296.587,211.393,1238,299.981,211.97400000000002,1234,303.48,211.71099999999998,1216,323.556,211.435,1234,326.197,209.485,1238,329.85699999999997,208.864,1243,333.32099999999997,209.498,1252,335.74,211.166,1256,333.227,212.437,1252,329.936,212.84400000000002,1238,326.48,212.392,1234,307.616,202.278,1212,302.241,200.524,1225,296.21299999999997,199.639,1238,291.805,201.002,1238,288.683,203.453,1243,289.606,205.033,1243,292.788,203.638,1238,296.509,203.055,1234,301.637,203.66,1229,306.808,204.864,1208,322.774,202.739,1238,328.213,201.326,1247,334.17,200.71900000000002,1256,338.51300000000003,202.26,1265,341.324,204.683,1280,340.34,206.18900000000002,1275,337.45599999999996,204.832,1261,333.76599999999996,204.16099999999997,1252,328.727,204.49,1247,323.504,205.356,1238,311.151,211.12400000000002,1212,310.54900000000004,216.456,1229,308.9,221.185,1229,305.85400000000004,224.949,1238,306.596,229.201,1234,312.219,230.048,1238,316.69599999999997,230.195,1243,322.10900000000004,229.61900000000003,1247,323.058,225.46,1247,320.356,221.507,1238,319.156,216.581,1234,318.96299999999997,211.298,1238,302.79900000000004,239.824,1238,306.455,238.02599999999998,1234,310.611,236.71599999999998,1238,314.187,237.553,1243,317.716,236.94400000000002,1243,321.509,238.338,1256,324.836,240.313,1275,322.082,243.109,1280,318.565,244.977,1280,313.835,245.581,1261,308.972,244.699,1247,305.563,242.72799999999998,1243,305.469,240.067,1238,309.589,239.796,1238,314.06,240.054,1243,318.469,240.023,1256,322.36,240.43900000000002,1270,318.466,241.226,1261,313.98,241.59,1243,309.51,241.012,1243,283.309,209.21099999999998,1247,283.389,217.063,1247,284.353,224.842,1256,286.03,232.453,1261,288.547,239.317,1280,292.301,245.34900000000002,1299,296.414,249.84900000000002,1299,301.069,253.885,1299,306.657,256.814,1309,313.472,258.143,1309,320.277,256.928,1314,326.062,253.96200000000002,1329,330.88300000000004,249.81400000000002,1339,335.26099999999997,245.137,1355,339.108,238.965,1529,341.73400000000004,232.283,1536,343.55800000000005,225.21200000000002,1542,344.68800000000005,218.05900000000003,0,345.075,210.532,0,300.191,210.113,1225,329.789,211.015,1238,314.474,226.521,1238,308.70799999999997,199.43400000000003,1221,303.067,197.604,1225,296.015,196.63400000000001,1243,290.316,198.375,1243,286.69599999999997,201.155,1243,321.905,199.835,1238,327.593,198.37,1247,334.56699999999995,197.734,1256,340.184,199.702,1275,343.474,202.47,1289
