0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
316.217,229.514,1265,313.534,227.768,1280,310.257,227.19299999999998,1280,307.03,227.64,1284,304.57099999999997,229.012,1289,307.01099999999997,230.201,1280,310.124,230.6,1280,313.33099999999996,230.28400000000002,1275,332.957,229.329,1270,335.713,227.64700000000002,1275,339.11400000000003,227.076,1270,342.473,227.475,1275,345.215,228.76,1280,342.52099999999996,229.94400000000002,1270,339.35400000000004,230.34400000000002,1270,336.039,230.10299999999998,1270,315.938,219.15400000000002,1280,311.51599999999996,217.502,1294,306.462,216.928,1299,302.89599999999996,218.294,1304,300.569,220.687,1309,300.997,222.798,1304,303.699,221.25099999999998,1299,306.953,220.56400000000002,1304,311.32599999999996,220.94299999999998,1294,315.731,221.951,1275,331.55800000000005,218.74,1270,336.486,217.12,1280,342.139,216.40599999999998,1284,346.39300000000003,217.701,1289,349.44599999999997,219.899,1289,349.25,222.14700000000002,1289,345.658,220.738,1284,341.675,220.18,1284,336.705,220.636,1280,331.764,221.74099999999999,1270,320.45,229.547,1256,320.065,235.187,1247,318.547,240.354,1256,315.512,244.435,1256,316.087,248.703,1252,321.483,249.679,1247,326.04400000000004,249.65400000000002,1243,332.99199999999996,248.541,1247,333.6,244.041,1252,330.051,240.113,1252,328.583,234.903,1252,328.02099999999996,229.395,1261,314.295,257.937,1238,317.914,256.843,1238,321.718,256.183,1238,325.282,257.017,1234,328.84,256.143,1234,333.64,256.522,1238,338.91,257.226,1247,334.704,260.295,1238,330.37300000000005,262.05,1234,325.36,262.69,1234,320.774,262.04900000000004,1234,317.332,260.52099999999996,1238,315.888,258.256,1238,320.466,258.606,1234,325.175,259.08,1234,330.68300000000005,258.411,1234,336.731,257.7,1243,330.764,258.681,1234,324.95099999999996,259.129,1234,320.025,258.816,1234,298.621,229.732,1294,298.561,237.127,1289,299.16200000000003,244.162,1280,300.67,251.055,1275,302.823,257.694,1265,305.971,263.508,1261,309.66200000000003,268.464,1261,313.996,273.089,1256,319.31,276.656,1256,326.055,278.106,1256,333.414,277.192,1261,340.207,274.407,1256,346.156,270.185,1270,351.161,265.093,1275,355.1,258.944,1289,357.44599999999997,251.919,1289,358.615,244.50900000000001,1294,359.156,236.86599999999999,1299,359.108,228.91299999999998,1299,310.259,229.02599999999998,1280,339.173,228.835,1270,324.289,245.69,1243,317.07,216.166,1280,312.302,214.41,1299,306.12,213.78,1299,301.198,215.639,1314,298.337,218.458,1319,330.54900000000004,215.697,1270,335.777,213.99599999999998,1289,342.392,213.217,1289,347.776,214.825,1289,351.27099999999996,217.296,1299
314.756,227.363,0,312.256,225.773,1280,309.198,225.425,1284,306.322,226.263,1289,304.449,228.032,1289,306.57599999999996,229.065,1289,309.32099999999997,229.269,0,312.255,228.644,0,332.43300000000005,225.488,1270,334.611,223.298,1275,337.76099999999997,222.27700000000002,1284,341.04900000000004,222.50799999999998,1280,343.75199999999995,223.89,1284,341.361,225.40099999999998,1280,338.30699999999996,226.168,1275,335.13699999999994,226.183,1275,314.29200000000003,215.918,1256,310.409,214.80599999999998,1304,306.067,214.75900000000001,1304,302.716,216.12099999999998,1304,300.445,218.426,1314,300.745,220.74900000000002,1309,303.45599999999996,219.112,1304,306.62,218.225,1299,310.428,218.215,1289,314.445,218.825,1265,329.389,213.915,1289,333.98400000000004,211.831,1294,339.436,210.704,1289,343.81199999999995,211.44299999999998,1299,347.119,213.17700000000002,1304,347.276,215.69099999999997,1299,343.45099999999996,214.636,1294,339.316,214.43900000000002,1294,334.501,215.334,1289,329.74199999999996,216.933,1275,319.128,226.989,1261,318.436,232.125,1256,316.894,237.25400000000002,1256,314.20599999999996,241.93,1256,315.379,246.09799999999998,1252,320.55,246.453,1238,324.60200000000003,246.074,1243,331.477,244.882,1252,332.38699999999994,240.372,1256,329.103,236.415,1256,327.42900000000003,231.449,1252,326.642,226.328,0,313.347,257.45,1243,316.49,254.78900000000002,1243,320.025,252.928,1238,323.525,253.326,1234,326.95099999999996,252.18,1238,332.038,253.301,1243,337.17699999999996,255.11599999999999,1252,333.37199999999996,258.072,1243,329.361,259.923,1238,324.512,260.937,1234,320.057,260.767,1238,316.675,259.586,1243,315.111,257.315,1243,319.514,256.42400000000004,1243,323.955,256.14799999999997,1238,329.181,255.486,1238,335.14099999999996,255.40900000000002,1247,329.36,256.077,1238,324.067,256.726,1238,319.518,257.001,1243,297.633,229.676,1294,297.693,237.144,1289,298.54400000000004,244.105,1284,300.218,251.08900000000003,1275,302.492,257.719,1270,305.73900000000003,263.66,1265,309.66900000000004,268.617,1261,314.211,272.83099999999996,1265,319.692,275.816,1261,326.402,276.66700000000003,1265,333.939,275.316,1261,341.023,272.097,1270,347.24,267.33299999999997,1275,352.26599999999996,261.722,1284,355.895,254.99099999999999,1304,357.93199999999996,247.485,1309,358.81800000000004,239.74099999999999,1309,359.041,231.792,1304,358.48699999999997,223.63099999999997,1314,309.39099999999996,227.479,1284,338.051,224.40200000000002,1275,323.075,242.435,1247,315.262,212.942,1270,310.966,211.735,1309,305.57599999999996,211.709,1304,301.112,213.55599999999998,1314,298.395,216.25400000000002,1319,328.092,211.104,1289,333.04400000000004,208.886,1294,339.42800000000005,207.60299999999998,1294,344.795,208.52,1299,348.509,210.453,1309
317.993,232.34,1275,315.26099999999997,230.918,1280,311.908,230.641,1280,308.691,231.37,1280,306.325,232.926,1280,308.967,233.882,1275,312.065,234.06900000000002,1275,315.23900000000003,233.52,1275,336.214,230.542,1270,338.545,228.58599999999998,1275,341.833,227.69099999999997,1275,345.2,227.831,1280,348.087,228.916,1284,345.61699999999996,230.33900000000003,1275,342.49800000000005,231.08900000000003,1270,339.16900000000004,231.141,1270,317.715,222.264,1270,313.414,221.071,1289,308.806,220.78799999999998,1294,304.937,221.903,1299,302.01599999999996,223.903,1299,302.309,226.167,1294,305.66900000000004,224.797,1294,309.4,224.078,1289,313.47700000000003,224.199,1284,317.807,224.87099999999998,1270,333.32,220.517,1275,337.599,218.542,1289,342.56,217.332,1284,346.955,217.66299999999998,1289,350.66900000000004,218.956,1294,350.843,221.361,1294,346.865,220.72400000000002,1289,342.75699999999995,220.785,1284,338.251,221.69299999999998,1284,333.795,223.17700000000002,1270,322.83,231.949,1265,322.532,237.014,1252,321.295,241.96200000000002,1252,318.591,246.33700000000002,1256,319.983,250.18,1247,325.982,250.516,1243,330.691,250.11,1243,337.235,248.738,1252,337.866,244.541,1252,334.029,240.815,1256,331.92900000000003,236.113,1252,330.74300000000005,231.197,1261,317.788,260.17400000000004,1243,321.487,257.92400000000004,1238,325.506,256.392,1234,329.342,256.70799999999997,1238,332.819,255.672,1238,338.015,256.377,1238,343.27,257.744,1252,339.60900000000004,261.147,1243,335.648,263.308,1238,330.63699999999994,264.39799999999997,1238,325.557,264.098,1234,321.631,262.675,1238,319.558,260.25,1238,324.718,259.441,1234,329.861,259.161,1234,335.42199999999997,258.45099999999996,1238,341.408,258.222,1247,335.772,259.705,1238,330.056,260.618,1234,324.777,260.692,1234,297.817,234.02,1299,298.406,241.25,1289,299.66700000000003,247.958,1280,302.032,254.679,1280,305.125,260.818,1265,309.369,266.192,1270,314.219,270.611,1261,319.58799999999997,274.345,1247,325.652,276.92400000000004,1256,332.725,277.527,1256,340.32,275.998,1270,346.961,272.754,1275,352.713,268.242,1280,357.50800000000004,263.009,1289,360.955,256.742,0,362.642,249.791,0,363.21,242.56,1309,363.02099999999996,235.26,1314,362.144,227.898,1314,312.056,232.458,1275,342.145,229.517,1270,328.209,246.65,1247,318.643,219.50900000000001,1275,313.96299999999997,218.225,1299,308.36400000000003,217.924,1299,303.407,219.423,1299,300.041,221.753,1309,331.79400000000004,217.955,1270,336.37,215.854,1289,342.23900000000003,214.451,1289,347.788,214.845,1294,352.025,216.275,1309
312.9,228.856,1275,310.394,227.326,1280,307.358,226.78400000000002,1289,304.362,227.078,1294,302.084,228.227,1294,304.317,229.449,1294,307.20799999999997,229.882,1294,310.198,229.61900000000003,1289,329.405,229.083,1270,332.152,227.672,1270,335.461,227.27200000000002,1275,338.71,227.66400000000002,1275,341.543,228.775,1275,338.8,229.968,1275,335.631,230.338,1270,332.379,230.00599999999997,1265,312.562,218.80700000000002,1256,308.572,217.077,1299,304.053,216.25599999999997,1304,300.768,217.31799999999998,1314,298.595,219.416,1319,298.91,221.56,1314,301.4,220.26,1309,304.394,219.796,1304,308.293,220.352,1299,312.29,221.452,1261,328.01599999999996,218.46200000000002,1284,333.041,216.91400000000002,1289,338.72,216.209,1289,342.981,217.55,1289,346.17199999999997,219.668,1289,346.051,221.96,1289,342.277,220.551,1284,338.17900000000003,219.96,1284,333.167,220.352,1284,328.161,221.392,1275,316.811,228.985,1261,316.139,234.329,1256,314.45799999999997,239.283,1256,311.496,243.21099999999998,1261,311.893,247.30900000000003,1256,316.594,248.535,1247,321.075,248.645,1238,328.225,247.84,1252,329.131,243.513,1252,325.817,239.512,1252,324.653,234.372,1256,324.397,229.043,0,310.715,256.605,1247,313.634,255.321,1243,316.974,254.615,1243,320.342,255.445,1238,323.871,254.768,1238,328.772,255.513,1238,334.131,256.765,1243,330.111,260.074,1243,325.812,262.034,1238,320.765,262.643,1238,316.383,261.71299999999997,1247,313.29400000000004,259.714,1247,312.35900000000004,257.026,1243,316.176,257.135,1243,320.51599999999996,257.623,1243,325.914,257.258,1238,331.955,257.153,1243,326.182,258.426,1238,320.5,258.807,1243,315.926,258.181,1243,297.563,228.78599999999997,1299,297.35900000000004,235.65400000000002,1294,297.95599999999996,242.263,1284,299.519,248.81,1275,301.594,255.051,1265,304.401,260.677,1256,307.639,265.615,1256,311.25,270.288,1256,315.619,274.158,1261,321.651,276.022,1256,328.853,275.601,1252,335.934,273.235,1256,342.389,269.423,1265,347.879,264.7,1275,352.401,258.844,1284,355.222,252.016,1299,356.76300000000003,244.707,1299,357.665,237.12400000000002,1304,357.93199999999996,229.14,1304,307.353,228.403,1294,335.51,228.847,1275,319.836,244.731,1256,313.79900000000004,215.96400000000003,1275,309.492,214.12900000000002,1304,303.894,213.19799999999998,1309,299.236,214.679,1319,296.508,217.18900000000002,1324,327.089,215.47400000000002,1289,332.38199999999995,213.858,1289,338.98900000000003,213.09900000000002,1289,344.301,214.732,1294,347.86800000000005,217.074,1294
316.827,230.35299999999998,1256,314.16700000000003,228.63099999999997,1261,310.875,227.995,1270,307.629,228.34799999999998,1275,305.189,229.657,1275,307.57,230.94,1270,310.689,231.41400000000002,1265,313.933,231.146,1256,333.94599999999997,230.44400000000002,1252,336.751,228.77,1256,340.256,228.215,1261,343.788,228.648,1261,346.717,229.916,1265,343.917,231.185,1256,340.574,231.615,1256,337.101,231.32299999999998,1252,316.64799999999997,219.247,1247,312.487,217.48,1280,307.733,216.735,1284,304.242,217.88400000000001,1289,301.883,220.11599999999999,1289,302.16200000000003,222.324,1284,304.875,220.929,1289,308.07599999999996,220.40200000000002,1280,312.182,220.92700000000002,1280,316.322,222.054,1238,332.596,218.861,1265,337.78,217.201,1270,343.74300000000005,216.451,1275,348.162,217.847,1275,351.412,220.076,1275,351.17900000000003,222.44299999999998,1275,347.44300000000004,220.988,1270,343.251,220.33900000000003,1270,338.022,220.78599999999997,1265,332.856,221.918,1261,320.961,230.377,1243,320.245,236.03799999999998,1238,318.44,241.36,1238,315.21,245.645,1243,315.742,250.08700000000002,1243,320.84,251.16,1234,325.535,251.24200000000002,1229,332.88300000000004,250.44099999999997,1238,333.787,245.793,1238,330.283,241.519,1238,329.038,236.079,0,328.718,230.445,1247,313.63599999999997,259.385,1225,317.17900000000003,258.42400000000004,1229,320.915,257.83099999999996,1225,324.492,258.72900000000004,1221,328.176,257.964,1225,333.259,258.487,1234,339.0,259.401,1238,334.444,262.442,1234,329.779,264.17400000000004,1221,324.475,264.726,1221,319.848,263.9,1229,316.504,262.184,1225,315.204,259.779,1229,319.71,260.363,1225,324.473,260.969,1221,330.226,260.44,1229,336.64,259.825,1234,330.285,260.638,1229,324.177,260.945,1221,319.222,260.48400000000004,1225,299.879,230.135,1280,299.447,237.291,1275,299.675,244.24400000000003,1265,300.921,251.149,1265,302.85900000000004,257.79200000000003,1252,305.736,263.714,1247,309.235,268.908,1243,313.298,273.86400000000003,1252,318.243,277.88599999999997,1243,325.024,279.695,1252,332.94,278.968,1247,340.38300000000004,276.272,1256,347.069,272.155,1261,352.736,267.133,1270,357.236,260.999,1275,360.08,253.81099999999998,1280,361.587,246.18900000000002,1284,362.411,238.30599999999998,1289,362.608,230.183,1299,310.86,229.81099999999998,1265,340.381,230.014,1256,324.09,247.15599999999998,1234,317.942,216.25099999999998,1261,313.411,214.358,1280,307.51,213.511,1284,302.625,215.101,1294,299.698,217.752,1299,331.596,215.74200000000002,1270,337.074,214.00400000000002,1275,344.027,213.19400000000002,1270,349.57300000000004,214.91,1275,353.236,217.393,1284
316.156,229.519,1265,313.464,227.775,1275,310.18,227.206,1280,306.948,227.66,1289,304.487,229.04,1289,306.934,230.226,1280,310.05400000000003,230.61900000000003,1280,313.26599999999996,230.296,1280,332.92699999999996,229.301,1275,335.685,227.611,1275,339.091,227.032,1270,342.458,227.426,1275,345.20599999999996,228.708,1280,342.51,229.899,1270,339.338,230.30599999999998,1270,336.01599999999996,230.07,1270,315.856,219.141,1280,311.423,217.49400000000003,1294,306.358,216.929,1299,302.788,218.304,1304,300.462,220.707,1309,300.895,222.82,1304,303.599,221.265,1299,306.857,220.571,1299,311.23900000000003,220.942,1294,315.655,221.94400000000002,1265,331.505,218.695,1270,336.439,217.063,1284,342.101,216.33700000000002,1284,346.365,217.62599999999998,1289,349.42900000000003,219.822,1289,349.236,222.074,1289,345.635,220.669,1289,341.64300000000003,220.118,1284,336.665,220.585,1280,331.717,221.701,1270,320.397,229.545,1256,320.02299999999997,235.196,1252,318.51099999999997,240.375,1256,315.47900000000004,244.47,1261,316.063,248.745,1256,321.471,249.71200000000002,1252,326.041,249.678,1243,333.0,248.549,1247,333.6,244.04,1252,330.036,240.112,1247,328.556,234.894,1252,327.98199999999997,229.377,1261,314.286,257.999,1243,317.909,256.89599999999996,1243,321.719,256.22700000000003,1238,325.291,257.056,1238,328.855,256.17400000000004,1238,333.665,256.543,1243,338.945,257.238,1252,334.73699999999997,260.322,1238,330.402,262.089,1238,325.381,262.74,1238,320.785,262.106,1238,317.33299999999997,260.582,1243,315.883,258.316,1243,320.47,258.657,1238,325.188,259.123,1234,330.70599999999996,258.442,1238,336.76300000000003,257.718,1247,330.788,258.712,1238,324.964,259.173,1234,320.029,258.868,1238,298.528,229.773,1294,298.483,237.18099999999998,1289,299.098,244.22799999999998,1280,300.622,251.13099999999997,1284,302.79200000000003,257.778,1270,305.957,263.596,1265,309.665,268.55400000000003,1261,314.01599999999996,273.18,1261,319.347,276.743,1261,326.107,278.183,1261,333.47900000000004,277.253,1265,340.278,274.449,1261,346.23,270.20799999999997,1270,351.235,265.097,1275,355.16900000000004,258.928,1289,357.506,251.886,1284,358.663,244.459,1289,359.189,236.801,1294,359.126,228.834,1299,310.186,229.043,1280,339.154,228.794,1270,324.275,245.71,1243,316.98400000000004,216.145,1289,312.204,214.395,1299,306.01,213.77599999999998,1299,301.082,215.648,1314,298.222,218.47799999999998,1319,330.48800000000006,215.649,1275,335.722,213.935,1289,342.349,213.141,1284,347.746,214.74200000000002,1289,351.25199999999995,217.21,1294
318.666,227.18099999999998,1265,316.176,225.52,1275,313.035,225.114,1280,310.189,226.21400000000003,1280,308.267,228.523,1280,310.83799999999997,229.079,1275,313.60900000000004,229.03799999999998,1275,316.35200000000003,228.433,1275,335.17900000000003,225.94400000000002,1270,337.241,223.87099999999998,1275,340.31199999999995,223.003,1275,343.51800000000003,223.643,1280,346.116,225.57,1280,343.711,226.567,1275,340.73800000000006,226.93200000000002,1270,337.707,226.74099999999999,1270,319.055,217.915,1256,314.855,217.028,1294,310.476,217.44799999999998,1299,306.791,219.06900000000002,1299,304.185,221.55200000000002,1299,304.776,223.738,1299,307.775,221.83900000000003,1299,311.288,220.65599999999998,1294,315.212,220.37,1275,319.347,220.824,1256,332.18,216.676,1275,336.285,215.205,1289,341.259,214.947,1289,345.51199999999994,216.011,1289,348.935,217.88099999999997,1294,348.84,220.332,1289,345.01300000000003,218.89700000000002,1284,341.05699999999996,218.28599999999997,1280,336.52099999999996,218.636,1280,332.399,219.649,1270,323.14099999999996,226.94400000000002,1256,322.515,231.21599999999998,1256,321.20599999999996,235.34,1256,319.61,239.457,1256,321.22700000000003,243.22299999999998,1252,325.79900000000004,242.597,1252,329.096,242.419,1252,334.9,242.407,1256,335.89599999999996,238.236,1256,333.17400000000004,234.42,1256,331.31800000000004,230.59799999999998,1252,330.038,226.454,1252,320.307,256.306,1238,322.329,252.343,1238,325.264,249.623,1238,328.685,249.78799999999998,1238,331.80199999999996,249.097,1238,336.223,251.28099999999998,1247,340.207,254.791,1252,337.211,255.88099999999997,1243,333.82599999999996,256.598,1234,329.898,256.988,1234,326.158,257.032,1234,323.038,256.73900000000003,1234,322.846,255.298,1238,325.678,253.609,1234,329.311,252.988,1234,333.346,253.145,1238,337.293,254.38,1243,333.29400000000004,253.171,1238,329.32099999999997,253.013,1238,325.842,253.585,1234,300.681,230.493,1294,300.385,237.646,1284,300.665,244.78900000000002,1280,302.078,252.278,1280,304.282,259.603,1275,308.015,266.20099999999996,1270,312.717,270.87,1265,318.426,274.244,1261,325.15,276.189,1256,332.49800000000005,276.71,1252,340.686,275.474,1261,348.35900000000004,273.045,1280,354.764,268.758,1289,359.469,263.272,0,362.19,256.05400000000003,0,362.86800000000005,248.188,1309,362.608,240.253,1294,361.56300000000005,232.562,1299,359.936,225.263,1304,313.392,227.388,1280,340.565,225.28400000000002,1275,327.613,239.762,1252,319.638,215.136,1261,314.973,214.18,1299,309.613,214.704,1299,304.953,216.799,1304,301.922,219.65,1309,331.07300000000004,213.99599999999998,1284,335.586,212.394,1294,341.495,212.088,1289,346.707,213.372,1294,350.564,215.422,1299
319.85400000000004,228.76,1270,317.156,227.195,1275,313.758,226.875,1280,310.541,227.597,1280,308.138,229.18099999999998,1280,310.811,230.301,1275,313.953,230.545,1275,317.12,230.017,1265,337.80199999999996,227.143,1270,340.064,225.06900000000002,1275,343.301,224.15099999999998,1284,346.551,224.304,1289,349.30400000000003,225.44299999999998,1289,346.995,226.975,1284,344.01800000000003,227.77700000000002,1280,340.724,227.81400000000002,1275,320.07599999999996,219.671,1261,315.776,218.282,1289,311.207,217.74599999999998,1294,307.015,218.60299999999998,1294,303.697,220.46400000000003,1299,304.05400000000003,223.005,1294,307.671,221.84900000000002,1294,311.631,221.27700000000002,1289,315.736,221.514,1280,320.086,222.317,1261,335.10699999999997,218.206,1275,339.01300000000003,216.173,1284,343.445,214.82299999999998,1289,347.724,214.791,1294,351.532,215.85,1304,351.774,218.43200000000002,1299,347.89300000000003,218.106,1289,343.945,218.368,1289,339.80800000000005,219.34599999999998,1280,335.75,220.831,1275,324.839,228.585,1256,324.707,234.141,1252,323.684,239.48,1247,321.267,244.12900000000002,1252,322.83299999999997,248.229,1247,329.01300000000003,248.78599999999997,1243,333.608,248.424,1247,339.506,246.77700000000002,1256,340.00699999999995,242.34,1256,336.34,238.239,1252,334.125,233.171,1256,332.723,227.82299999999998,1261,320.532,258.853,1238,324.383,256.81,1234,328.472,255.426,1234,332.292,255.764,1234,335.648,254.771,1238,340.384,255.30599999999998,1243,345.159,256.53700000000003,1252,341.86300000000006,260.192,1243,338.227,262.547,1234,333.48900000000003,263.676,1234,328.476,263.248,1234,324.513,261.60400000000004,1234,322.52099999999996,259.031,1234,327.79400000000004,258.4,1234,332.765,258.19599999999997,1234,337.855,257.505,1234,343.30199999999996,257.128,1252,338.208,258.875,1234,332.945,259.847,1234,327.82099999999997,259.772,1234,297.788,229.643,1294,298.606,237.61599999999999,1289,300.091,245.21900000000002,1280,302.747,252.826,1275,306.238,259.655,1265,311.119,265.586,1265,316.358,270.14599999999996,1261,322.058,273.915,1252,328.36199999999997,276.324,1252,335.4,276.846,1261,342.69,275.101,1270,348.835,271.66,1270,354.045,266.906,1280,358.50800000000004,261.45599999999996,1284,361.842,254.543,1309,363.411,246.983,1314,363.819,239.127,1309,363.42199999999997,231.271,1314,362.35699999999997,223.545,1319,313.91700000000003,228.80900000000003,1275,343.595,226.084,1280,330.782,244.55,1243,321.02,216.78,1265,316.376,215.294,1289,310.92,214.679,1294,305.684,215.79,1299,301.901,217.925,1309,333.471,215.532,0,337.63599999999997,213.37099999999998,1289,342.866,211.795,1294,348.277,211.736,1299,352.652,212.908,1309
316.007,230.18200000000002,1261,313.29200000000003,227.727,1270,309.579,226.997,1280,306.184,227.99599999999998,1289,304.051,230.405,1284,306.574,231.22299999999998,1280,309.796,231.355,1280,313.10400000000004,230.96,1270,332.70300000000003,229.355,1265,335.083,226.546,1275,338.845,225.482,1275,342.79900000000004,226.27599999999998,1275,345.62,228.63099999999997,1275,342.779,229.553,1270,339.43,229.878,1270,335.89,229.764,1270,316.301,218.21200000000002,1256,312.125,216.919,1294,307.316,217.09900000000002,1299,303.785,218.85,1304,301.43,221.62099999999998,1304,301.768,223.75099999999998,1299,304.654,221.892,1299,308.003,220.84400000000002,1294,312.19,220.78099999999998,1256,316.348,221.493,1256,330.694,217.195,1280,335.69,215.476,1284,341.81800000000004,215.05900000000003,1284,346.56300000000005,216.69400000000002,1289,349.76,219.37900000000002,1289,349.29699999999997,221.81599999999997,1289,345.585,220.033,1280,341.306,219.16299999999998,1280,335.977,219.50599999999997,1284,330.969,220.563,1275,319.953,229.51,1256,318.584,235.62599999999998,1256,316.26099999999997,241.17,1256,313.138,246.332,1256,314.43,251.282,1243,319.976,251.046,1234,323.905,250.938,1238,330.897,250.926,1252,332.17800000000005,246.06900000000002,1252,328.909,241.271,1256,327.51099999999997,235.757,1256,327.125,229.581,1261,310.642,264.119,1238,313.82599999999996,261.233,1238,317.652,259.165,1238,321.212,259.994,1229,324.75,259.055,1234,329.718,260.937,1238,334.30800000000005,263.64799999999997,1247,330.305,266.314,1247,325.982,267.796,1238,321.03,268.369,1243,316.67,267.863,1243,313.389,266.52,1243,312.681,263.944,1238,316.76099999999997,263.173,1238,321.16700000000003,263.11400000000003,1234,326.33799999999997,263.01599999999996,1234,331.56800000000004,263.71299999999997,1247,326.068,263.847,1234,320.914,264.08099999999996,1234,316.535,263.998,1238,297.58,231.62599999999998,1299,296.181,239.83599999999998,1289,295.41900000000004,247.82299999999998,1284,295.978,255.924,1289,297.605,264.164,1289,300.465,271.747,1284,303.99,278.134,1299,308.509,284.03,1299,314.41900000000004,288.34,1299,322.253,290.2,1289,331.366,289.027,1284,339.832,285.779,1289,347.18300000000005,280.488,1294,353.039,274.01599999999996,1304,357.036,265.947,0,359.26599999999996,257.055,1299,360.292,247.805,1299,360.332,238.611,1299,359.75300000000004,229.222,1299,309.823,229.606,1280,339.144,228.18599999999998,1270,322.462,247.37900000000002,1238,317.3,215.09599999999998,1261,312.55400000000003,213.649,1299,306.461,213.89700000000002,1299,301.715,216.28799999999998,1309,298.887,219.537,1314,329.648,214.12400000000002,1289,335.05800000000005,212.295,1284,342.246,211.843,1289,348.166,213.87599999999998,1294,351.85699999999997,216.91400000000002,1299
317.765,231.074,1261,315.339,229.65400000000002,1270,312.298,229.324,1275,309.356,229.896,1280,307.20099999999996,231.248,1275,309.499,232.291,1275,312.289,232.58700000000002,1270,315.22700000000003,232.16099999999997,1265,335.478,229.868,1265,337.68,228.044,1270,340.759,227.31,1270,343.904,227.505,1270,346.64099999999996,228.618,1275,344.217,229.963,1275,341.235,230.605,1265,338.126,230.563,1265,317.704,220.385,1265,314.191,219.07,1289,310.387,218.579,1294,306.915,219.28,1294,304.199,220.93,1299,304.17400000000004,223.421,1294,307.289,222.36700000000002,1289,310.7,221.93,1289,314.139,222.213,1280,317.825,222.997,1261,333.01599999999996,219.067,1275,336.92699999999996,217.22799999999998,1280,341.454,216.114,1284,345.591,216.378,1289,349.05400000000003,217.63299999999998,1294,349.381,220.236,1284,345.52099999999996,219.59900000000002,1284,341.536,219.65,1284,337.37699999999995,220.445,1280,333.23400000000004,221.774,1275,322.41,230.83599999999998,1252,321.73900000000003,235.93,1247,320.233,241.019,1247,317.466,245.63099999999997,1252,318.655,249.55200000000002,1247,324.08299999999997,250.04,1238,328.449,249.80200000000002,1238,334.944,248.815,1247,335.84,244.58700000000002,1252,332.48,240.453,1252,330.77,235.451,0,329.907,230.398,0,316.639,260.053,1238,319.807,257.584,1234,323.442,256.001,1234,326.91900000000004,256.41200000000003,1234,330.19800000000004,255.53,1238,335.08,256.681,1243,339.88199999999995,258.64599999999996,1247,336.42400000000004,262.154,1238,332.668,264.371,1234,327.87199999999996,265.387,1234,323.245,264.815,1229,319.85400000000004,262.993,1229,318.37,260.21,1238,322.83,259.248,1234,327.323,259.047,1234,332.39300000000003,258.69,1234,337.986,259.074,1238,332.676,260.561,1234,327.499,261.302,1229,322.879,261.113,1229,299.444,232.304,1294,299.561,239.52700000000002,1284,300.408,246.233,1275,302.291,252.96099999999998,1280,304.823,259.176,1265,308.316,264.823,1265,312.454,269.824,1261,317.163,274.14799999999997,1256,322.64799999999997,277.332,1256,329.30199999999996,278.345,1252,336.69199999999995,277.116,1261,343.343,273.895,1265,349.25,269.30400000000003,1270,354.173,263.947,1284,357.866,257.756,1284,360.064,250.78599999999997,1294,361.094,243.505,1294,361.394,236.02200000000002,1294,360.958,228.50900000000001,1299,312.372,231.02900000000002,1270,341.005,229.05900000000003,1265,326.519,246.237,1243,318.811,217.65400000000002,1265,314.925,216.225,1294,310.19599999999997,215.655,1294,305.689,216.637,1299,302.52,218.575,1304,331.61800000000005,216.44400000000002,1270,335.834,214.48,1284,341.17900000000003,213.185,1284,346.316,213.505,1289,350.25,214.9,1294
