0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
311.507,230.041,1225,308.76599999999996,228.445,1225,305.513,228.1,1225,302.47900000000004,228.888,1252,300.349,230.68599999999998,1252,302.751,231.516,0,305.722,231.59599999999998,0,308.762,231.047,1221,328.13,228.75799999999998,1225,330.704,226.72299999999998,1229,334.12199999999996,225.915,1234,337.62199999999996,226.295,1234,340.593,227.745,1234,337.8,228.95,1234,334.565,229.438,1229,331.236,229.351,1225,310.853,219.37900000000002,1221,306.752,218.205,1221,302.223,218.25400000000002,1265,298.996,219.86,1270,296.942,222.36599999999999,1265,297.362,224.507,1261,299.882,222.732,1261,302.92900000000003,221.74200000000002,1247,306.85400000000004,221.704,1225,310.928,222.321,1225,326.036,217.787,1238,330.98699999999997,215.976,1238,336.86199999999997,215.24099999999999,1247,341.411,216.51,1247,344.782,218.75799999999998,1247,344.726,221.139,1238,340.76099999999997,219.625,1238,336.494,219.051,1238,331.295,219.609,1238,326.301,220.89700000000002,1238,315.384,229.422,0,314.64,234.774,1221,312.869,239.69299999999998,1216,309.981,243.96,1208,310.80400000000003,248.31799999999998,1212,315.871,248.729,1212,320.255,248.511,1208,327.572,247.541,1212,328.38199999999995,243.104,1212,324.911,239.234,1216,323.503,234.365,0,323.0,229.085,0,308.964,259.128,1204,311.91,256.587,1204,315.587,255.04,1204,319.329,255.56900000000002,1204,323.125,254.649,1208,328.608,255.648,1208,334.214,257.617,1212,329.999,261.714,1208,325.481,264.164,1204,320.025,265.183,1200,315.249,264.495,1204,311.848,262.494,1200,310.655,259.217,1204,314.617,258.079,1204,319.471,257.969,1200,325.514,257.482,1204,332.16,258.04200000000003,1208,325.982,260.293,1204,319.7,261.22700000000003,1200,314.597,260.77099999999996,1204,295.663,231.929,1256,295.255,238.977,1247,295.395,245.773,1238,296.67,252.576,1225,298.764,259.28700000000003,1221,301.728,265.443,1216,305.181,270.775,1216,309.17400000000004,275.845,1221,314.118,279.941,1225,320.95,281.70799999999997,1234,329.02,280.774,0,336.809,277.855,1238,343.745,273.231,0,349.332,267.552,0,353.425,260.803,0,355.756,253.143,1261,356.82,245.046,1265,357.13800000000003,236.84099999999998,1261,356.73900000000003,228.237,1270,305.731,230.04,0,334.346,227.89700000000002,1234,318.83099999999996,244.886,1212,311.702,216.31,1225,307.135,215.054,1216,301.454,215.19099999999997,1275,297.027,217.395,1270,294.503,220.364,1275,324.938,214.797,1243,330.233,212.88099999999997,1238,337.083,212.067,1252,342.716,213.618,1252,346.52,216.115,1252
311.647,232.467,0,309.158,230.75,0,305.835,230.217,1238,302.762,230.903,1247,300.82599999999996,232.747,1247,303.055,233.74,1243,306.031,233.956,0,309.084,233.50799999999998,0,328.478,231.74099999999999,1225,330.875,229.546,1225,334.48900000000003,228.68599999999998,1229,338.35900000000004,229.218,1229,341.55300000000005,230.82299999999998,1234,338.7,232.143,1225,335.18800000000005,232.695,1221,331.56800000000004,232.512,1221,311.38,219.245,1225,307.997,217.924,1270,304.255,217.745,1270,301.291,219.035,1270,299.231,221.324,1270,299.347,223.53,1265,301.846,222.00900000000001,1265,304.718,221.28599999999997,1261,307.921,221.46400000000003,1221,311.223,222.245,1216,326.34,217.73,1238,331.596,215.86700000000002,1238,337.94699999999995,215.09900000000002,1243,342.74699999999996,216.766,1243,346.288,219.217,1247,345.94300000000004,221.706,1243,342.01199999999994,220.023,1238,337.517,219.18,1238,332.01199999999994,219.703,1238,326.797,220.97400000000002,1238,315.236,231.732,1221,313.738,237.107,1212,311.38,242.321,1212,308.267,247.30200000000002,1212,309.314,252.06,1208,313.681,252.097,1212,317.837,252.053,1216,325.381,252.285,1216,326.94,247.588,1212,323.797,242.85299999999998,0,322.823,237.472,0,322.802,231.87900000000002,1225,306.83799999999997,263.785,1208,309.258,260.932,1208,312.568,259.006,1208,316.002,259.633,1212,319.652,258.95799999999997,1212,325.056,260.815,1204,330.50800000000004,263.801,1216,326.367,267.288,1216,321.733,269.427,1208,316.345,270.193,1208,312.025,269.313,1208,309.113,267.21,1204,308.70799999999997,263.855,1204,312.089,262.881,1208,316.41,262.796,1208,321.95,262.846,1208,327.871,263.93,1204,321.993,265.115,1204,316.29400000000004,265.56,1208,311.942,265.038,1204,297.086,233.787,1252,295.76,240.604,1256,295.198,247.43900000000002,1238,296.039,254.46099999999998,1229,297.743,261.247,1225,300.116,267.628,1212,303.125,273.471,1225,306.658,279.10900000000004,1229,310.964,283.883,1238,317.842,286.155,1243,326.961,285.322,1243,335.733,282.221,1256,343.745,277.566,0,350.22900000000004,271.865,0,354.94699999999995,264.954,0,357.972,256.935,1256,359.522,248.49900000000002,1261,360.121,239.96,1256,359.976,231.263,1256,306.05,232.28599999999997,0,334.901,230.921,1225,317.075,248.57,1216,312.559,216.28,1234,308.651,214.813,1229,303.67,214.625,1265,299.436,216.451,1270,296.868,219.2,1280,325.272,214.707,1238,330.86300000000006,212.748,1238,338.278,211.917,1238,344.18800000000005,213.918,1247,348.102,216.605,1252
296.81,230.558,1280,295.4,229.394,1280,293.567,229.283,1284,292.318,230.291,1289,292.27299999999997,232.343,1280,293.212,232.30900000000003,1280,294.414,231.862,1280,295.709,231.36700000000002,1280,306.284,228.515,1275,307.143,226.142,1280,309.358,225.049,1280,312.16200000000003,225.31099999999998,1280,314.813,226.76,1280,312.67400000000004,227.549,1280,310.459,228.06599999999997,1280,308.286,228.391,1275,295.634,222.959,1294,295.025,222.50900000000001,1294,294.625,222.856,1294,293.77099999999996,223.11900000000003,1294,293.11,223.998,1294,292.8,225.98,1294,293.872,225.36,1294,294.972,225.024,1294,295.51099999999997,224.813,1294,296.298,224.918,1294,302.198,219.47299999999998,1299,305.445,217.667,1294,309.724,216.84400000000002,1294,313.573,217.17,1294,317.10200000000003,218.15,1289,317.878,220.65599999999998,1284,313.70099999999996,220.012,1289,309.677,219.87400000000002,1294,305.68,220.605,1294,302.395,221.889,1294,297.322,229.65,1280,294.965,233.71099999999998,1280,292.685,237.859,1284,291.427,242.58700000000002,1280,292.941,245.78099999999998,1275,294.317,245.503,1275,296.268,245.22799999999998,1275,302.65,245.615,1265,304.509,242.142,1265,302.369,237.87099999999998,1275,301.711,234.01,1275,301.711,229.515,1280,293.694,257.939,1256,292.785,254.071,1256,293.373,251.415,1256,295.345,251.541,1256,297.695,250.93,1256,302.676,253.368,1261,307.362,257.07099999999997,1261,304.70099999999996,260.056,1261,301.494,261.95599999999996,1261,297.79,262.921,1261,295.462,262.384,1261,294.362,260.651,1256,295.121,257.628,1256,295.10400000000004,255.472,1256,296.904,254.618,1256,300.75,255.062,1256,305.45599999999996,257.10900000000004,1261,301.251,258.42,1261,297.694,259.103,1261,295.948,258.83,1256,293.913,233.507,1280,291.932,237.93099999999998,1280,290.449,242.609,1280,290.699,247.82299999999998,1275,292.04900000000004,253.59799999999998,1256,293.61,259.84,1256,295.318,265.546,1265,296.688,271.01,1270,298.095,275.54,1284,301.918,278.08299999999997,1284,309.355,277.95099999999996,1284,318.274,276.062,1284,326.92900000000003,271.897,1280,333.69699999999995,266.512,1289,338.449,259.132,1294,340.74800000000005,250.95,1294,341.279,242.38,1294,340.538,234.028,1289,339.26099999999997,225.483,1299,294.21299999999997,230.926,1284,310.14799999999997,226.97299999999998,1280,297.14599999999996,242.82299999999998,1275,296.42400000000004,221.386,1299,295.29,220.791,1294,294.177,221.157,1294,292.717,221.688,1294,291.70599999999996,222.90900000000002,1294,301.282,217.9,1304,304.806,215.97299999999998,1294,309.585,215.033,1294,313.8,215.332,1294,317.482,216.31599999999997,1294
313.317,231.362,1208,310.964,229.479,1208,307.601,228.771,1204,304.472,229.359,1221,302.531,231.143,1238,304.775,232.12,0,307.793,232.438,1208,310.842,232.196,1208,329.704,231.562,1208,332.161,229.554,1212,335.906,228.91099999999997,1212,339.846,229.64700000000002,1212,343.031,231.396,1216,340.12,232.395,1212,336.57,232.74200000000002,1204,332.833,232.423,1204,313.746,217.81400000000002,1212,310.59,216.207,1216,307.111,215.765,1247,304.124,216.702,1247,301.876,218.804,1247,301.774,221.108,1243,304.41200000000003,219.81,1247,307.283,219.37099999999998,1191,310.36400000000003,219.80200000000002,1204,313.421,220.798,1204,327.726,216.998,1221,333.124,215.37,1221,339.589,214.93400000000003,1229,344.454,216.90900000000002,1229,348.00800000000004,219.57,1229,347.405,222.058,1225,343.55699999999996,220.17700000000002,1225,338.99,219.06,1221,333.392,219.356,1221,328.116,220.36900000000003,1221,316.686,230.87099999999998,1208,314.72700000000003,236.31099999999998,1204,311.994,241.56,1195,308.707,246.733,1204,309.692,251.516,1204,314.23900000000003,251.68400000000003,1195,318.152,251.787,1195,326.043,252.518,1191,327.856,247.725,1200,324.858,242.72799999999998,0,323.81,237.248,0,323.835,231.332,1204,307.098,263.839,1183,309.39799999999997,260.673,1187,312.828,258.685,1187,316.33799999999997,259.402,1191,320.199,258.97700000000003,1191,325.82599999999996,261.351,1187,331.17900000000003,264.914,1195,326.987,268.623,1183,322.275,270.83,1187,316.832,271.54400000000004,1187,312.42400000000004,270.513,1183,309.504,268.089,1183,309.172,264.09,1183,312.52299999999997,262.945,1187,317.004,262.84,1187,322.80400000000003,263.371,1183,328.526,265.01,1187,322.764,266.23400000000004,1183,316.932,266.645,1187,312.44,265.856,1183,298.52299999999997,231.92,1238,296.493,239.459,1234,295.495,247.018,1221,296.17900000000003,254.80200000000002,1212,297.997,262.283,1204,300.54400000000004,269.22900000000004,1191,303.654,275.535,1204,307.289,281.595,1216,311.952,286.526,1252,319.488,288.79,1247,329.36699999999996,287.585,1234,338.528,283.87,1229,346.608,278.735,0,353.01,272.621,1056,357.51099999999997,265.032,0,360.334,256.555,0,361.702,248.00900000000001,0,361.968,239.47099999999998,0,361.707,230.96,0,307.78700000000003,230.859,1208,336.27099999999996,231.079,1204,317.693,248.282,1195,315.19,215.035,1221,311.508,213.236,1225,306.843,212.68099999999998,1243,302.58,213.99599999999998,1247,299.767,216.511,1252,326.815,213.968,1225,332.56,212.25799999999998,1221,340.087,211.81,1234,346.019,214.167,1234,349.917,217.079,1234
314.857,232.965,0,312.013,231.255,0,308.509,230.843,1289,305.12,231.673,1289,302.70799999999997,233.53599999999997,1289,305.425,234.47,1284,308.676,234.63299999999998,0,311.986,234.054,0,332.858,231.593,1275,335.37699999999995,229.53900000000002,1275,338.86699999999996,228.637,1284,342.399,229.017,1289,345.219,230.50799999999998,1294,342.626,231.77900000000002,1284,339.35,232.363,1275,335.92199999999997,232.26,1275,314.824,222.451,1261,309.78,221.27900000000002,1294,304.277,221.278,1304,300.30400000000003,223.09900000000002,1304,297.623,225.8,1309,298.3,227.607,1299,301.447,225.703,1299,305.1,224.628,1299,309.82,224.63299999999998,1289,314.70599999999996,225.315,1261,330.29400000000004,221.085,1284,335.416,219.238,1294,341.32099999999997,218.41,1299,345.911,219.666,1304,349.298,221.86599999999999,1309,348.898,223.873,1304,345.185,222.472,1299,341.07300000000004,221.959,1294,335.95599999999996,222.61599999999999,1294,330.841,223.975,1284,319.513,232.37900000000002,1256,319.137,237.396,1256,317.671,242.015,1265,314.707,246.01,1261,315.86,250.076,1256,322.02,250.235,1252,326.66900000000004,249.933,1256,333.435,248.99599999999998,1256,334.1,244.73,1261,330.42400000000004,241.195,0,328.50300000000004,236.729,0,327.595,231.799,0,313.041,260.939,1243,316.772,258.048,1247,321.117,256.112,1247,325.166,256.545,1252,328.99800000000005,255.52900000000002,1247,334.339,256.777,1252,339.385,258.99,1261,335.75699999999995,262.547,1252,331.62300000000005,264.842,1247,326.29400000000004,265.925,1238,320.935,265.543,1238,316.822,263.89099999999996,1247,314.947,260.878,1243,320.045,259.597,1247,325.552,259.26,1243,331.461,258.777,1243,337.365,259.27,1247,331.825,260.89799999999997,1243,325.809,261.803,1243,320.153,261.714,1243,294.32099999999997,235.054,1304,294.655,242.562,1299,295.746,249.513,1289,297.774,256.501,1284,300.552,263.01099999999997,1270,304.44,268.70099999999996,1284,309.03700000000003,273.241,1265,314.314,277.161,1265,320.51099999999997,279.96,1261,327.973,280.79900000000004,1265,335.781,279.257,1280,342.556,275.938,1280,348.27,271.30400000000003,0,352.935,265.909,1294,356.224,259.507,0,357.89300000000003,252.49900000000002,0,358.60900000000004,245.19400000000002,1324,358.574,237.959,1314,357.83,230.368,1314,308.66200000000003,232.929,1289,339.077,230.71200000000002,1280,324.361,246.649,1256,315.658,219.567,1275,310.21,218.31900000000002,1299,303.564,218.377,1304,298.381,220.771,1314,295.258,223.888,1319,329.05800000000005,218.30900000000003,1289,334.52099999999996,216.357,1294,341.515,215.433,1309,347.37699999999995,216.99900000000002,1314,351.264,219.468,1314
311.732,232.53799999999998,0,309.274,230.708,0,305.942,230.084,0,302.832,230.69400000000002,0,300.855,232.502,1243,303.068,233.592,0,306.05,233.891,0,309.138,233.512,0,328.58,232.143,1221,331.006,229.94299999999998,1221,334.62699999999995,229.135,1221,338.49199999999996,229.71200000000002,1221,341.656,231.368,1225,338.778,232.666,1221,335.275,233.176,1216,331.666,232.94799999999998,1221,311.61,219.389,1221,308.257,217.912,0,304.5,217.528,1261,301.464,218.679,1256,299.32099999999997,220.89700000000002,1261,299.389,223.162,1256,301.947,221.745,1256,304.862,221.14700000000002,1256,308.096,221.46400000000003,1208,311.405,222.372,1216,326.644,218.137,1234,331.875,216.31400000000002,1234,338.153,215.56099999999998,1229,342.931,217.208,1234,346.464,219.65,1238,346.129,222.179,1238,342.184,220.52599999999998,1234,337.68199999999996,219.68900000000002,1234,332.228,220.178,1229,327.03700000000003,221.392,1234,315.32099999999997,231.988,0,313.784,237.565,1212,311.392,242.97299999999998,1208,308.219,248.05599999999998,1212,309.228,252.85,1204,313.625,253.053,1208,317.837,253.077,1208,325.404,253.328,1208,326.993,248.562,1204,323.867,243.61599999999999,1204,322.934,238.014,1216,322.942,232.218,1221,306.98400000000004,264.781,1204,309.353,262.014,1200,312.619,260.192,1204,316.03,260.901,1204,319.654,260.254,1204,324.974,262.156,1204,330.349,265.16200000000003,1204,326.3,268.738,1204,321.716,270.921,1200,316.356,271.649,1204,312.051,270.647,1204,309.20799999999997,268.375,1200,308.895,264.942,1200,312.17900000000003,264.02099999999996,1204,316.41900000000004,264.014,1200,321.885,264.135,1200,327.733,265.322,1204,321.955,266.62,1200,316.34,267.04,1200,312.084,266.374,1204,296.942,233.37900000000002,1247,295.54900000000004,240.429,1243,295.01,247.46599999999998,1229,295.911,254.68200000000002,1229,297.699,261.659,1216,300.156,268.198,1212,303.193,274.235,1216,306.715,280.056,1234,310.95599999999996,284.933,1229,317.704,287.328,1238,326.687,286.575,1234,335.36800000000005,283.472,1234,343.32800000000003,278.781,0,349.858,273.072,1037,354.764,266.063,0,357.961,257.942,1256,359.63800000000003,249.347,1256,360.31699999999995,240.649,1261,360.26099999999997,231.805,1261,306.111,232.19,0,335.01,231.387,1221,317.07099999999997,249.43900000000002,1208,312.922,216.47799999999998,1225,309.068,214.83599999999998,1225,304.08099999999996,214.38299999999998,1256,299.72,216.02,1261,297.036,218.69,1261,325.592,215.106,1234,331.152,213.19,1234,338.483,212.37599999999998,1225,344.37199999999996,214.357,1234,348.282,217.04,1243
315.214,232.21099999999998,1265,312.45,230.577,1275,309.086,230.333,1280,306.017,231.364,1280,304.0,233.38,1280,306.59,234.25099999999998,1280,309.607,234.263,1275,312.626,233.519,1275,331.77,229.88,1270,333.87699999999995,227.55,1275,337.101,226.388,1275,340.476,226.567,1275,343.276,227.90400000000002,1275,340.96,229.428,1275,337.958,230.261,1270,334.704,230.385,1270,314.64599999999996,223.19400000000002,1261,309.974,222.196,1294,304.914,222.325,1299,301.16200000000003,224.1,1299,298.66700000000003,226.743,1299,299.528,228.63299999999998,1299,302.407,226.785,1299,305.843,225.64700000000002,1299,310.186,225.46900000000002,1280,314.715,225.951,1265,328.43699999999995,221.02,1275,332.959,218.77599999999998,1284,338.31199999999995,217.43900000000002,1289,342.816,218.093,1284,346.42800000000005,219.77900000000002,1289,346.278,221.963,1289,342.525,221.06900000000002,1284,338.534,220.984,1289,333.815,222.03400000000002,1284,329.269,223.73,1275,319.41,231.72299999999998,1252,319.453,236.89700000000002,1252,318.585,241.78400000000002,1256,316.56,246.111,1256,318.036,250.09400000000002,1256,323.436,250.22799999999998,1243,327.547,249.71200000000002,1243,333.671,248.145,1252,333.98900000000003,243.78099999999998,1256,330.413,240.236,1256,328.25,235.696,0,326.887,230.68900000000002,0,316.893,261.349,1247,319.906,258.603,1238,323.44599999999997,256.685,1238,327.11,256.909,1243,330.38800000000003,255.727,1238,335.315,256.483,1243,340.213,258.075,1252,337.102,261.503,1247,333.483,263.85200000000003,1238,328.89099999999996,265.094,1234,324.209,264.95,1229,320.491,263.644,1229,318.828,261.142,1243,323.135,260.006,1234,327.796,259.505,1238,332.87800000000004,258.699,1238,338.14099999999996,258.519,1252,333.29,260.08299999999997,1238,328.105,261.17900000000003,1238,323.319,261.393,1234,296.63599999999997,234.46400000000003,1299,297.495,242.045,1294,299.03700000000003,249.22299999999998,1280,301.60400000000004,256.428,1275,304.848,263.113,1261,309.256,268.913,1261,313.948,273.243,1265,319.14599999999996,276.851,1256,325.08299999999997,279.154,1256,331.89099999999996,279.608,1265,339.168,277.681,1256,345.50699999999995,274.215,1275,350.72900000000004,269.362,1275,354.958,263.803,0,357.82300000000004,256.733,1309,358.775,249.146,1294,358.69599999999997,241.326,1294,357.874,233.62400000000002,1294,356.379,225.834,1304,309.449,232.487,1280,337.515,228.545,1275,325.28,246.262,1247,315.259,220.27599999999998,1256,310.207,219.218,1294,304.098,219.43400000000003,1299,299.212,221.78,1309,296.284,224.84799999999998,1314,326.957,218.356,1270,331.767,215.982,1289,338.06800000000004,214.449,1284,343.775,215.22799999999998,1289,347.905,217.09099999999998,1294
310.991,231.487,0,308.722,229.71099999999998,1208,305.518,229.09400000000002,1212,302.601,229.80599999999998,1221,300.879,231.68900000000002,1238,302.98400000000004,232.447,0,305.806,232.618,0,308.656,232.31900000000002,0,326.252,231.115,1216,328.455,228.967,1216,332.00199999999995,228.149,1216,335.834,228.815,1221,338.87800000000004,230.548,1216,336.165,231.515,1216,332.805,231.919,1216,329.25199999999995,231.747,1216,311.276,218.69799999999998,1225,308.369,217.412,1225,305.182,217.328,1256,302.494,218.33,1261,300.483,220.33700000000002,1261,300.383,222.472,1256,302.816,221.175,1256,305.46,220.62099999999998,1221,308.281,220.803,1216,311.078,221.554,1212,323.98400000000004,217.412,1234,329.06699999999995,215.748,1221,335.284,215.28099999999998,1229,339.93699999999995,217.03900000000002,1234,343.37300000000005,219.467,1234,342.86400000000003,221.877,1229,339.17699999999996,220.16299999999998,1229,334.81800000000004,219.148,1225,329.42699999999996,219.50900000000001,1225,324.452,220.59400000000002,1234,314.036,230.764,0,312.08099999999996,235.84400000000002,0,309.432,240.80599999999998,1208,306.373,245.832,1204,307.478,250.426,1204,311.704,250.31599999999997,1200,315.274,250.312,1204,322.705,250.99599999999998,1204,324.459,246.426,1200,321.57099999999997,241.72299999999998,1208,320.536,236.66,1208,320.524,231.112,1216,304.547,261.772,1195,306.894,259.005,1195,310.085,257.052,1200,313.336,257.715,1200,316.883,257.153,1204,322.218,259.22700000000003,1195,327.393,262.20099999999996,1195,323.19,264.901,1195,318.677,266.454,1195,313.672,267.034,1191,309.653,266.393,1191,306.861,264.803,1191,306.423,261.806,1195,309.78700000000003,261.172,1191,313.938,261.08099999999996,1191,319.289,261.35,1195,324.67,262.215,1195,319.045,262.325,1195,313.69,262.541,1191,309.57,262.284,1191,297.26099999999997,232.565,1247,295.24,239.331,1243,293.908,246.225,1234,294.132,253.41400000000002,1221,295.497,260.513,1212,297.687,267.185,1204,300.597,273.103,1216,304.101,278.777,1221,308.66700000000003,283.355,1225,316.073,285.381,1234,325.85900000000004,284.214,1229,335.006,280.906,1221,343.111,276.13,1238,349.465,270.309,1063,353.708,263.006,0,356.24199999999996,254.77900000000002,1238,357.355,246.53,1243,357.42900000000003,238.292,1243,357.01099999999997,230.141,1234,305.77,231.146,0,332.455,230.347,1216,314.875,247.105,1204,312.499,216.03099999999998,1234,309.033,214.565,1234,304.719,214.446,1256,300.928,215.855,1265,298.423,218.25900000000001,1261,323.065,214.595,1234,328.495,212.842,1221,335.707,212.35,0,341.341,214.442,1234,345.102,217.09799999999998,1234
314.80400000000003,231.66,0,311.952,230.06400000000002,1284,308.567,229.852,1289,305.488,230.985,1294,303.522,233.127,1284,306.126,233.893,1284,309.163,233.828,0,312.199,232.998,0,331.35699999999997,228.99599999999998,1275,333.48900000000003,226.627,1280,336.73400000000004,225.378,1280,340.17800000000005,225.543,1280,342.99800000000005,226.917,1284,340.676,228.428,1275,337.63199999999995,229.28400000000002,1275,334.355,229.44400000000002,1275,313.925,222.16299999999998,0,308.978,221.372,1304,303.60900000000004,221.826,1309,299.974,223.995,1314,297.738,226.93599999999998,1304,298.707,228.579,1299,301.415,226.418,1299,304.73900000000003,225.032,1299,309.297,224.65400000000002,1289,314.03700000000003,224.981,0,327.754,219.69,1284,332.6,217.386,1294,338.394,216.076,1294,343.0,217.021,1294,346.54,218.953,1294,346.259,220.975,1294,342.51,219.834,1289,338.471,219.59099999999998,1294,333.459,220.668,1289,328.62199999999996,222.467,1284,318.914,230.984,0,319.003,235.925,1261,318.10900000000004,240.562,1265,315.971,244.65,1261,317.432,248.56,1256,322.918,248.487,1247,327.03,247.89,1252,333.37300000000005,246.29,1256,333.64300000000003,242.0,1261,329.955,238.81799999999998,1261,327.76300000000003,234.58599999999998,1265,326.425,229.81900000000002,0,316.046,259.44,1243,319.233,256.63599999999997,1243,322.901,254.611,1238,326.671,254.78900000000002,1238,330.06699999999995,253.484,1238,335.24800000000005,254.141,1247,340.44599999999997,255.558,1256,337.043,258.776,1252,333.202,260.95599999999996,1243,328.476,262.204,1234,323.711,262.29400000000004,1234,319.843,261.36,1238,317.839,259.13,1243,322.425,257.945,1238,327.375,257.356,1234,332.798,256.344,1238,338.44199999999995,255.933,1256,333.161,257.274,1238,327.618,258.406,1234,322.553,258.878,1238,296.638,234.67700000000002,1304,297.54,242.021,1294,299.10200000000003,248.886,1284,301.595,255.78,1280,304.753,262.22900000000004,1270,309.027,267.735,1256,313.704,271.764,1261,318.916,275.09,1261,324.91200000000003,277.17400000000004,1256,331.843,277.45,1261,339.195,275.467,0,345.654,272.04,1270,350.94800000000004,267.28,1284,355.14,261.813,0,357.819,254.968,0,358.57800000000003,247.643,0,358.38199999999995,240.113,0,357.49,232.72099999999998,1304,355.92199999999997,225.09099999999998,1309,308.978,232.051,1289,337.17699999999996,227.577,1275,324.80400000000003,244.657,1252,314.425,219.25900000000001,1256,309.077,218.42700000000002,1309,302.59,219.043,1309,297.80400000000003,221.91,1319,295.164,225.324,1324,326.33299999999997,217.045,1280,331.491,214.609,1294,338.324,213.12,1294,344.181,214.261,1304,348.221,216.40200000000002,1309
309.856,232.567,1175,307.457,230.766,0,304.295,230.095,0,301.356,230.639,0,299.464,232.30599999999998,0,301.618,233.168,1179,304.443,233.43,1175,307.335,233.252,1175,325.77,232.877,1179,328.32800000000003,231.00799999999998,1179,331.93300000000005,230.43900000000002,1183,335.689,231.123,1179,338.843,232.782,1179,335.88699999999994,233.637,1179,332.48699999999997,233.894,1179,328.935,233.61700000000002,1179,310.142,221.257,1179,306.997,219.608,1175,303.532,219.09599999999998,1175,300.63599999999997,219.785,1175,298.481,221.606,1175,298.337,223.99900000000002,1171,300.867,222.903,1171,303.63599999999997,222.597,1171,306.778,223.062,1175,309.925,224.082,1179,323.595,220.452,1187,328.955,218.88299999999998,1187,335.27099999999996,218.515,1191,340.061,220.143,1191,343.781,222.497,1195,343.523,225.16299999999998,1191,339.32300000000004,223.468,1187,334.649,222.49400000000003,1191,329.043,222.735,1187,323.788,223.72099999999998,1183,312.952,232.326,1175,310.952,237.782,0,308.23900000000003,243.0,1171,305.04200000000003,247.887,1175,305.795,252.408,1167,310.23400000000004,253.19099999999997,1167,314.214,253.343,1171,322.407,253.58599999999998,1167,324.129,248.88400000000001,1167,320.997,244.035,1167,319.889,238.706,1171,319.872,232.778,1179,303.569,263.837,1159,306.02099999999996,261.509,1159,309.268,260.05400000000003,1159,312.753,260.9,1163,316.637,260.39599999999996,1167,322.507,262.253,1163,328.445,264.86400000000003,1171,323.72,268.012,1163,318.827,269.736,1163,313.39,270.272,1159,308.993,269.36,1155,306.048,267.377,1159,305.425,264.14,1159,308.97,263.816,1155,313.453,264.033,1159,319.48900000000003,264.306,1159,325.876,265.04,1163,319.499,265.582,1159,313.388,265.814,1159,308.803,265.233,1155,296.002,232.923,1200,294.125,240.155,0,293.0,247.428,1191,293.457,254.986,1187,295.066,262.577,1167,297.55400000000003,269.742,1163,300.621,275.991,1167,304.047,281.961,1179,308.534,286.754,1183,315.786,289.077,1204,325.444,288.371,1200,334.94800000000004,285.514,1212,343.50699999999995,280.905,0,350.39300000000003,275.118,1238,355.411,267.52099999999996,0,358.333,258.931,0,359.685,250.21599999999998,0,359.996,241.44400000000002,0,359.855,232.579,1216,304.478,232.028,1171,332.23400000000004,232.422,1179,313.882,249.541,1171,311.572,218.571,1187,307.92900000000003,216.736,1187,303.39799999999997,216.095,1175,299.296,217.076,1221,296.556,219.27900000000002,1225,322.73,217.489,1191,328.435,215.84,1191,335.685,215.457,1191,341.401,217.378,1195,345.44699999999995,219.94,1200
