0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
312.942,232.68,1284,310.236,231.35299999999998,0,307.009,231.18599999999998,1299,303.992,232.12900000000002,1299,301.913,233.923,1299,304.457,234.63299999999998,1299,307.383,234.622,0,310.358,233.933,0,330.12800000000004,230.17700000000002,1294,332.31,228.11,1289,335.445,227.06099999999998,1294,338.731,227.165,1294,341.54900000000004,228.291,1299,339.189,229.67700000000002,1294,336.204,230.465,1289,333.01199999999994,230.63400000000001,1289,312.373,223.36,1280,308.095,222.468,1309,303.53700000000003,222.62099999999998,1314,299.899,224.075,1314,297.329,226.31599999999997,1319,297.79900000000004,228.39700000000002,1314,300.832,226.733,1314,304.309,225.715,1314,308.324,225.535,1299,312.6,225.952,1284,326.735,220.99,1294,331.00800000000004,218.924,1304,336.091,217.72099999999998,1309,340.466,218.111,1309,344.116,219.437,1309,344.291,221.715,1309,340.342,220.998,1309,336.283,221.02200000000002,1304,331.713,222.014,1299,327.286,223.636,1294,317.319,232.062,1284,317.112,236.768,1280,316.018,241.329,1275,313.618,245.476,1275,315.02299999999997,249.123,1275,320.745,249.18400000000003,1270,325.112,248.61599999999999,1261,331.666,247.043,1270,332.13300000000004,242.972,1275,328.35,239.727,1270,326.194,235.56400000000002,0,324.88599999999997,231.028,0,313.111,259.217,1256,316.579,256.57099999999997,1261,320.432,254.791,1261,324.272,254.919,1261,327.76300000000003,253.734,1256,333.134,254.285,1261,338.602,255.62099999999998,1270,334.906,259.015,1265,330.935,261.20099999999996,1261,325.942,262.441,1256,320.96299999999997,262.441,1261,317.03700000000003,261.356,1261,314.655,259.105,1256,319.726,257.895,1265,324.922,257.33,1261,330.65,256.38599999999997,1261,336.87300000000005,256.036,1270,331.086,257.697,1261,325.215,258.83299999999997,1256,319.853,259.204,1265,294.70799999999997,235.46400000000003,1319,295.29200000000003,242.36599999999999,1304,296.508,248.72799999999998,1294,298.811,255.17700000000002,1299,301.815,261.224,1294,305.959,266.491,1289,310.66900000000004,270.611,1280,315.922,273.98900000000003,1275,321.901,276.17900000000003,1270,328.81199999999995,276.52,1280,336.336,274.808,0,343.01199999999994,271.587,0,348.686,267.029,0,353.236,261.737,0,356.282,255.324,1314,357.452,248.325,0,357.529,241.136,1324,356.87,234.017,1329,355.56800000000004,226.833,1329,307.286,233.05700000000002,0,335.82099999999997,228.94799999999998,1289,322.83299999999997,245.43400000000003,1270,313.092,220.676,1275,308.408,219.71599999999998,1319,302.86400000000003,219.937,1319,298.21,221.868,1324,295.238,224.47799999999998,1334,325.248,218.567,1294,329.841,216.36,1309,335.829,214.968,1309,341.287,215.429,1314,345.41900000000004,216.887,1319
329.81699999999995,232.956,1275,327.047,231.232,1275,323.597,230.865,1280,320.303,231.768,1275,317.66700000000003,233.799,1280,320.782,234.65599999999998,1275,324.123,234.74099999999999,1275,327.217,234.16,1275,346.205,231.905,0,348.406,229.99900000000002,1294,351.454,229.21099999999998,1299,354.401,229.653,1304,356.68300000000005,231.235,1304,354.70099999999996,232.389,1299,352.022,232.893,1299,348.99699999999996,232.68099999999998,0,330.63599999999997,223.21599999999998,1284,325.298,222.043,1294,319.849,222.016,1289,315.348,223.85,1289,311.909,226.583,1294,312.813,228.628,1289,316.649,226.725,1289,320.834,225.581,1289,325.635,225.513,1289,330.58,226.175,1275,344.135,222.75,1280,347.786,221.25599999999997,1304,351.745,220.655,1309,355.466,221.46900000000002,1314,358.624,223.321,1319,358.264,225.385,1314,355.217,224.385,1314,352.086,224.05200000000002,1309,348.471,224.53900000000002,1299,344.962,225.528,1270,335.168,232.298,0,335.68199999999996,237.657,0,335.042,242.315,1261,333.031,246.17700000000002,1256,335.045,250.34099999999998,1256,341.911,249.704,1265,345.963,249.468,1265,350.151,248.768,1275,350.23800000000006,244.456,1265,346.92199999999997,240.683,1265,344.379,236.43,0,342.566,231.517,1270,332.535,261.777,1256,336.288,258.795,1252,340.793,256.546,1256,344.665,256.775,1261,347.843,256.02099999999996,1256,351.48699999999997,257.29200000000003,1265,354.36800000000005,259.845,1270,352.412,263.028,1270,349.722,265.152,1265,345.92,266.097,1261,341.12300000000005,265.80400000000003,1252,336.72,264.421,1256,335.165,261.51,1256,340.091,260.003,1256,344.962,259.476,1256,349.006,259.293,1265,352.25199999999995,260.097,1265,349.335,261.405,1265,345.23900000000003,262.159,1256,340.281,262.13,1256,303.212,235.667,1294,304.639,244.25400000000002,1294,306.501,252.584,1294,309.34,260.884,1280,313.22900000000004,268.065,1275,318.777,273.916,1275,325.052,277.70799999999997,1275,332.094,280.461,1280,339.70300000000003,281.822,1280,347.615,281.65,1294,354.33,279.29400000000004,0,359.061,275.485,0,362.48900000000003,270.671,0,365.13800000000003,265.112,0,366.528,258.43,0,366.642,251.419,0,366.153,244.138,1309,364.892,237.28900000000002,1314,363.12300000000005,230.53,1314,323.819,233.02200000000002,1275,351.60900000000004,231.24599999999998,1294,342.288,246.489,1261,331.06699999999995,220.237,1284,325.404,219.018,1294,319.026,219.04,1294,313.51599999999996,221.261,1294,309.682,224.273,1299,342.76199999999994,219.919,1280,346.67,218.333,1299,351.55800000000005,217.614,1309,356.634,218.62599999999998,1319,360.42900000000003,220.729,1334
318.133,230.078,1256,315.277,228.321,1275,311.71299999999997,227.955,1280,308.337,228.877,1280,306.025,230.838,1280,308.721,231.755,1280,312.003,231.838,1270,315.302,231.173,1256,334.973,228.5,1275,337.381,226.325,1275,340.892,225.305,1275,344.455,225.63299999999998,1280,347.222,227.09599999999998,1280,344.718,228.438,1275,341.473,229.097,1270,338.041,229.054,1270,317.914,221.02599999999998,1256,312.538,220.013,1284,306.634,220.138,1299,302.697,222.24400000000003,1294,300.21,225.175,1294,301.25,226.528,1294,304.103,224.51,1294,307.584,223.301,1294,312.55,223.185,1280,317.638,223.729,1252,332.5,219.498,1275,337.827,217.532,1289,343.967,216.52599999999998,1289,348.595,217.88400000000001,1294,351.86800000000005,220.172,1294,351.13699999999994,221.82,1294,347.723,220.429,1284,343.75800000000004,219.923,1284,338.539,220.692,1280,333.327,222.135,1270,322.416,229.549,1256,322.314,234.433,1252,321.129,238.85299999999998,1252,318.54,242.623,1256,319.66900000000004,246.523,1247,325.285,246.611,1243,329.718,246.232,1247,335.91,245.18900000000002,1252,336.385,241.105,0,332.912,237.86599999999999,0,331.056,233.618,0,330.165,228.829,0,317.531,257.26599999999996,1238,320.812,254.549,1234,324.738,252.611,1238,328.551,252.99,1238,332.13199999999995,251.94099999999997,1238,336.973,253.046,1247,341.515,254.988,1247,338.464,258.223,1243,334.705,260.475,1238,329.75800000000004,261.58799999999997,1229,324.694,261.313,1229,320.884,259.829,1238,319.68,257.084,1243,323.98,255.938,1234,328.97,255.555,1234,334.269,255.00400000000002,1238,339.282,255.28400000000002,1247,334.602,256.73,1238,329.23,257.676,1229,324.147,257.67,1234,298.124,231.94799999999998,1294,298.76599999999996,239.179,1284,300.183,246.015,1275,302.449,252.81099999999998,1270,305.399,259.09,1256,309.408,264.513,1252,313.816,268.582,1252,318.796,272.129,1261,324.64599999999996,274.57599999999996,1256,331.668,275.268,1256,338.936,273.559,1261,345.17199999999997,270.307,0,350.288,265.846,0,354.54,260.755,0,357.61699999999996,254.388,0,359.05199999999996,247.55599999999998,0,359.629,240.44099999999997,1309,359.491,233.438,1299,358.647,226.06400000000002,1309,311.939,230.104,1275,341.144,227.43099999999998,1270,327.443,243.125,1243,318.58,218.215,1256,312.848,217.15099999999998,1289,305.806,217.377,1299,300.624,220.13400000000001,1299,297.702,223.517,1299,331.31800000000004,216.824,0,336.94,214.766,1289,344.175,213.65200000000002,1289,350.134,215.333,1299,353.907,217.899,1304
314.243,232.88299999999998,0,311.717,231.487,0,308.64,231.158,0,305.857,231.858,0,304.035,233.481,0,306.222,234.06900000000002,0,308.972,234.08,1261,311.758,233.68099999999998,1265,328.80300000000005,232.06,1265,331.168,230.18200000000002,1265,334.49300000000005,229.46400000000003,1270,338.009,229.9,1270,340.93,231.24099999999999,1270,338.314,232.157,1265,335.145,232.56,1265,331.788,232.495,1265,314.013,223.77599999999998,1261,310.694,222.671,1265,307.108,222.58599999999998,1265,304.281,223.6,1309,302.314,225.562,1314,302.495,227.43900000000002,1304,304.829,226.16400000000002,1304,307.459,225.588,1265,310.599,225.701,1265,313.768,226.317,1265,327.047,222.325,1280,331.959,220.642,1284,337.769,219.9,1284,342.13199999999995,221.207,1280,345.444,223.233,1284,344.95300000000003,225.308,1280,341.54400000000004,223.998,1280,337.535,223.325,1280,332.472,223.83599999999998,1280,327.653,225.003,1270,317.377,232.09900000000002,0,316.101,236.73,1261,314.015,241.205,1256,311.244,245.327,1256,311.937,249.31099999999998,1256,315.992,249.458,1261,319.822,249.35299999999998,1256,326.757,249.15400000000002,1252,327.889,245.14,1252,325.055,241.422,1256,323.887,237.08599999999998,1261,323.649,232.153,1265,308.89799999999997,259.27099999999996,1252,311.344,256.78700000000003,1256,314.70099999999996,255.21,1256,318.188,255.658,1256,321.939,255.11,1247,327.22700000000003,256.573,1252,332.384,259.10200000000003,1256,328.458,263.077,1252,324.092,265.557,1247,318.811,266.507,1252,314.339,265.643,1247,311.399,263.38599999999997,1252,310.775,259.566,1252,314.103,258.378,1252,318.748,258.214,1247,324.567,258.26599999999996,1243,330.184,259.462,1256,324.781,261.597,1243,318.809,262.504,1243,314.051,261.789,1247,300.256,233.87900000000002,0,299.009,240.084,0,298.425,246.442,1280,299.181,252.982,1270,300.91,259.447,1261,303.404,265.438,1261,306.214,270.539,1261,309.408,275.552,1275,313.709,279.54400000000004,1275,320.611,281.216,1270,329.26300000000003,279.856,1270,337.14300000000003,276.59,1275,343.88199999999995,272.036,0,349.24800000000005,266.65,0,353.02,259.945,1289,355.191,252.505,1294,356.18800000000005,244.965,1299,356.426,237.565,0,356.15,230.15900000000002,1304,308.93,232.83700000000002,0,334.83099999999996,231.257,1265,319.089,246.296,1256,314.91900000000004,221.043,1270,311.144,219.83900000000003,1275,306.605,219.774,1314,302.748,221.18200000000002,1319,300.3,223.532,1309,326.11400000000003,219.597,1284,331.30699999999996,217.835,1280,337.99699999999996,217.03099999999998,1284,343.30699999999996,218.588,1284,346.957,220.805,1289
309.46299999999997,232.42,1265,307.02299999999997,231.14700000000002,0,304.23,230.832,0,301.59,231.437,1284,299.687,232.865,1294,301.763,233.611,1294,304.355,233.71599999999998,0,307.025,233.28599999999997,0,324.238,231.338,1270,326.619,229.683,1270,329.65,228.979,1270,332.785,229.21599999999998,1270,335.55400000000003,230.273,1275,333.036,231.394,1270,330.12300000000005,231.88099999999997,1270,327.11400000000003,231.85299999999998,1270,308.78,223.05,1261,305.296,221.891,1275,301.482,221.804,1299,298.726,222.938,1314,296.91200000000003,224.888,1314,297.142,226.963,1304,299.35400000000004,225.582,1304,301.982,224.88099999999997,1299,305.351,224.94799999999998,1261,308.836,225.576,1261,322.008,221.515,1280,326.543,219.815,1280,331.914,219.088,1284,336.01099999999997,220.032,1284,339.249,221.795,1284,339.42900000000003,224.109,1280,335.625,222.912,1284,331.621,222.477,1280,326.796,223.05200000000002,1275,322.237,224.31900000000002,1275,312.724,232.051,0,311.96,236.86700000000002,0,310.324,241.42,1261,307.67,245.298,1261,308.329,249.168,1256,312.823,249.96,1252,316.878,249.768,1256,323.938,248.588,1252,324.652,244.457,1261,321.289,240.956,1265,319.94,236.549,1270,319.425,231.743,1270,306.983,257.545,1256,309.95099999999996,256.24,1252,313.142,255.362,1252,316.46299999999997,255.93599999999998,1252,319.893,255.02700000000002,1256,325.073,255.322,1247,330.837,255.955,1256,326.315,258.816,1247,321.878,260.418,1243,316.928,261.159,1247,312.704,260.775,1247,309.635,259.64,1247,308.27299999999997,257.675,1252,312.295,257.815,1247,316.715,258.04,1252,322.33099999999996,257.26099999999997,1247,328.80800000000005,256.384,1252,322.434,257.23900000000003,1247,316.499,257.82599999999996,1252,311.869,257.83299999999997,1247,296.08099999999996,233.773,1299,295.66200000000003,239.773,1299,295.48400000000004,245.65400000000002,1294,296.325,251.59099999999998,1280,298.02299999999997,257.561,1270,300.625,263.047,1261,303.86,267.717,1256,307.496,272.19,1261,311.953,275.828,1265,318.274,277.312,1261,325.945,276.509,1261,333.527,274.121,1270,340.381,270.2,1270,345.91,265.269,1275,349.904,259.275,1284,352.055,252.34,1289,352.88,245.153,1289,353.033,237.766,1294,352.651,230.113,1289,304.392,232.41400000000002,0,329.89,230.577,1270,315.738,246.202,1256,309.661,220.377,1270,305.758,219.13,1275,300.973,219.076,1314,297.16700000000003,220.642,1314,294.899,222.975,1324,321.01,218.855,1280,325.849,217.06,1280,332.04,216.25400000000002,1289,337.015,217.393,1289,340.603,219.334,1284
316.569,230.46400000000003,0,313.72,229.08700000000002,1280,310.17,228.88400000000001,1280,306.763,229.859,1280,304.224,231.791,1280,307.091,232.39,1280,310.449,232.313,1280,313.768,231.658,1280,334.94800000000004,228.733,1275,337.46,226.854,1280,340.879,225.976,1284,344.276,226.28400000000002,1289,346.93800000000005,227.709,1289,344.46,228.8,1289,341.25699999999995,229.343,1275,337.866,229.31900000000002,1275,317.309,221.858,1261,312.215,221.115,1294,306.96,221.447,1299,302.635,222.982,1299,299.439,225.298,1299,299.95,227.28400000000002,1299,303.502,225.579,1299,307.534,224.498,1294,312.27099999999996,224.19400000000002,1289,317.289,224.51,1261,332.787,220.324,1284,337.365,218.75099999999998,1289,342.56,218.085,1289,346.965,218.71099999999998,1294,350.38699999999994,220.267,1294,350.159,222.32,1294,346.524,221.37099999999998,1294,342.54699999999997,221.13099999999997,1289,337.86800000000005,221.752,1289,333.249,222.93200000000002,1289,321.846,229.83900000000003,0,321.441,234.208,0,320.01599999999996,238.235,1247,317.241,242.011,1256,318.73,245.639,1256,325.164,245.118,1252,329.792,244.69799999999998,1252,335.72900000000004,243.96599999999998,1256,336.454,240.101,0,333.069,236.87400000000002,0,331.01599999999996,233.215,0,329.834,229.041,1265,315.241,256.66900000000004,1247,319.106,253.416,1252,323.663,251.136,1252,327.915,251.192,1252,331.899,250.31,1252,336.68800000000005,251.574,1256,340.95300000000003,254.02700000000002,1256,337.733,256.605,1252,333.964,258.323,1243,328.7,259.34,1238,323.219,259.422,1238,319.009,258.518,1247,317.625,256.226,1247,322.715,254.519,1247,328.171,253.804,1247,333.556,253.43599999999998,1247,338.691,254.08599999999998,1252,333.74,254.96599999999998,1247,328.337,255.675,1247,322.825,256.035,1247,292.551,233.842,1309,292.86400000000003,240.87400000000002,1299,293.904,247.669,1304,295.965,254.565,1289,298.987,260.962,1284,303.491,266.496,1270,308.857,270.374,1270,315.09,273.27099999999996,1261,322.219,274.887,1256,330.18699999999995,274.996,1256,338.04400000000004,273.226,0,344.731,270.11400000000003,0,350.19800000000004,265.70099999999996,1280,354.505,260.468,0,357.379,254.097,0,358.773,247.295,1309,359.218,240.382,1309,358.85,233.715,1309,357.827,227.16,1314,310.344,230.80599999999998,1280,341.01099999999997,227.877,1280,327.024,242.08,1256,318.03700000000003,219.222,1265,312.555,218.428,1299,306.405,218.828,1299,301.16,220.73,1299,297.572,223.331,1309,331.55800000000005,217.864,1284,336.509,216.17700000000002,1289,342.644,215.41099999999997,1294,348.11400000000003,216.213,1304,352.017,217.96900000000002,1314
314.04,231.503,1270,311.407,229.945,1275,308.176,229.726,1280,305.19,230.726,1289,303.195,232.685,1280,305.64599999999996,233.52900000000002,1280,308.57,233.53900000000002,1280,311.532,232.826,1275,331.142,229.232,1275,333.283,226.99099999999999,1275,336.42900000000003,225.918,1280,339.67699999999996,226.114,1275,342.366,227.495,1275,340.05300000000005,228.94299999999998,1275,337.088,229.713,1275,333.914,229.805,1275,313.823,221.928,1256,309.558,220.925,1299,304.994,221.024,1299,301.26,222.484,1299,298.64,224.868,1299,299.20799999999997,227.14700000000002,1299,302.189,225.46900000000002,1299,305.654,224.458,1294,309.702,224.295,1284,313.97900000000004,224.768,1270,328.039,219.775,1280,332.305,217.672,1289,337.311,216.477,1289,341.66900000000004,216.921,1294,345.156,218.46599999999998,1294,345.25,220.882,1289,341.48900000000003,220.077,1289,337.506,220.05599999999998,1289,333.01,221.028,1284,328.648,222.62099999999998,1280,318.494,230.942,1275,318.20599999999996,236.142,1256,317.047,241.11700000000002,1261,314.779,245.699,1261,316.233,249.78900000000002,1252,321.80400000000003,249.798,1243,325.884,249.31,1252,332.119,247.93400000000003,1252,332.652,243.477,1256,329.295,239.676,0,327.262,235.048,0,326.015,229.989,0,314.413,261.76599999999996,1247,317.501,258.569,1247,321.251,256.414,1238,324.998,256.582,1238,328.486,255.454,1238,333.412,256.495,1247,338.124,258.649,1256,334.972,262.285,1256,331.335,264.72700000000003,1252,326.507,266.05,1243,321.70599999999996,265.885,1238,317.98400000000004,264.39799999999997,1252,316.372,261.566,1252,320.823,259.994,1247,325.53700000000003,259.371,1234,330.668,258.737,1238,336.09,259.028,1252,331.075,260.789,1247,325.893,261.873,1234,321.019,262.04400000000004,1243,294.783,234.296,1299,295.26599999999996,242.082,1289,296.492,249.455,1280,298.721,256.893,1280,301.689,263.849,1275,305.841,270.007,1275,310.476,274.73900000000003,1275,315.757,278.61,1270,321.885,281.089,1275,328.93699999999995,281.584,1275,336.39099999999996,279.673,1280,342.921,276.031,1284,348.352,270.884,0,352.668,264.95799999999997,0,355.658,257.719,1304,356.995,249.91400000000002,1314,357.222,241.915,1304,356.67199999999997,234.017,1299,355.41,226.132,1309,308.47,231.81,1280,336.744,228.02700000000002,1275,323.726,245.85,1252,314.577,218.968,1261,309.913,217.894,1304,304.388,218.04,1304,299.628,219.942,1299,296.579,222.68900000000002,1309,326.613,217.062,1275,331.21,214.81599999999997,1284,337.089,213.43900000000002,1294,342.48199999999997,213.989,1294,346.445,215.71,1304
315.372,232.47099999999998,1275,312.591,231.10299999999998,1284,309.20599999999996,230.99400000000003,1299,306.068,232.03099999999998,1299,303.942,233.951,1299,306.627,234.519,1299,309.70099999999996,234.37099999999998,1275,312.75,233.61700000000002,1280,331.413,230.097,1284,333.589,228.02700000000002,1284,336.851,226.953,1289,340.25,227.077,1289,343.069,228.23,1294,340.659,229.52,1289,337.591,230.252,1284,334.337,230.419,1280,314.848,224.74099999999999,1275,309.982,224.081,1280,304.789,224.467,1314,301.134,226.37,1314,298.754,228.959,1314,299.63599999999997,230.329,1309,302.403,228.46900000000002,1309,305.76099999999997,227.255,1309,310.195,226.91400000000002,1289,314.83,227.149,1275,328.528,222.513,1289,333.184,220.489,1299,338.664,219.304,1304,343.14,220.063,1304,346.61800000000005,221.707,1304,346.208,223.44400000000002,1304,342.62800000000004,222.50799999999998,1304,338.719,222.358,1299,333.94599999999997,223.308,1294,329.298,224.843,1289,319.422,231.80599999999998,1275,319.457,236.145,1275,318.538,240.183,1270,316.397,243.84099999999998,1275,317.694,247.206,1275,322.911,246.96599999999998,1270,327.177,246.377,1270,333.17,245.15,1275,333.491,241.44400000000002,1270,329.94199999999995,238.609,0,327.92,234.933,0,326.721,230.743,0,316.638,257.678,1270,319.501,254.87599999999998,1261,322.987,252.84799999999998,1261,326.652,252.868,1261,329.996,251.748,1270,334.73,252.498,1270,339.32,254.085,1275,336.441,256.939,1270,332.94300000000004,259.014,1256,328.26300000000003,260.257,1256,323.47,260.374,1252,319.867,259.431,1261,318.676,257.279,1265,322.626,255.93,1256,327.265,255.21900000000002,1261,332.24699999999996,254.459,1265,337.13599999999997,254.433,1270,332.597,255.734,1261,327.567,256.797,1261,322.86,257.203,1256,297.175,235.267,1304,297.947,241.675,1299,299.395,247.705,1299,301.868,253.75400000000002,1299,304.981,259.389,1275,309.126,264.275,1270,313.608,267.911,1265,318.629,270.94599999999997,1265,324.39,272.893,1265,331.10900000000004,273.204,1280,338.265,271.35,1280,344.445,268.197,1284,349.506,263.87,0,353.588,258.931,0,356.332,252.794,1319,357.264,246.27700000000002,1324,357.28,239.57,1314,356.57099999999997,233.05900000000003,1314,355.228,226.43599999999998,1319,309.532,232.882,1299,337.22,228.822,1289,324.915,243.722,1275,315.371,222.22099999999998,1275,310.14599999999996,221.523,1280,303.938,222.04,1314,299.205,224.542,1319,296.432,227.546,1319,327.205,220.22400000000002,1294,332.14599999999996,218.088,1299,338.6,216.738,1309,344.287,217.646,1309,348.259,219.46099999999998,1309
318.133,230.078,1256,315.277,228.321,1275,311.71299999999997,227.955,1275,308.337,228.877,1280,306.025,230.838,1280,308.721,231.755,1280,312.003,231.838,1270,315.302,231.173,1265,334.973,228.5,1270,337.381,226.325,1270,340.892,225.305,1275,344.455,225.63299999999998,1280,347.222,227.09599999999998,1280,344.718,228.438,1275,341.473,229.097,1270,338.041,229.054,1270,317.914,221.02599999999998,1252,312.538,220.013,1284,306.634,220.138,1299,302.697,222.24400000000003,1299,300.21,225.175,1294,301.25,226.528,1294,304.103,224.51,1294,307.584,223.301,1289,312.55,223.185,1280,317.638,223.729,1252,332.5,219.498,0,337.827,217.532,1289,343.967,216.52599999999998,1289,348.595,217.88400000000001,1294,351.86800000000005,220.172,1294,351.13699999999994,221.82,1294,347.723,220.429,1289,343.75800000000004,219.923,1284,338.539,220.692,1284,333.327,222.135,1270,322.416,229.549,1252,322.314,234.433,1252,321.129,238.85299999999998,1252,318.54,242.623,1256,319.66900000000004,246.523,1247,325.285,246.611,1243,329.718,246.232,1247,335.91,245.18900000000002,1252,336.385,241.105,0,332.912,237.86599999999999,0,331.056,233.618,0,330.165,228.829,1270,317.531,257.26599999999996,1243,320.812,254.549,1238,324.738,252.611,1238,328.551,252.99,1243,332.13199999999995,251.94099999999997,1243,336.973,253.046,1243,341.515,254.988,1252,338.464,258.223,1247,334.705,260.475,1243,329.75800000000004,261.58799999999997,1234,324.694,261.313,1234,320.884,259.829,1238,319.68,257.084,1243,323.98,255.938,1238,328.97,255.555,1238,334.269,255.00400000000002,1238,339.282,255.28400000000002,1247,334.602,256.73,1238,329.23,257.676,1234,324.147,257.67,1238,298.124,231.94799999999998,1289,298.76599999999996,239.179,1280,300.183,246.015,1275,302.449,252.81099999999998,1270,305.399,259.09,1256,309.408,264.513,1252,313.816,268.582,1252,318.796,272.129,1256,324.64599999999996,274.57599999999996,1256,331.668,275.268,1256,338.936,273.559,1261,345.17199999999997,270.307,0,350.288,265.846,0,354.54,260.755,0,357.61699999999996,254.388,0,359.05199999999996,247.55599999999998,0,359.629,240.44099999999997,1309,359.491,233.438,1299,358.647,226.06400000000002,1299,311.939,230.104,1275,341.144,227.43099999999998,1270,327.443,243.125,1247,318.58,218.215,1256,312.848,217.15099999999998,1289,305.806,217.377,1299,300.624,220.13400000000001,1304,297.702,223.517,1304,331.31800000000004,216.824,0,336.94,214.766,1289,344.175,213.65200000000002,1289,350.134,215.333,1299,353.907,217.899,1309
317.596,232.544,1261,314.839,230.9,1265,311.39799999999997,230.551,1275,308.106,231.345,1275,305.757,233.084,1275,308.374,234.11900000000003,1275,311.566,234.313,0,314.823,233.715,1261,335.523,230.976,1265,337.894,228.893,1270,341.298,227.957,1270,344.756,228.2,1275,347.55800000000005,229.52,1275,345.07199999999995,230.957,1270,341.86699999999996,231.668,1261,338.48400000000004,231.62900000000002,1261,317.363,221.96,1256,312.607,220.78400000000002,1289,307.42400000000004,220.623,1294,303.543,222.19299999999998,1299,300.83099999999996,224.675,1299,301.431,226.632,1294,304.551,224.951,1294,308.151,224.03099999999998,1284,312.623,224.08700000000002,1275,317.277,224.74599999999998,1252,332.968,220.42700000000002,1280,337.754,218.453,1284,343.25699999999995,217.33700000000002,1280,347.726,218.21,1289,351.116,220.072,1294,350.88,222.209,1289,347.235,221.165,1284,343.213,220.93900000000002,1280,338.394,221.768,1280,333.566,223.21900000000002,1275,322.357,232.102,1252,322.08,237.32,1252,320.775,242.287,1252,318.043,246.627,1256,319.344,250.709,1247,325.152,250.87400000000002,1243,329.68199999999996,250.52,1247,336.01300000000003,249.455,1256,336.666,245.122,1256,333.119,241.326,1247,331.199,236.525,0,330.235,231.426,1256,317.262,261.665,1243,320.587,259.108,1238,324.46299999999997,257.249,1238,328.17400000000004,257.658,1238,331.63599999999997,256.633,1238,336.406,257.763,1252,340.965,259.631,1256,337.793,262.808,1247,334.051,264.949,1238,329.219,266.01,1238,324.324,265.675,1229,320.621,264.184,1234,319.465,261.579,1238,323.841,260.634,1234,328.56699999999995,260.346,1238,333.626,259.83,1238,338.699,259.981,1252,333.861,261.11,1238,328.727,261.897,1238,323.932,261.91900000000004,1234,296.903,234.356,1294,297.49,241.935,1284,298.834,249.05900000000003,1284,301.082,256.112,1280,304.035,262.54400000000004,1265,308.057,268.16,1265,312.66900000000004,272.685,1261,317.87,276.57099999999997,1256,323.894,279.298,1256,331.05800000000005,280.01099999999997,1261,338.504,278.35900000000004,0,344.94699999999995,274.9,1265,350.403,270.18,1284,354.931,264.76099999999997,0,358.228,258.307,0,359.986,251.24900000000002,0,360.755,243.898,1314,360.798,236.488,1294,360.095,228.851,1299,311.557,232.571,1275,341.55699999999996,229.975,1265,327.349,247.115,1247,318.22700000000003,219.03799999999998,1256,313.10400000000004,217.78599999999997,1294,306.843,217.65,1294,301.769,219.725,1299,298.603,222.593,1309,331.629,217.66,1280,336.719,215.576,1284,343.22900000000004,214.31,1284,348.934,215.39700000000002,1294,352.83099999999996,217.489,1299
