0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
319.88,228.653,1261,317.616,226.774,1261,314.624,226.082,1275,311.688,226.703,1280,309.568,228.46900000000002,1280,311.759,229.553,1280,314.487,229.954,1275,317.378,229.644,1261,337.05300000000005,228.985,1270,339.38699999999994,227.13299999999998,1270,342.543,226.553,1275,345.663,227.30200000000002,1280,348.036,229.202,1284,345.56199999999995,230.207,1275,342.538,230.44799999999998,1270,339.514,230.013,1270,321.027,217.543,1252,317.133,216.105,1265,312.778,215.801,1299,309.185,216.963,1299,306.564,219.149,1299,306.735,221.435,1299,309.719,219.95,1294,313.078,219.27599999999998,1289,316.927,219.55900000000003,1256,320.89599999999996,220.52900000000002,1252,335.483,217.52700000000002,1284,339.99,216.239,1284,345.18,216.093,1289,349.24300000000005,217.515,1294,352.165,219.757,1294,351.907,222.179,1289,348.42699999999996,220.502,1289,344.57300000000004,219.66099999999997,1289,339.95599999999996,219.783,1280,335.418,220.597,1280,324.408,228.72299999999998,0,323.235,233.46200000000002,0,321.251,238.01,1252,318.469,242.206,1256,319.381,246.416,1261,324.388,246.729,1252,328.07099999999997,246.83900000000003,1252,334.32,246.99099999999999,1256,335.73900000000003,242.71900000000002,1256,333.25,238.467,0,332.035,233.774,0,331.61699999999996,228.93099999999998,1265,316.274,258.16700000000003,1243,319.282,255.06599999999997,1252,322.906,253.06099999999998,1238,326.282,253.767,1243,329.66,253.218,1252,334.04400000000004,255.505,1252,337.968,258.79,1252,334.509,260.65,1247,330.759,261.67,1243,326.317,261.94599999999997,1234,322.225,261.378,1234,319.07,260.11,1238,318.518,257.907,1243,322.275,256.887,1238,326.344,256.878,1243,330.898,257.17400000000004,1243,335.546,258.455,1247,330.889,257.849,1243,326.347,257.645,1238,322.298,257.54900000000004,1238,301.572,229.68900000000002,1289,300.694,237.125,1280,300.555,244.313,1280,301.26099999999997,251.697,1280,302.682,258.818,1270,305.314,265.355,1265,308.97900000000004,270.695,1270,313.585,275.168,1265,319.328,278.462,1261,326.289,279.941,1261,334.06699999999995,279.378,0,341.436,277.04400000000004,0,347.94599999999997,272.98400000000004,0,353.181,267.79400000000004,0,356.967,261.291,1299,359.288,253.94099999999997,1309,360.634,246.313,1309,361.281,238.58900000000003,1309,361.214,230.775,1309,314.625,228.229,1275,342.537,228.73,1275,326.85900000000004,243.547,1252,322.144,214.69799999999998,1261,317.832,213.13299999999998,1284,312.45099999999996,212.78,1299,307.756,214.31099999999998,1299,304.66700000000003,216.828,1299,334.642,214.604,1289,339.541,213.23,1289,345.67900000000003,213.08900000000003,1289,350.69300000000004,214.852,1294,354.0,217.361,1299
321.45099999999996,229.013,1252,318.911,226.90400000000002,1256,315.529,226.082,1265,312.18,226.54,1275,309.724,228.138,1275,312.14799999999997,229.518,1270,315.268,230.09400000000002,1265,318.552,229.862,1256,338.97,229.547,1261,341.575,227.613,1265,345.094,227.012,1270,348.519,227.733,1275,351.095,229.50599999999997,1275,348.478,230.678,1270,345.22900000000004,231.019,1270,341.87300000000005,230.567,1261,322.431,218.90099999999998,1247,317.69599999999997,217.107,1261,312.322,216.351,1294,308.243,217.636,1294,305.33799999999997,220.0,1289,305.895,221.929,1289,309.078,220.47,1289,312.7,219.872,1289,317.29,220.456,1247,321.94599999999997,221.715,1238,337.48400000000004,219.155,1275,342.702,217.707,1275,348.589,217.28900000000002,1284,352.98900000000003,218.893,1289,356.11199999999997,221.354,1294,355.49699999999996,223.36700000000002,1289,352.043,221.74099999999999,1284,348.07199999999995,220.916,1275,342.99,221.15099999999998,1270,337.853,222.065,1270,325.945,229.15599999999998,1252,325.077,234.398,0,323.23900000000003,239.185,1243,320.126,243.114,1238,320.847,247.421,1238,326.472,248.438,1234,330.875,248.623,1243,337.369,248.16400000000002,1247,338.48,243.838,1243,335.44300000000004,239.71200000000002,0,334.13199999999995,234.708,0,333.80699999999996,229.421,1265,317.307,258.117,1234,321.045,256.041,1234,325.164,254.747,1234,328.845,255.649,1234,332.465,254.99,1238,337.26300000000003,256.58799999999997,1243,341.851,258.902,1252,338.085,261.814,1243,333.969,263.541,1238,328.983,264.02099999999996,1234,324.14099999999996,263.095,1225,320.547,261.142,1225,319.32,258.306,1234,324.043,258.001,1229,328.95300000000003,258.35200000000003,1234,334.30699999999996,258.366,1238,339.709,259.01599999999996,1247,334.441,259.685,1238,328.95099999999996,259.89,1229,323.957,259.293,1225,301.462,228.185,1280,301.099,235.95,1275,301.54900000000004,243.365,1270,302.88,250.855,1265,304.973,257.866,1256,308.274,264.14799999999997,1238,312.191,269.195,1252,316.731,273.695,1247,322.259,277.10200000000003,1247,329.144,278.715,1256,336.68699999999995,277.965,1270,343.51,275.384,1270,349.471,271.355,1261,354.61199999999997,266.518,0,358.699,260.231,0,361.19800000000004,253.143,0,362.75800000000004,245.636,1289,363.60699999999997,238.035,0,363.76199999999994,230.05200000000002,1299,315.47,228.269,1261,345.10400000000004,229.209,1270,329.106,244.812,1243,323.594,216.03400000000002,1252,318.499,214.123,1265,312.01099999999997,213.278,1294,306.642,214.979,1294,303.233,217.708,1294,336.525,216.18200000000002,1275,342.056,214.662,1275,348.986,214.22799999999998,1289,354.608,216.235,1299,358.202,219.003,1304
326.818,232.592,1175,324.616,229.99200000000002,1167,321.152,228.96900000000002,1171,317.86,229.6,1208,315.828,231.69299999999998,1208,318.067,232.91099999999997,1195,321.117,233.399,1187,324.27,233.25799999999998,1179,343.23800000000006,233.125,1187,345.51,230.67,1191,349.166,229.915,1191,352.964,230.81400000000002,1191,355.724,233.093,1191,352.9,234.025,1191,349.63199999999995,234.269,1187,346.19800000000004,233.92700000000002,1187,327.543,218.44799999999998,1183,324.086,216.57299999999998,1208,320.014,215.97799999999998,1216,316.689,217.13099999999997,1221,314.275,219.511,1221,314.249,221.94,1221,317.10200000000003,220.497,1221,320.285,219.956,1212,323.916,220.463,1208,327.468,221.65,1179,341.30800000000005,218.271,1195,346.12,216.75,1191,351.958,216.49400000000003,1187,356.60400000000004,218.34799999999998,1195,359.775,221.112,1204,359.415,223.75599999999997,1200,355.56300000000005,221.842,1195,351.18199999999996,220.82299999999998,1195,346.08,221.019,1200,341.277,221.852,1195,330.42699999999996,232.625,1175,328.676,239.077,1179,326.128,245.018,1175,322.92400000000004,250.655,1179,324.23400000000004,255.68099999999998,1179,329.537,255.949,1179,333.28,256.08299999999997,1179,340.598,256.617,1183,342.259,251.50099999999998,1183,339.11199999999997,245.888,1183,337.939,239.66400000000002,1183,337.759,233.019,1183,322.464,269.47,1175,324.853,266.258,1179,328.19800000000004,264.185,1179,331.421,265.138,1179,334.74199999999996,264.46,1179,339.56800000000004,266.883,1179,343.968,270.236,1187,340.42,273.14599999999996,1179,336.36,274.759,1179,331.73,275.265,1175,327.78,274.462,1179,324.911,272.568,1179,324.525,269.495,1175,327.88599999999997,268.592,1179,331.668,268.538,1179,336.42400000000004,268.935,1175,341.335,270.248,1183,336.264,270.548,1175,331.661,270.626,1179,327.931,270.154,1175,310.027,232.812,1221,308.203,241.66400000000002,1212,307.509,250.112,1221,308.395,258.628,1212,310.387,266.972,1204,313.342,274.62,1191,316.911,281.56,1191,321.284,287.938,1204,326.61400000000003,292.728,1252,333.75800000000004,294.991,1252,342.527,294.04,1247,350.88800000000003,290.536,1238,358.397,285.135,1247,364.47900000000004,278.677,0,368.954,270.577,0,371.70300000000003,261.645,1225,373.009,252.375,1221,373.065,243.035,1216,372.597,233.55599999999998,1212,321.216,231.55200000000002,1187,349.416,232.48,1191,332.259,252.174,1179,329.131,215.764,1187,325.178,213.653,1200,319.812,212.885,1212,315.085,214.481,1216,312.10400000000004,217.293,1225,340.375,215.296,1200,345.585,213.67700000000002,1191,352.478,213.415,1191,358.24800000000005,215.692,1200,361.853,218.801,1204
335.651,224.34599999999998,1243,333.695,221.97299999999998,1247,330.691,220.675,1256,327.606,220.502,1270,325.099,221.422,1265,327.06,223.34,1261,329.783,224.47,1256,332.778,224.842,1247,352.215,227.653,1270,354.876,226.08599999999998,1270,358.105,226.00400000000002,1270,360.999,227.04,1275,363.13599999999997,228.919,1280,360.642,229.896,1270,357.767,229.952,1265,354.73199999999997,229.122,1265,338.292,217.28099999999998,1238,334.94699999999995,214.63400000000001,1252,331.05400000000003,212.697,1275,326.87,212.063,1280,323.188,212.73,1284,322.801,215.47099999999998,1280,326.421,215.567,1280,330.22,216.255,1270,333.839,217.69799999999998,1243,337.5,219.775,1238,351.65,219.77599999999998,1275,355.76800000000003,218.708,1275,360.171,218.41299999999998,1284,364.282,219.292,1289,367.749,221.231,1289,367.31300000000005,223.95,1289,363.653,222.766,1280,359.846,222.063,1280,355.77,222.002,1275,351.68,222.463,1275,339.934,225.703,1247,338.14599999999996,231.315,1243,335.72,236.429,1238,332.316,240.421,1234,332.50199999999995,244.935,1234,337.899,247.74200000000002,1234,342.105,248.65,1238,348.199,248.149,1247,349.86400000000003,243.83700000000002,1247,347.75800000000004,238.78099999999998,1243,347.213,233.054,1256,347.449,227.157,1265,327.363,254.862,1229,331.509,254.292,1229,335.53,254.37400000000002,1229,338.935,255.81,1234,342.32,255.72099999999998,1238,346.648,257.221,1238,351.00800000000004,259.401,1247,346.728,262.371,1238,342.598,263.887,1229,337.85699999999997,263.743,1225,333.416,261.83799999999997,1221,330.32800000000003,258.933,1221,329.01,255.71,1225,334.176,256.888,1225,338.75800000000004,258.176,1229,343.727,258.783,1234,349.224,259.639,1243,343.714,260.336,1234,338.45,259.962,1225,333.74300000000005,258.317,1225,315.858,218.217,1284,314.212,226.476,1275,313.317,234.62400000000002,1265,313.568,243.19400000000002,1261,314.845,251.283,1247,317.82099999999997,258.91200000000003,1238,321.238,264.91900000000004,1221,325.176,270.268,1238,330.077,274.316,1247,336.064,276.806,1252,343.14599999999996,277.10200000000003,1252,349.708,275.52099999999996,1256,355.82199999999995,272.281,1265,361.587,268.249,1280,367.06800000000004,262.01,1294,370.9,254.585,1289,373.597,246.487,1304,375.495,238.204,1304,376.726,229.928,1304,330.295,222.696,1252,357.809,228.084,1270,340.795,243.618,1238,340.07,214.74200000000002,1247,336.44699999999995,211.896,1261,331.83099999999996,209.605,1280,326.654,208.84799999999998,1284,322.445,209.622,1284,350.793,216.699,1275,355.167,215.56599999999997,1275,360.281,215.21400000000003,1284,365.403,216.28,1289,369.38699999999994,218.454,1294
318.608,221.9,1280,316.164,220.945,1284,313.313,220.953,0,310.632,222.15200000000002,1289,308.772,224.27900000000002,1294,311.21,224.25799999999998,1284,313.855,223.862,1289,316.464,223.08700000000002,1284,334.94599999999997,219.386,1280,337.02099999999996,217.743,1294,339.81800000000004,216.89700000000002,1304,342.75800000000004,217.22,1299,345.16900000000004,218.706,1299,342.898,219.43400000000003,1294,340.08,219.8,1294,337.288,219.83700000000002,1289,318.569,212.03599999999997,1289,314.52,211.92,1304,310.513,213.074,1329,307.305,214.955,1324,305.13,217.377,1319,305.443,219.253,1314,308.186,217.13400000000001,1319,311.377,215.658,1319,315.082,214.86,0,319.10200000000003,214.68900000000002,1284,332.06699999999995,209.732,1304,335.991,208.459,1314,340.724,208.308,1314,344.58,209.207,1314,347.449,210.84400000000002,1314,347.537,212.857,1314,344.04699999999997,211.52900000000002,1309,340.37800000000004,211.043,1309,336.12199999999996,211.458,1304,332.088,212.497,1299,323.17,220.71599999999998,1275,322.499,223.903,1275,320.982,226.977,1270,318.703,230.37099999999998,1265,320.21,233.407,1256,325.448,231.81900000000002,1256,328.994,231.28599999999997,1256,334.95,231.30599999999998,1261,335.79,227.872,1280,332.88300000000004,225.25799999999998,1275,331.029,222.73,1275,329.88300000000004,219.743,1275,317.995,244.72299999999998,1252,320.475,240.11599999999999,1252,324.115,236.918,1252,327.86800000000005,236.623,1247,331.506,235.739,1252,336.306,237.679,1252,340.37300000000005,241.274,1261,337.31800000000004,242.99200000000002,1256,333.832,244.12400000000002,1252,329.16900000000004,245.06900000000002,1252,324.681,245.648,1252,321.093,245.545,1252,319.987,243.674,1247,323.714,240.80700000000002,1247,328.31699999999995,239.53,1243,333.25800000000004,239.36599999999999,1247,338.099,240.917,1256,333.412,240.96400000000003,1252,328.603,241.44299999999998,1247,324.002,242.37,1247,300.41900000000004,228.43099999999998,1304,300.17400000000004,234.24,1299,300.502,239.702,1304,301.715,245.422,1294,303.72700000000003,251.088,1294,306.921,256.116,1284,311.525,259.789,1280,317.274,262.243,1275,324.067,263.532,1270,331.69300000000004,263.312,1270,339.51300000000003,261.631,1275,346.56199999999995,258.72900000000004,1284,352.34,254.396,1294,356.26199999999994,249.05,1309,358.17800000000005,243.287,1314,358.792,237.11900000000003,1314,358.61199999999997,231.03400000000002,1314,357.725,225.27900000000002,1324,356.274,219.688,1324,313.627,222.68,1289,339.99699999999996,218.628,1294,327.245,229.787,1256,318.99,209.674,1294,314.469,209.537,1314,309.58799999999997,210.908,1334,305.66900000000004,213.27700000000002,1329,303.204,216.017,1324,331.11300000000006,207.56400000000002,1309,335.501,206.149,1319,341.157,205.96099999999998,1324,345.79900000000004,207.111,1319,349.0,208.94799999999998,1324
319.607,228.063,0,316.37,225.84799999999998,1261,312.11400000000003,225.106,1265,307.88599999999997,225.761,1270,304.66900000000004,227.675,1275,307.97900000000004,228.945,1261,312.061,229.36,0,316.142,228.93599999999998,0,339.309,228.207,1256,342.381,226.206,1256,346.631,225.514,1261,350.749,226.234,1261,353.733,228.097,1265,350.73199999999997,229.262,1256,346.839,229.605,1256,342.825,229.12900000000002,1256,320.378,217.176,1238,313.57599999999996,215.604,1284,306.108,215.213,1294,301.149,217.56599999999997,1299,297.84,220.903,1309,299.12,222.09599999999998,1294,302.784,219.91,1289,307.1,218.75900000000001,1284,313.337,219.08599999999998,1275,319.63,220.12599999999998,1243,338.14300000000003,217.356,1270,344.60900000000004,215.922,1275,351.791,215.562,1280,356.79,217.887,1280,359.962,221.015,1280,358.603,222.31599999999997,1275,355.295,220.27700000000002,1275,351.091,219.18900000000002,1275,345.088,219.394,1265,338.907,220.282,1265,325.132,227.773,0,324.841,233.058,1238,323.16700000000003,237.608,1234,319.728,241.207,1238,320.79900000000004,245.56,1229,327.557,245.607,1229,332.89300000000003,245.641,1234,339.245,245.58599999999998,1243,340.11199999999997,241.299,1243,336.45300000000003,237.53400000000002,1238,334.664,232.872,0,334.12,227.725,0,317.184,257.08799999999997,1229,321.168,254.335,1221,326.02099999999996,252.285,1225,330.305,253.042,1229,334.39300000000003,252.334,1229,339.08,254.27599999999998,1234,342.994,257.046,1234,339.996,259.823,1234,335.95599999999996,261.737,1234,330.522,262.423,1225,324.731,261.721,1221,320.475,259.91200000000003,1221,320.257,256.97700000000003,1221,324.815,255.986,1221,330.34,255.951,1229,335.736,256.013,1234,340.041,257.003,1234,335.791,257.635,1234,330.35,258.025,1225,324.885,257.633,1221,293.051,228.42,1314,293.526,236.43,1615,294.882,244.16400000000002,1294,297.066,251.731,1280,300.149,258.531,1275,304.504,264.342,1270,309.66200000000003,268.745,1261,315.601,272.664,1252,322.572,275.586,1243,331.0,276.758,1247,339.207,275.30400000000003,1256,345.99800000000005,272.05400000000003,0,351.528,267.684,1037,356.251,262.625,0,359.788,256.461,0,361.85900000000004,249.817,1280,363.255,242.80200000000002,1289,363.865,235.851,1280,363.712,228.33900000000003,1284,312.103,227.46200000000002,1261,346.65,227.782,1256,329.994,242.505,1229,321.27299999999997,214.11900000000003,1238,314.117,212.489,1284,305.301,212.14,1299,298.797,215.17,1319,294.968,218.97099999999998,1324,337.18199999999996,214.275,1270,343.968,212.795,1270,352.514,212.46900000000002,1280,359.167,215.416,1289,362.909,218.97299999999998,1294
323.277,225.30200000000002,1252,320.805,223.58,1252,317.634,223.12,1265,314.671,224.115,1270,312.629,226.27900000000002,1270,315.07,226.989,1265,317.94599999999997,227.02599999999998,1261,320.82599999999996,226.46900000000002,1256,339.699,224.38400000000001,1256,341.935,222.34900000000002,1261,345.07300000000004,221.505,1265,348.21,222.137,1265,350.561,224.03400000000002,1265,348.249,225.02900000000002,1261,345.315,225.396,1256,342.26099999999997,225.179,1256,324.244,217.03599999999997,1238,319.752,216.074,1261,314.973,216.358,1284,311.059,217.887,1284,308.29900000000004,220.30700000000002,1284,308.902,222.37,1280,311.94,220.602,1280,315.498,219.52900000000002,1275,319.77299999999997,219.332,1256,324.22900000000004,219.86599999999999,1238,337.402,216.071,1265,341.82,214.64700000000002,1275,346.965,214.36900000000003,1275,351.156,215.459,1284,354.30199999999996,217.42,1284,353.991,219.606,1275,350.52,218.2,1275,346.718,217.56400000000002,1270,342.106,217.90599999999998,1270,337.725,218.907,1261,327.736,225.08700000000002,1247,327.026,229.421,1234,325.543,233.416,1238,323.395,237.247,1238,324.687,241.095,1238,329.87199999999996,240.87,1234,333.43699999999995,240.706,1238,339.12199999999996,240.36599999999999,1247,340.087,236.313,1243,337.48900000000003,232.757,1238,335.82800000000003,228.976,0,334.85,224.7,1252,321.819,253.31799999999998,1221,324.83,249.84,1225,328.535,247.518,1229,332.23800000000006,247.794,1229,335.772,247.08,1234,340.161,248.878,1238,344.06300000000005,251.925,1243,340.898,253.687,1234,337.347,254.792,1229,332.855,255.355,1225,328.477,255.293,1225,324.986,254.58700000000002,1221,324.173,252.678,1221,328.13199999999995,251.174,1221,332.528,250.69400000000002,1225,337.12199999999996,250.673,1234,341.63,251.65,1238,337.158,251.386,1234,332.583,251.535,1225,328.205,251.85299999999998,1221,303.468,227.801,1280,303.08799999999997,235.033,1270,303.392,242.215,973,304.649,249.685,978,306.77,256.931,0,310.434,263.416,0,314.936,267.89599999999996,0,320.39,271.269,0,326.905,273.245,0,334.162,273.86400000000003,1252,341.86800000000005,272.629,1247,348.912,270.16,1056,354.75800000000004,265.972,1053,359.25199999999995,260.731,1060,362.226,253.727,1063,363.501,246.148,1289,363.843,238.46200000000002,1280,363.408,231.03,1047,362.351,223.783,1289,317.857,225.36,1261,345.163,223.752,1261,331.704,237.84599999999998,1238,324.953,214.30700000000002,1243,320.04400000000004,213.273,1265,314.355,213.622,1289,309.513,215.555,1294,306.345,218.299,1294,336.43,213.421,1270,341.24300000000005,211.888,1275,347.286,211.578,1280,352.39300000000003,212.92700000000002,1284,355.945,215.113,1289
322.018,233.183,1256,319.276,231.58599999999998,1261,315.914,231.35299999999998,1270,312.903,232.457,1275,310.82,234.585,1270,313.491,235.495,1265,316.515,235.514,1265,319.501,234.77900000000002,1261,340.07599999999996,230.61700000000002,1256,342.151,228.205,1265,345.24199999999996,227.03,1270,348.434,227.233,1270,351.129,228.7,1275,348.98400000000004,230.297,1270,346.13800000000003,231.18099999999998,1265,342.92199999999997,231.317,1261,322.402,224.225,1261,318.154,223.083,1275,313.785,223.042,1280,309.44599999999997,224.143,1284,306.05,226.28400000000002,1289,306.548,229.287,1284,310.241,227.762,1284,314.327,226.80599999999998,1280,318.388,226.65,1275,322.76099999999997,227.195,1256,336.54699999999997,222.058,1261,340.156,219.90400000000002,1270,344.414,218.648,1275,348.719,218.36700000000002,1275,352.713,219.248,1280,353.311,222.24099999999999,1280,349.17800000000005,221.977,1275,345.131,222.30900000000003,1270,341.026,223.378,1265,337.23900000000003,225.02,1256,327.14599999999996,232.87900000000002,1252,327.06,238.514,1243,326.218,243.96099999999998,1247,324.423,248.959,1252,326.468,253.25799999999998,1252,332.655,253.34,1247,336.722,252.835,1243,342.51099999999997,250.979,1256,342.94199999999995,246.141,1256,339.394,241.9,1252,336.848,237.02,1243,334.92900000000003,231.725,1252,324.365,265.75,1234,328.14599999999996,262.95099999999996,1238,332.17699999999996,261.01599999999996,1238,336.162,261.08099999999996,1238,339.61,259.92,1243,344.462,260.481,1243,349.413,261.987,1252,345.852,265.048,1238,342.156,266.954,1234,337.57599999999996,268.062,1234,332.82300000000004,268.139,1238,328.73400000000004,267.35,1234,326.466,265.443,1234,331.909,264.372,1234,336.81300000000005,263.825,1234,341.798,262.96299999999997,1238,347.4,262.375,1247,341.981,263.315,1238,336.843,264.157,1234,331.835,264.703,1234,299.55400000000003,235.998,1294,300.382,244.639,1289,301.83799999999997,253.082,1289,304.566,261.692,1284,308.27,269.63599999999997,1280,313.758,276.45799999999997,1275,319.659,281.098,1265,326.173,284.45099999999996,1265,333.346,286.058,1265,340.858,286.001,1275,348.63599999999997,283.871,1294,355.414,280.313,1304,360.96,275.065,0,365.32099999999997,268.884,0,368.08099999999996,260.683,0,368.779,251.878,1299,368.231,242.956,1304,366.836,234.24200000000002,1299,364.845,225.99400000000003,1299,316.305,233.61900000000003,1265,345.634,229.322,1270,333.917,248.922,1247,323.124,221.083,1261,318.46,219.862,1280,313.258,219.804,1280,308.009,221.15,1284,304.16200000000003,223.571,1294,334.792,219.26,1261,338.73,216.93400000000003,1275,343.72900000000004,215.446,1280,348.99199999999996,215.082,1280,353.529,216.03900000000002,1289
321.23900000000003,222.981,1256,318.842,221.255,1256,315.622,220.61900000000003,1265,312.494,221.274,1284,310.108,222.972,1280,312.427,224.03,1275,315.423,224.364,1265,318.498,224.101,1261,339.273,223.247,1265,341.83,221.407,1265,345.014,220.757,1270,347.95599999999996,221.405,1270,350.036,223.187,1270,347.82099999999997,224.201,1270,344.981,224.56,1265,341.849,224.257,1265,323.774,217.283,1247,319.64599999999996,215.87400000000002,1256,315.336,215.465,1294,310.702,215.53799999999998,1294,306.825,216.66400000000002,1294,306.645,219.58900000000003,1294,310.562,218.93400000000003,1289,314.817,218.707,1289,319.03700000000003,218.965,1252,323.533,219.93,1247,337.61,217.266,1275,341.52,215.99200000000002,1280,345.80400000000003,215.61700000000002,1280,350.019,215.65200000000002,1289,353.61800000000005,216.773,1294,353.69699999999995,219.55599999999998,1284,349.916,218.899,1275,345.986,218.675,1275,341.82,219.023,1270,337.786,219.91400000000002,1270,326.399,223.46900000000002,1252,325.154,228.108,1247,323.238,232.351,1247,320.276,236.245,1252,321.376,240.305,1252,327.94199999999995,241.405,1252,332.173,241.49400000000003,1243,337.952,240.389,1252,339.20300000000003,236.312,1252,336.69300000000004,232.41400000000002,1243,335.12199999999996,228.253,1247,334.25,223.546,0,314.89,250.894,1225,320.025,248.97400000000002,1229,325.079,247.97799999999998,1229,329.475,248.528,1225,333.726,248.051,1037,338.459,248.998,1031,343.037,251.018,1034,338.717,253.22,1238,334.58,254.296,1234,329.087,254.65200000000002,1234,323.615,254.21400000000003,1229,319.325,253.045,1234,316.82,250.90400000000002,1234,323.539,250.67,1229,329.365,250.852,1229,335.086,250.737,1031,341.444,251.044,1034,335.173,251.33900000000003,1234,329.32099999999997,251.40900000000002,1229,323.296,251.18400000000003,1229,296.619,222.388,0,295.649,230.14,1010,295.423,237.96,1060,296.305,246.243,978,298.41700000000003,254.237,1069,302.688,261.499,1079,307.765,266.288,1270,313.765,269.841,1270,320.812,271.748,1252,328.327,272.536,1252,336.04900000000004,271.71299999999997,1256,343.015,269.72,1256,349.005,265.907,1047,354.06199999999995,261.06,1044,358.181,253.84599999999998,1034,360.675,245.90599999999998,1040,361.9,237.787,1044,362.223,229.892,1294,361.89,222.46599999999998,1299,315.582,222.699,1265,344.845,222.878,1270,329.85699999999997,237.615,1247,324.986,214.709,1247,320.491,213.174,1256,315.63,212.646,1294,310.404,212.65900000000002,1294,306.131,213.873,1294,336.51199999999994,214.655,1275,340.82,213.275,1280,345.72,212.80200000000002,1284,350.599,212.829,1289,354.625,214.081,1294
323.502,220.204,1221,321.19,218.078,0,318.173,217.37,1243,315.237,218.268,1247,313.255,220.55,0,315.462,221.547,0,318.204,221.81799999999998,0,321.078,221.32299999999998,1216,340.441,220.108,1238,342.769,217.967,1243,345.98400000000004,217.227,1247,349.189,218.114,1252,351.49199999999996,220.40599999999998,1252,348.994,221.428,1247,345.912,221.644,1238,342.897,221.167,1234,324.426,207.273,1225,320.1,205.933,1229,315.187,206.054,1275,311.66,208.079,1275,309.423,211.179,1275,310.008,213.31799999999998,1265,312.69599999999997,211.07,1265,315.875,209.85,1265,320.077,209.88400000000001,1225,324.316,210.739,1221,338.64300000000003,206.88,1256,343.66900000000004,205.52200000000002,1256,349.51800000000003,205.613,1270,353.63699999999994,207.78599999999997,1270,356.18300000000005,210.798,1270,355.655,213.082,1261,352.394,210.765,1265,348.57599999999996,209.521,1261,343.54400000000004,209.55200000000002,1252,338.61699999999996,210.428,1252,327.894,219.868,0,326.762,224.862,1216,324.738,229.519,1212,322.085,233.90599999999998,1216,323.026,238.546,1208,327.94,238.293,1212,331.22,238.296,1216,337.61800000000005,238.78400000000002,1221,339.024,234.09,1225,336.695,229.75799999999998,0,335.462,225.00400000000002,0,335.07199999999995,219.919,1238,320.32099999999997,252.542,1204,322.923,248.298,1208,326.524,245.49599999999998,1208,329.905,246.173,1208,333.35400000000004,245.507,1212,337.69699999999995,248.38400000000001,1216,341.195,252.623,1221,338.02099999999996,254.74,1216,334.343,256.003,1208,330.01300000000003,256.449,1204,326.10200000000003,255.99099999999999,1204,322.959,254.666,1204,322.834,252.0,1204,326.075,250.144,1204,329.964,249.83,1204,334.338,250.21900000000002,1208,338.48400000000004,252.09900000000002,1216,334.26599999999996,251.56099999999998,1208,329.971,251.46200000000002,1204,326.135,251.49,1204,305.665,222.93,1261,304.69,231.07299999999998,1247,304.501,238.90599999999998,1247,304.978,246.903,1247,306.126,254.705,1229,308.39099999999996,261.819,1229,311.892,267.555,1234,316.545,272.35200000000003,1229,322.562,275.901,1234,329.963,277.428,1243,338.056,276.531,1247,345.71,273.659,0,352.289,268.874,0,357.306,262.817,0,360.64099999999996,255.549,1265,362.616,247.517,1265,363.744,239.25599999999997,1265,364.17,231.01,1265,363.85,222.477,1270,318.263,219.895,0,345.96,219.75799999999998,1238,330.293,235.149,1216,325.377,204.041,1234,320.574,202.59,1261,314.442,202.765,1280,309.666,205.395,1275,306.95,208.946,1280,337.986,203.625,1265,343.462,202.18200000000002,1256,350.417,202.342,1270,355.55300000000005,205.062,1275,358.449,208.452,1275
