0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
312.384,234.579,1175,310.127,232.313,1171,307.009,231.365,1163,304.006,231.822,1171,302.014,233.658,1183,304.01599999999996,234.83700000000002,1175,306.758,235.31400000000002,1179,309.76099999999997,235.205,1175,327.68800000000005,234.921,1179,330.031,232.52200000000002,1183,333.4,231.75599999999997,1183,337.045,232.503,1183,339.842,234.477,1183,337.06199999999995,235.49099999999999,1183,333.908,235.79,1179,330.67,235.55900000000003,1179,312.96299999999997,222.924,1175,310.067,221.16,1171,306.635,220.456,1208,303.623,221.013,1212,301.335,222.74,1208,301.04900000000004,225.192,1208,303.723,224.213,1208,306.605,223.99099999999999,1167,309.728,224.56099999999998,1171,312.803,225.727,1171,326.387,222.315,1187,330.973,220.726,1187,336.491,220.263,1187,340.87199999999996,221.472,1187,344.24699999999996,223.611,1200,344.23699999999997,226.378,1195,340.27099999999996,224.93200000000002,1187,335.93699999999995,224.166,1187,330.976,224.46599999999998,1183,326.367,225.463,1183,315.49,234.581,1175,313.663,240.615,1179,311.072,246.468,1163,307.705,251.68400000000003,1171,308.557,256.433,1171,313.125,257.345,1171,317.318,257.54,1171,324.867,257.48400000000004,1171,326.39,252.615,1167,323.339,247.172,1171,322.547,241.24400000000003,1171,322.561,235.017,1179,305.731,267.80400000000003,1175,308.606,266.04200000000003,1171,311.97900000000004,265.08,1171,315.41200000000003,266.055,1171,319.04900000000004,265.51599999999996,1171,324.518,266.94599999999997,1171,330.587,269.25,1171,325.64099999999996,272.66,1167,320.673,274.436,1163,315.156,274.86400000000003,1163,310.785,273.635,1167,308.03700000000003,271.342,1171,307.099,268.181,1171,310.904,268.13,1167,315.43,268.60900000000004,1167,321.476,268.774,1167,328.397,269.615,1171,321.54200000000003,270.883,1163,315.188,271.111,1163,310.64,270.117,1167,297.653,233.952,1204,295.673,241.178,1200,294.22900000000004,248.31099999999998,1195,294.32099999999997,255.71,1191,295.726,263.365,1191,298.144,270.577,1183,301.195,277.285,1171,304.676,283.813,1179,308.784,288.98,1195,315.178,291.764,1200,323.749,291.437,1187,332.344,288.894,0,340.426,284.411,1208,347.31699999999995,278.847,0,352.80199999999996,271.624,0,356.409,263.16,0,358.289,254.051,0,358.98400000000004,244.824,1212,359.099,235.583,1208,307.009,233.636,1167,333.70599999999996,234.127,1179,316.547,253.343,1171,314.579,220.424,1183,311.212,218.41299999999998,1191,306.694,217.487,1208,302.434,218.297,1208,299.547,220.378,1208,325.439,219.516,1191,330.37699999999995,217.834,1187,336.769,217.324,1183,342.096,218.799,1191,345.865,221.18900000000002,1200
326.64799999999997,229.326,1247,324.23400000000004,227.24099999999999,1247,320.928,226.455,1256,317.736,227.328,1261,315.324,229.622,1265,318.024,230.5,1261,321.07599999999996,230.743,1256,324.086,230.396,1252,343.845,230.06599999999997,1265,346.275,228.15200000000002,1270,349.58099999999996,227.609,1275,352.75,228.68400000000003,1275,354.976,231.10299999999998,1275,352.499,231.824,1270,349.43,231.824,1270,346.32599999999996,231.21900000000002,1265,328.65,220.118,1238,323.938,218.74400000000003,1265,318.93,218.753,1280,314.587,220.153,1280,311.334,222.595,1280,311.858,224.9,1280,315.37,223.176,1275,319.355,222.261,1265,323.857,222.351,1252,328.472,223.263,1238,342.30199999999996,220.605,1270,346.723,219.68,1275,351.75800000000004,220.09900000000002,1284,355.89599999999996,221.753,1289,358.944,224.206,1289,358.36800000000005,226.558,1289,354.94699999999995,224.618,1280,351.176,223.49099999999999,1280,346.584,223.271,1275,342.29400000000004,223.745,1275,331.675,229.543,1247,330.63699999999994,234.003,0,328.84,238.042,1234,326.691,242.02700000000002,1238,328.039,246.283,1238,333.324,245.877,1238,336.69599999999997,246.06599999999997,1247,341.985,246.804,1252,343.434,242.551,0,341.333,238.31799999999998,0,339.80400000000003,234.27,0,338.916,229.793,1270,324.7,260.303,1221,327.536,256.166,1225,331.32,253.44,1234,334.99300000000005,253.958,1238,338.435,253.675,1243,342.19599999999997,256.55400000000003,1247,344.974,260.923,1247,342.276,261.719,1243,339.02,262.14099999999996,1238,334.983,262.161,1229,330.93699999999995,261.843,1221,327.543,261.164,1221,327.875,259.501,1221,331.134,257.77,1229,335.039,257.408,1238,338.783,258.11400000000003,1243,341.885,260.06,1243,338.61699999999996,258.443,1243,334.983,257.885,1234,331.272,258.093,1229,304.337,230.747,1275,303.293,238.59900000000002,1270,302.857,246.642,1270,303.437,255.10299999999998,1265,305.015,263.33799999999997,1261,308.45,270.863,1256,313.211,276.116,1256,319.301,280.04400000000004,1252,326.66200000000003,282.505,1247,334.66900000000004,283.67,1261,343.086,282.976,1270,350.79,280.98400000000004,1284,357.23900000000003,276.98,0,362.157,271.569,0,365.38800000000003,264.134,0,366.889,255.985,0,367.545,247.709,0,367.32599999999996,239.72,1294,366.44599999999997,232.113,1304,321.007,228.951,1256,349.46,230.06,1270,335.043,243.24599999999998,1238,329.504,217.201,1243,324.343,215.72299999999998,1270,318.363,215.75,1280,313.01599999999996,217.49900000000002,1284,309.301,220.239,1289,341.58,217.623,1270,346.44300000000004,216.62099999999998,1280,352.44199999999995,217.122,1289,357.54699999999997,219.167,1294,361.024,221.91,1299
321.971,230.25900000000001,1256,319.721,228.188,1265,316.699,227.37599999999998,1270,313.72900000000004,228.002,1275,311.548,229.907,1275,313.901,230.983,1270,316.621,231.393,1265,319.442,231.169,1261,338.629,231.03599999999997,1270,341.01599999999996,229.15099999999998,1270,344.161,228.65400000000002,1275,347.217,229.601,1280,349.56699999999995,231.738,1275,347.05,232.577,1275,344.10900000000004,232.669,1270,341.129,232.141,1265,323.499,220.385,1252,319.663,218.696,1261,315.393,218.274,1294,311.563,219.27900000000002,1289,308.677,221.393,1289,308.875,223.864,1284,312.08,222.46900000000002,1284,315.64,221.877,1275,319.448,222.282,1256,323.344,223.455,1247,336.83099999999996,220.72099999999998,1275,341.131,219.50599999999997,1280,346.06699999999995,219.555,1284,350.189,221.017,1289,353.37,223.388,1294,353.07800000000003,225.972,1294,349.4,224.16400000000002,1284,345.51599999999996,223.19299999999998,1280,341.035,223.167,1280,336.75300000000004,223.86599999999999,1280,326.28,230.375,0,325.045,235.30599999999998,1252,323.08099999999996,239.842,1252,320.47900000000004,244.03599999999997,1247,321.33799999999997,248.398,1238,326.569,248.99,1243,330.185,249.237,1243,336.56699999999995,249.40900000000002,1252,337.92800000000005,244.99,1252,335.445,240.553,0,334.129,235.84900000000002,0,333.548,230.768,1270,318.156,261.335,1247,321.209,257.762,1238,324.978,255.72299999999998,1238,328.55,256.47900000000004,1234,332.023,256.056,1234,336.657,258.55,1247,340.658,262.455,1252,337.092,265.091,1252,333.236,266.593,1247,328.63699999999994,266.921,1243,324.372,266.01599999999996,1243,321.08299999999997,264.132,1238,320.259,261.144,1238,324.303,259.738,1234,328.71,259.724,1234,333.556,260.27099999999996,1234,338.36,262.15,1243,333.574,262.493,1238,328.649,262.442,1238,324.233,261.923,1234,303.978,230.688,1289,302.777,238.597,1275,302.27299999999997,246.238,1275,302.85,254.31599999999997,1265,304.235,262.223,1261,307.035,269.586,1261,310.803,275.433,1265,315.584,280.341,1275,321.551,283.934,1275,328.65,285.744,1280,336.79400000000004,285.286,1284,344.38800000000003,283.019,1294,351.04900000000004,278.79400000000004,1309,356.4,273.329,0,360.286,266.182,0,362.414,258.116,0,363.51800000000003,249.71599999999998,1309,363.77099999999996,241.442,1304,363.369,233.208,1309,316.704,229.66,1265,344.11,230.946,1270,328.949,245.68200000000002,1243,324.625,217.512,1256,320.342,215.672,1270,315.063,215.173,1294,310.158,216.497,1294,306.785,218.92700000000002,1299,335.966,217.708,1280,340.666,216.40400000000002,1284,346.51599999999996,216.47299999999998,1289,351.60699999999997,218.264,1294,355.224,220.899,1304
317.497,229.34400000000002,1243,315.15,227.416,1247,312.207,226.77700000000002,1256,309.342,227.558,1261,307.434,229.52900000000002,1265,309.49,230.58900000000003,1261,312.113,230.907,1261,314.95799999999997,230.477,1252,335.13300000000004,228.857,1256,337.534,226.722,1261,340.67400000000004,225.919,1265,343.81699999999995,226.595,1270,346.25199999999995,228.548,1270,343.773,229.71099999999998,1265,340.787,230.115,1256,337.735,229.834,1256,318.418,217.953,1243,314.704,216.502,1275,310.469,216.37400000000002,1280,306.897,217.6,1284,304.39,219.918,1284,304.468,222.567,1284,307.405,220.915,1284,310.722,220.095,1275,314.51,220.26,1247,318.442,221.213,1238,332.67800000000005,217.07299999999998,1270,337.35400000000004,215.407,1270,342.82199999999995,215.03599999999997,1270,347.145,216.287,1280,350.341,218.55599999999998,1280,350.371,221.338,1275,346.47900000000004,219.66,1270,342.325,218.9,1270,337.445,219.268,1275,332.662,220.46200000000002,1270,321.758,229.084,0,320.45,234.27200000000002,1229,318.339,239.18400000000003,1243,315.249,243.676,1243,316.041,248.238,1238,321.685,249.017,1238,325.547,248.976,1238,332.954,248.343,1238,334.233,243.615,1238,331.32800000000003,239.342,0,329.941,234.389,0,329.426,229.044,0,311.975,260.547,1229,315.806,257.281,1229,320.069,255.43,1229,323.968,256.118,1234,327.945,255.257,1234,333.605,257.085,1238,339.04,260.176,1243,334.403,263.653,1238,329.825,265.582,1229,324.371,266.32,1221,319.512,265.687,1225,315.743,263.834,1225,313.347,260.505,1225,318.847,259.284,1229,324.18,259.247,1225,330.385,259.142,1234,337.371,260.263,1238,330.594,261.355,1229,324.269,261.758,1221,318.705,261.436,1225,300.401,231.153,1275,299.347,239.273,1265,299.127,246.832,1261,299.813,254.72400000000002,1265,301.244,262.514,1261,303.91,269.673,1261,307.512,275.524,1261,312.01099999999997,280.497,1261,317.73900000000003,284.12,1275,324.856,285.66,1270,333.038,284.86400000000003,0,340.855,282.069,1280,347.789,277.327,0,353.337,271.428,0,357.379,264.103,0,359.793,255.847,0,361.014,247.283,1289,361.471,238.71900000000002,1289,361.211,229.912,1294,312.274,229.075,1256,340.713,228.28799999999998,1256,324.422,245.049,1234,319.60200000000003,214.895,1261,315.407,213.299,1280,310.122,213.138,1280,305.48900000000003,214.767,1280,302.52099999999996,217.451,1284,331.673,213.99,1275,336.79,212.206,1270,343.191,211.792,1270,348.392,213.334,1280,351.965,215.863,1289
318.084,228.296,1261,316.113,226.649,1261,313.371,226.058,1270,310.748,226.739,1280,308.934,228.514,1284,310.907,229.292,1280,313.291,229.518,1270,315.85400000000004,229.25400000000002,1265,334.465,228.84099999999998,1270,336.625,227.095,1275,339.602,226.63400000000001,1275,342.57099999999997,227.46,1275,344.92699999999996,229.412,1275,342.385,230.13299999999998,1270,339.45,230.19099999999997,1270,336.592,229.78099999999998,1270,319.39599999999996,219.845,1256,316.503,218.696,1261,313.332,218.58599999999998,1256,310.116,219.048,1299,307.606,220.50599999999997,1304,307.371,223.015,1294,310.098,222.037,1294,313.228,221.646,1256,316.232,221.783,1256,319.445,222.52900000000002,1252,332.728,219.72799999999998,1280,336.625,218.618,1284,341.231,218.639,1284,345.329,219.55900000000003,1284,348.525,221.262,1289,348.501,224.016,1284,344.722,222.57,1284,340.689,221.84,1284,336.376,221.84,1284,332.337,222.459,1275,322.13,228.65200000000002,0,320.481,232.55900000000003,1256,318.33299999999997,236.57,1256,315.99,240.912,1252,316.802,244.61900000000003,1256,320.578,244.71200000000002,1252,323.779,244.842,1256,329.986,245.50599999999997,1256,331.772,241.683,0,329.949,237.43200000000002,0,329.06800000000004,233.255,0,328.711,229.014,1270,314.506,257.783,1243,316.508,253.729,1247,319.345,251.28099999999998,1243,322.45,251.764,1247,325.615,251.46,1247,329.686,254.305,1252,333.11300000000006,258.508,1252,330.05800000000005,259.783,1252,326.60400000000004,260.517,1243,322.348,260.64799999999997,1243,318.778,260.12,1247,316.38,259.028,1247,316.97700000000003,257.256,1247,319.376,255.43,1243,322.579,255.05200000000002,1243,326.435,255.761,1247,330.338,257.827,1252,326.313,256.823,1247,322.539,256.43,1243,319.487,256.492,1243,303.187,229.72799999999998,1294,301.504,236.09,1284,300.569,242.52700000000002,1275,300.705,249.458,1280,301.42900000000003,256.527,1265,303.347,263.434,1265,306.219,269.07099999999997,1270,310.199,273.653,1270,315.47,276.98,1256,321.861,278.721,1256,329.936,278.786,1265,338.116,277.39799999999997,1284,345.54900000000004,273.868,0,351.455,268.96,1289,355.895,262.274,1294,358.61,254.61599999999999,0,360.106,246.75,0,360.801,238.81599999999997,1304,360.722,231.298,1299,313.413,228.04,1275,339.577,228.69299999999998,1275,323.399,242.035,1252,320.59,217.37400000000002,1265,317.258,216.07,1270,313.276,215.882,1294,309.2,216.535,1304,306.222,218.237,1304,331.944,217.137,1280,336.277,215.93599999999998,1289,341.62,215.942,1289,346.34,216.99200000000002,1289,349.856,218.835,1294
319.527,230.317,1252,317.151,228.458,1256,314.156,227.771,1270,311.263,228.601,1275,309.216,230.668,1275,311.495,231.56599999999997,1275,314.175,231.826,1265,316.978,231.46200000000002,0,337.095,230.174,1265,339.51300000000003,228.174,1270,342.585,227.446,1275,345.60400000000004,228.262,1275,347.901,230.34799999999998,1275,345.529,231.285,1275,342.663,231.554,1270,339.664,231.21599999999998,1265,321.159,221.082,1243,317.312,219.697,1265,313.127,219.678,1284,309.143,220.613,1289,306.111,222.578,1289,306.101,225.38,1284,309.51,223.918,1284,313.264,223.168,1280,317.159,223.266,1252,321.248,224.203,1243,334.551,220.578,1280,338.782,219.21400000000003,1284,343.726,219.18200000000002,1284,347.968,220.158,1289,351.441,222.082,1294,351.55,224.968,1289,347.51300000000003,223.425,1289,343.421,222.658,1284,338.81300000000005,222.829,1284,334.47,223.798,1275,324.067,230.329,1252,322.784,234.981,1243,320.809,239.31099999999998,1247,318.059,243.37400000000002,1252,319.112,247.637,1243,325.075,248.332,1247,328.838,248.377,1247,335.718,247.803,1252,337.015,243.37900000000002,1252,334.19599999999997,239.37900000000002,0,332.56199999999995,235.118,0,331.661,230.361,1261,314.348,259.45099999999996,1238,318.621,256.411,1243,323.108,254.733,1238,327.26,255.331,1238,331.3,254.66,1238,336.85400000000004,256.335,1238,342.269,259.3,1256,337.483,261.649,1243,332.97,262.73400000000004,1234,327.68699999999995,263.087,1234,322.77299999999997,262.699,1234,318.658,261.598,1238,315.83799999999997,259.175,1238,321.876,258.246,1238,327.494,258.254,1234,333.663,258.223,1234,340.61699999999996,259.129,1252,333.852,259.188,1229,327.561,259.183,1234,321.752,259.124,1234,300.444,231.855,1284,299.245,239.655,1275,298.716,247.138,1280,299.286,255.19299999999998,1275,300.822,263.23400000000004,1275,304.138,270.579,1270,308.564,275.965,1270,314.02099999999996,280.159,1275,320.656,282.857,1261,328.148,284.03,1270,336.574,283.447,1275,344.575,281.433,1289,351.577,277.35900000000004,1294,357.087,271.964,0,360.903,264.578,0,362.776,256.254,0,363.463,247.727,0,363.311,239.41400000000002,1309,362.55699999999996,231.248,1304,314.245,230.084,1270,342.569,229.80700000000002,1270,327.353,244.699,1252,322.224,218.25099999999998,1252,317.885,216.72400000000002,1280,312.803,216.674,1289,307.966,217.87599999999998,1289,304.509,220.12,1294,333.529,217.708,1280,338.222,216.225,1284,344.01099999999997,216.176,0,349.036,217.355,1289,352.906,219.477,1289
323.362,227.505,1256,320.895,225.233,1265,317.53700000000003,224.4,0,314.342,225.209,0,312.01099999999997,227.36,0,314.57,227.90900000000002,0,317.595,228.105,1261,320.58799999999997,227.989,1256,339.337,228.593,1275,342.191,226.763,1275,345.935,226.542,1284,349.39300000000003,227.945,1289,351.881,230.635,1289,348.909,230.614,1280,345.69800000000004,230.183,1275,342.38599999999997,229.511,1275,325.39799999999997,216.812,1265,321.346,215.467,1261,316.744,215.83700000000002,1284,313.249,217.47099999999998,1309,310.741,220.076,1304,310.82,222.15200000000002,1299,313.816,220.292,1294,317.129,219.28099999999998,1275,321.17,219.312,1265,325.185,220.168,1265,338.70300000000003,217.52599999999998,0,343.925,216.975,1289,350.039,218.25099999999998,1294,354.475,220.99900000000002,1304,357.19699999999995,224.523,1309,356.351,226.68200000000002,1299,352.881,223.703,1294,348.793,221.77200000000002,1294,343.35400000000004,220.91099999999997,1289,338.219,220.93599999999998,0,327.195,226.764,0,324.88599999999997,231.209,1261,321.79,234.676,1261,318.214,238.178,1265,318.447,242.69799999999998,1252,324.257,243.15400000000002,1256,327.85,243.483,1261,335.405,244.543,1270,337.19199999999995,240.602,1270,334.668,236.769,0,333.699,232.72400000000002,0,334.00199999999995,227.782,0,312.905,255.08599999999998,1243,316.44,250.548,1243,321.156,248.30700000000002,1238,325.246,249.321,1247,329.665,249.264,1256,335.42400000000004,252.81400000000002,1252,339.587,257.889,1265,334.577,261.966,1252,329.605,263.916,1252,323.789,264.13599999999997,1252,318.779,262.754,1252,315.404,259.947,1247,315.078,255.09799999999998,1243,319.503,252.38400000000001,1238,325.057,252.38400000000001,1243,331.751,253.80700000000002,1247,337.733,257.7,1252,331.319,259.59,1238,324.5,259.687,1247,318.89,258.203,1252,306.52,228.61,0,303.69599999999997,236.074,1284,301.355,243.308,1284,300.444,250.947,1284,300.828,258.983,1284,302.431,266.71299999999997,1280,304.756,273.176,1314,308.022,279.414,1309,313.341,284.652,1304,321.517,287.661,1294,331.421,287.744,1294,340.92400000000004,285.693,1299,349.246,281.45,1314,355.667,275.504,0,359.844,267.962,0,362.43199999999996,259.661,0,364.185,251.295,0,365.066,243.00400000000002,1578,365.514,234.145,1314,317.612,226.71400000000003,1265,345.716,228.84799999999998,1280,327.228,240.513,1261,326.315,213.745,1270,321.598,212.22799999999998,1261,315.781,212.727,1309,311.318,214.924,1314,308.395,217.93,1314,338.36300000000006,214.41099999999997,0,344.086,213.83,1294,351.219,215.31900000000002,1299,356.597,218.662,1314,359.714,222.60299999999998,1314
320.835,230.67,1234,318.327,228.523,1229,315.056,227.66,1243,311.812,228.394,1256,309.54900000000004,230.489,1256,311.91200000000003,231.53099999999998,1256,314.887,231.91099999999997,1252,318.03700000000003,231.58700000000002,1238,338.42,231.15400000000002,1243,341.095,229.15400000000002,1247,344.605,228.50099999999998,1252,348.027,229.49599999999998,1252,350.455,231.74400000000003,1252,347.781,232.62400000000002,1252,344.50699999999995,232.755,1247,341.22,232.232,1243,322.172,220.49900000000002,1229,317.369,218.993,1256,311.89599999999996,218.868,1270,307.875,220.578,1275,305.21,223.325,1275,305.777,225.25799999999998,1270,308.818,223.294,1265,312.374,222.27900000000002,1265,317.074,222.52,1225,321.835,223.59,1225,336.60900000000004,220.507,1256,342.175,219.355,1252,348.595,219.655,1256,353.069,221.827,1265,356.035,224.708,1270,355.36300000000006,226.767,1265,351.805,224.477,1261,347.681,223.125,1256,342.12699999999995,222.984,1256,336.651,223.71400000000003,1252,325.15,230.637,0,323.897,235.12900000000002,1225,321.76,239.167,1221,318.686,242.767,1225,319.324,246.99,1225,324.808,247.57299999999998,1221,328.783,247.735,1221,335.86300000000006,247.856,1229,337.285,243.61700000000002,0,334.48400000000004,239.858,0,333.222,235.638,1238,332.916,230.97400000000002,1238,314.906,258.632,1221,318.736,255.583,1225,323.019,253.748,1221,326.973,254.592,1221,331.022,253.998,1225,336.337,256.23,1225,341.311,259.52299999999997,1229,336.921,261.399,1216,332.39300000000003,262.302,1216,327.08099999999996,262.462,1216,322.207,261.911,1216,318.41,260.70099999999996,1221,316.843,258.301,1221,321.776,257.445,1216,327.051,257.621,1216,333.004,257.867,1221,339.126,259.13599999999997,1225,333.102,258.6,1221,327.106,258.339,1216,321.749,258.126,1216,302.33799999999997,231.77200000000002,1261,301.163,239.12,1256,300.8,246.174,1252,301.268,253.58,1252,302.497,260.97700000000003,1243,305.121,267.717,1252,308.819,272.86,1252,313.501,277.197,1247,319.494,280.383,1238,326.851,282.032,1252,335.21,281.71299999999997,1247,343.227,279.893,1265,350.245,276.198,0,355.895,271.29200000000003,0,359.991,264.629,0,362.298,257.084,0,363.64599999999996,249.266,1275,364.249,241.53,0,364.19800000000004,233.46099999999998,1275,315.052,230.09599999999998,1243,344.514,230.958,1252,327.624,244.445,1221,323.22900000000004,217.641,1234,317.96,216.00900000000001,1261,311.316,215.888,1275,306.084,218.12099999999998,1275,302.942,221.282,1280,335.923,217.549,1256,341.935,216.328,1256,349.463,216.72799999999998,1256,354.966,219.415,1270,358.296,222.628,1275
318.73900000000003,228.543,1265,316.012,226.24900000000002,1270,312.438,225.33,1284,308.916,226.037,1294,306.298,228.155,1294,309.122,229.32,1289,312.39599999999996,229.755,1289,315.723,229.49400000000003,1280,337.077,229.225,1275,339.87199999999996,227.16400000000002,1275,343.494,226.545,1284,346.976,227.57,1289,349.55800000000005,229.859,1289,346.834,230.77900000000002,1284,343.54900000000004,230.92700000000002,1280,340.11400000000003,230.38,1275,320.471,219.176,1256,315.39799999999997,217.33900000000003,1275,309.807,216.922,1309,305.15,218.308,1309,301.73400000000004,220.828,1309,302.281,223.176,1304,306.034,221.476,1304,310.23400000000004,220.665,1294,315.143,221.081,1261,320.14099999999996,222.38,1256,334.995,219.53,1289,340.148,218.23,1289,346.00199999999995,218.31,1294,350.662,220.042,1299,354.241,222.71099999999998,1309,353.681,225.127,1304,349.73,223.144,1294,345.495,222.02599999999998,1289,340.269,222.00799999999998,1289,335.218,222.804,1289,323.54400000000004,228.606,1265,322.529,233.83599999999998,1261,320.598,238.396,1252,317.621,242.321,1261,318.58299999999997,246.903,1256,325.085,247.76,1256,329.474,248.003,1256,336.42199999999997,247.705,1256,337.595,243.08700000000002,1256,334.42199999999997,238.856,0,332.69800000000004,234.201,0,331.89099999999996,228.91099999999997,1275,314.067,259.38599999999997,1252,318.397,256.262,1252,323.22700000000003,254.53599999999997,1238,327.623,255.392,1247,331.81,254.83900000000003,1252,337.339,256.876,1256,342.403,260.268,1270,338.051,263.285,1256,333.485,264.95,1243,327.974,265.33099999999996,1247,322.538,264.433,1256,318.17900000000003,262.51099999999997,1256,316.096,259.281,1252,321.885,258.293,1243,327.833,258.47,1243,334.085,258.735,1252,340.282,260.119,1265,334.273,260.893,1247,327.851,261.01099999999997,1243,321.781,260.38599999999997,1247,296.816,228.56900000000002,1304,295.932,237.05599999999998,1304,295.777,245.225,1299,296.802,253.863,1294,298.848,262.255,1289,302.676,269.842,1294,307.46299999999997,275.421,1284,313.231,280.047,1294,320.182,283.267,1284,328.214,284.882,1284,336.98699999999997,284.187,1294,344.88599999999997,281.848,1309,351.64099999999996,277.589,1319,357.154,272.138,0,361.142,264.64799999999997,0,363.07300000000004,256.27299999999997,0,363.976,247.55,0,363.954,239.11599999999999,0,363.309,230.59099999999998,1314,312.455,227.86,1284,343.434,229.05599999999998,1284,327.475,244.12900000000002,1256,321.547,216.15,1265,316.007,214.176,1299,309.29900000000004,213.71200000000002,1309,303.46299999999997,215.49900000000002,1314,299.545,218.378,1319,334.00300000000004,216.38299999999998,1294,339.57,214.99599999999998,1294,346.49,215.113,1294,352.337,217.24900000000002,1309,356.42900000000003,220.226,1314
324.883,228.959,1261,322.661,226.53599999999997,1261,319.557,225.423,1265,316.335,225.98,1275,313.916,228.058,1280,316.214,229.26,1261,319.084,229.824,0,322.126,229.731,1261,342.274,230.953,1275,345.065,229.11599999999999,1280,348.476,228.764,1284,351.61,230.093,1284,353.666,232.71200000000002,1289,351.014,233.317,1284,347.903,233.12900000000002,1275,344.819,232.313,1275,327.552,218.63299999999998,1252,323.16700000000003,216.685,1256,318.092,216.201,1294,313.866,217.43599999999998,1294,310.798,219.90599999999998,1299,311.025,222.295,1289,314.388,220.63099999999997,1289,318.129,219.94299999999998,1280,322.58099999999996,220.516,1256,327.017,221.984,1252,341.41,219.87,1284,346.587,219.13099999999997,1289,352.36699999999996,219.968,1294,356.524,222.331,1304,359.221,225.465,1304,358.49,227.822,1299,355.115,225.247,1294,351.218,223.595,1289,346.103,223.016,1289,341.05400000000003,223.315,1284,329.35900000000004,229.179,0,327.58299999999997,233.93900000000002,0,325.017,238.065,1252,321.69599999999997,241.808,1252,322.052,246.467,1252,327.824,247.388,1247,331.528,247.86700000000002,1252,338.38699999999994,248.66,1256,340.213,244.19400000000002,1256,338.032,239.813,0,337.075,235.24599999999998,0,337.04699999999997,230.15400000000002,1270,316.20099999999996,259.471,1247,320.328,255.81400000000002,1238,325.043,253.916,1243,329.04400000000004,255.047,1238,333.215,254.87400000000002,1252,338.155,257.94,1252,342.176,262.52099999999996,1265,337.814,264.916,1252,333.325,266.04,1247,327.97,265.972,1238,323.126,264.829,1234,319.42900000000003,262.72700000000003,1238,318.274,259.313,1243,323.442,258.059,1234,328.76800000000003,258.44,1234,334.49800000000005,259.404,1238,340.04,261.94,1261,334.293,261.834,1234,328.461,261.32599999999996,1238,323.095,260.427,1229,305.26,228.845,1289,303.117,236.933,1275,301.807,244.778,1275,301.361,253.146,1261,301.795,261.553,1280,303.80400000000003,269.43,1280,307.163,275.58799999999997,1280,311.79200000000003,280.85900000000004,1289,317.954,284.887,1289,325.54900000000004,287.291,1284,334.167,287.438,1284,342.395,285.756,1294,349.707,281.895,1309,355.649,276.569,0,360.161,269.371,0,363.089,261.188,0,365.043,252.655,0,366.116,244.27900000000002,0,366.532,235.673,1314,319.347,227.97099999999998,1265,348.10400000000004,231.3,1280,330.594,244.283,1252,328.897,215.65900000000002,1261,324.03,213.53,1270,317.845,212.949,1299,312.469,214.542,1299,308.895,217.35,1299,340.99300000000005,216.649,1284,346.653,215.87099999999998,1294,353.461,216.88400000000001,1299,358.529,219.80700000000002,1304,361.57599999999996,223.31900000000002,1309
