0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z,34x,34y,34z,35x,35y,35z,36x,36y,36z,37x,37y,37z,38x,38y,38z,39x,39y,39z,40x,40y,40z,41x,41y,41z,42x,42y,42z,43x,43y,43z,44x,44y,44z,45x,45y,45z,46x,46y,46z,47x,47y,47z,48x,48y,48z,49x,49y,49z,50x,50y,50z,51x,51y,51z,52x,52y,52z,53x,53y,53z,54x,54y,54z,55x,55y,55z,56x,56y,56z,57x,57y,57z,58x,58y,58z,59x,59y,59z,60x,60y,60z,61x,61y,61z,62x,62y,62z,63x,63y,63z,64x,64y,64z,65x,65y,65z,66x,66y,66z,67x,67y,67z,68x,68y,68z,69x,69y,69z,70x,70y,70z,71x,71y,71z,72x,72y,72z,73x,73y,73z,74x,74y,74z,75x,75y,75z,76x,76y,76z,77x,77y,77z,78x,78y,78z,79x,79y,79z,80x,80y,80z,81x,81y,81z,82x,82y,82z,83x,83y,83z,84x,84y,84z,85x,85y,85z,86x,86y,86z,87x,87y,87z,88x,88y,88z,89x,89y,89z,90x,90y,90z,91x,91y,91z,92x,92y,92z,93x,93y,93z,94x,94y,94z,95x,95y,95z,96x,96y,96z,97x,97y,97z,98x,98y,98z,99x,99y,99z
313.038,235.649,1243,310.437,233.685,1243,307.033,233.236,1252,303.932,234.18200000000002,1256,301.955,236.21599999999998,1261,304.232,237.459,1252,307.241,237.68,1252,310.379,237.03900000000002,1243,330.70599999999996,234.072,1252,332.961,231.516,1252,336.374,230.38,1256,339.83,230.726,1256,342.533,232.38099999999997,1256,340.106,234.049,1252,336.949,234.868,1247,333.55199999999996,234.847,1252,313.357,226.89,1229,309.005,225.541,1252,304.161,225.248,1270,300.124,226.43400000000003,1275,297.27099999999996,228.75799999999998,1275,297.91,231.243,1275,300.902,229.792,1270,304.471,229.00599999999997,1261,308.756,229.088,1252,313.228,229.842,1229,327.914,225.201,1252,332.665,222.949,1261,338.189,221.623,1265,342.89599999999996,222.101,1265,346.54,223.773,1275,346.457,226.394,1270,342.61,225.575,1265,338.35400000000004,225.514,1261,333.41900000000004,226.507,1261,328.62199999999996,228.145,1252,317.471,235.696,1238,316.857,241.476,1238,315.475,247.048,1238,313.198,252.11599999999999,1238,314.466,256.677,1238,319.597,257.384,1229,323.622,257.068,1225,329.958,255.56799999999998,1234,330.81199999999995,250.696,1234,327.866,246.24200000000002,1234,326.181,240.832,1238,325.256,235.065,1247,312.241,269.76099999999997,1234,315.372,267.062,1225,318.92400000000004,265.244,1225,322.568,265.678,1216,326.077,264.603,1221,330.772,265.70599999999996,1229,335.436,267.67400000000004,1238,332.05,270.855,1234,328.25199999999995,272.993,1229,323.406,274.055,1225,318.824,273.681,1229,315.466,272.14099999999996,1229,314.548,269.629,1229,318.712,268.82599999999996,1225,322.98,268.59,1216,327.774,268.05400000000003,1225,333.042,268.01099999999997,1238,327.945,268.967,1225,323.08299999999997,269.683,1221,318.72700000000003,269.721,1225,293.37,236.546,1275,293.475,245.047,1275,294.487,253.421,1265,296.492,261.87,1261,299.249,269.842,1256,303.371,277.024,1275,307.666,282.351,1256,312.533,286.78700000000003,1265,318.371,289.637,1280,325.17400000000004,290.582,1289,332.76199999999994,288.978,1275,339.774,285.644,1284,345.735,280.513,0,350.74,274.551,0,354.70599999999996,266.431,0,356.82599999999996,257.61,0,357.671,248.533,1294,357.715,239.417,1294,356.95,230.396,1289,307.281,235.643,1252,336.626,232.855,1252,321.874,252.85,1234,314.36400000000003,223.699,1238,309.637,222.252,1261,303.841,221.922,1270,298.67900000000003,223.477,1270,295.319,226.16299999999998,1275,326.534,222.183,1256,331.60900000000004,219.794,1261,337.97900000000004,218.27900000000002,1265,343.69199999999995,218.858,1270,347.806,220.71400000000003,1275
322.166,227.021,0,319.598,225.28,1256,316.249,224.701,1265,312.982,225.21200000000002,1270,310.502,226.66400000000002,1270,313.034,227.868,1265,316.15,228.28900000000002,1261,319.35,227.986,1256,339.686,226.825,1265,342.142,224.99400000000003,1265,345.463,224.333,1265,348.7,224.78599999999997,1270,351.26300000000003,226.19299999999998,1275,348.847,227.41299999999998,1270,345.8,227.907,1265,342.533,227.669,1265,323.128,218.512,1238,318.67900000000003,216.96900000000002,1270,313.848,216.304,1280,309.66900000000004,217.11700000000002,1280,306.423,218.916,1284,306.736,221.11,1280,310.223,220.041,1280,314.072,219.61,1275,318.368,220.04,1256,322.843,221.063,1243,337.895,218.22400000000002,1275,342.283,216.648,1280,347.19199999999995,215.857,1284,351.444,216.495,1289,354.901,218.08599999999998,1289,354.69699999999995,220.325,1284,351.085,219.451,1280,347.21,219.192,1275,342.775,219.725,1275,338.343,220.799,1270,326.945,227.128,0,326.351,232.19400000000002,1243,324.853,236.903,1238,321.996,240.87599999999998,1238,323.074,244.851,1238,329.07199999999995,245.729,1234,333.61300000000006,245.71900000000002,1238,339.582,244.72299999999998,1243,340.43300000000005,240.627,1252,337.213,236.718,0,335.534,232.013,0,334.727,227.00599999999997,0,319.564,254.77200000000002,1225,323.58299999999997,252.965,1225,327.829,251.83599999999998,1221,331.64300000000003,252.45,1225,335.19599999999997,251.74200000000002,1238,339.85699999999997,252.713,1238,344.423,254.38400000000001,1238,340.847,257.435,1238,336.991,259.29,1229,332.06300000000005,259.98,1225,327.028,259.29,1229,323.209,257.561,1229,321.506,254.989,1225,326.752,254.671,1225,331.845,254.81400000000002,1225,337.101,254.547,1234,342.538,254.703,1238,337.309,255.832,1234,331.88800000000003,256.32599999999996,1229,326.67400000000004,255.93099999999998,1225,300.536,226.56900000000002,1280,300.613,234.053,1275,301.41,241.24400000000003,1270,303.251,248.533,1261,305.962,255.22799999999998,1261,310.07,261.156,1247,314.69,265.71299999999997,1247,319.871,269.582,1243,325.829,272.246,1247,332.74300000000005,273.262,1252,340.01800000000003,272.16700000000003,1247,346.344,269.457,0,351.79900000000004,265.428,1265,356.537,260.67400000000004,0,360.273,254.437,0,362.395,247.50099999999998,1289,363.48199999999997,240.22099999999998,1304,363.80400000000003,232.93,1294,363.47,225.59599999999998,1299,316.254,226.627,1261,345.55400000000003,226.265,1265,331.23,242.018,1234,324.202,215.84599999999998,1243,319.422,214.196,1265,313.694,213.43200000000002,1280,308.465,214.49,1284,304.762,216.549,1289,336.654,215.562,1275,341.32599999999996,213.892,1280,347.098,212.987,1280,352.463,213.78,1289,356.431,215.56400000000002,1294
316.63,232.262,1252,313.822,230.41400000000002,1252,310.277,230.00099999999998,1256,306.965,230.828,1261,304.659,232.65099999999998,1256,307.26099999999997,233.955,1256,310.505,234.247,1256,313.818,233.611,1252,334.842,230.545,1252,337.14099999999996,228.166,1256,340.597,227.07,1256,344.11699999999996,227.273,1265,346.96,228.63400000000001,1265,344.559,230.37400000000002,1261,341.365,231.274,1256,337.889,231.27700000000002,1252,316.357,221.805,1256,311.559,220.419,1270,306.268,220.025,1270,302.17,221.47299999999998,1275,299.25,223.963,1280,299.953,226.2,1275,303.198,224.608,1270,306.944,223.768,1270,311.507,223.926,1265,316.244,224.72099999999998,1243,331.959,220.15400000000002,1261,336.69599999999997,217.86900000000003,1265,342.151,216.39700000000002,1265,346.75300000000004,216.989,1270,350.404,218.692,1280,350.278,221.111,1275,346.499,220.317,1270,342.385,220.301,1265,337.55699999999996,221.357,1265,332.773,223.04,1252,321.48400000000004,232.112,1238,321.375,237.99599999999998,1234,320.293,243.66400000000002,1229,317.851,248.52,1238,319.349,252.985,1234,325.121,253.54,1225,329.591,253.168,1225,335.749,251.593,1238,336.32099999999997,246.81799999999998,1238,332.73900000000003,242.549,1234,330.66900000000004,237.07,0,329.505,231.33900000000003,0,317.425,264.377,1225,320.997,262.349,1221,324.824,260.79200000000003,1216,328.494,261.28,1216,331.80300000000005,260.145,1225,336.496,260.892,1225,341.26300000000003,262.116,1229,337.92400000000004,265.312,1225,334.175,267.42400000000004,1221,329.555,268.466,1221,324.82599999999996,268.121,1221,321.093,266.716,1212,319.677,264.39599999999996,1216,324.378,264.053,1212,328.95599999999996,263.966,1216,333.824,263.211,1221,339.01800000000003,262.629,1225,333.99199999999996,263.533,1221,328.98900000000003,264.293,1216,324.341,264.377,1212,295.165,233.202,1275,296.057,241.57299999999998,1270,297.716,249.604,1265,300.318,257.525,1261,303.65,264.671,1256,308.231,270.85,1247,313.13599999999997,275.597,1252,318.492,279.635,1256,324.585,282.319,1256,331.619,282.985,1252,338.969,281.19599999999997,1270,345.35900000000004,277.61400000000003,0,350.76300000000003,272.665,0,355.38300000000004,267.017,0,358.87,259.781,0,360.594,251.87900000000002,0,361.224,243.653,0,361.11699999999996,235.3,1289,360.23699999999997,226.827,1294,310.492,232.24599999999998,1256,340.934,229.327,1256,327.127,249.105,1225,317.259,218.62,1252,312.112,217.149,1275,305.748,216.74,1270,300.399,218.66099999999997,1280,296.985,221.541,1284,330.425,217.173,1265,335.43199999999996,214.767,1261,341.849,213.08599999999998,1265,347.722,213.80900000000003,1270,351.923,215.71099999999998,1284
322.272,226.453,0,319.67400000000004,224.69400000000002,0,316.278,224.137,1265,312.97,224.696,1265,310.472,226.22299999999998,1270,313.043,227.403,1270,316.214,227.79,1265,319.457,227.44299999999998,0,339.944,226.172,1256,342.407,224.31099999999998,1270,345.779,223.632,1270,349.07599999999996,224.09,1275,351.662,225.542,1280,349.21,226.768,1275,346.098,227.25799999999998,1270,342.792,227.012,1270,323.14599999999996,217.452,1252,318.56,215.96900000000002,1289,313.587,215.394,1289,309.416,216.37900000000002,1289,306.23400000000004,218.34799999999998,1289,306.628,220.47299999999998,1284,310.064,219.271,1280,313.89599999999996,218.74200000000002,1280,318.291,219.11,1265,322.858,220.072,1252,338.209,217.102,1270,342.721,215.525,1280,347.775,214.755,1289,352.05800000000005,215.528,1294,355.42800000000005,217.252,1294,355.14300000000003,219.43200000000002,1289,351.599,218.459,1289,347.72,218.146,1280,343.19599999999997,218.669,1275,338.664,219.737,1261,327.139,226.483,1243,326.566,231.56900000000002,1252,325.055,236.304,1243,322.216,240.34900000000002,1243,323.33799999999997,244.377,1243,329.26,245.016,1238,333.767,244.979,1243,339.676,244.16099999999997,1252,340.55199999999996,240.019,1256,337.38800000000003,236.063,1252,335.719,231.338,0,334.935,226.321,0,320.07,254.808,1234,323.858,252.7,1229,328.025,251.308,1221,331.79699999999997,251.887,1229,335.32800000000003,251.17700000000002,1234,339.841,252.365,1238,344.119,254.31799999999998,1247,340.787,257.259,1243,337.046,259.103,1234,332.19699999999995,259.82,1225,327.237,259.18,1229,323.504,257.495,1225,322.233,254.919,1229,327.09,254.36599999999999,1229,331.98,254.39700000000002,1229,336.99300000000005,254.203,1238,342.019,254.56099999999998,1247,337.153,255.525,1238,332.019,255.993,1229,327.053,255.672,1229,300.314,226.416,1280,300.42900000000003,233.97099999999998,1275,301.284,241.25900000000001,1275,303.13599999999997,248.597,1270,305.84,255.321,1265,309.889,261.274,1256,314.508,265.876,1247,319.745,269.775,1243,325.803,272.472,1247,332.86199999999997,273.466,1252,340.204,272.275,1252,346.57,269.414,1261,352.017,265.235,1265,356.691,260.317,0,360.32800000000003,254.015,0,362.431,247.05200000000002,1294,363.538,239.762,1299,363.88199999999995,232.454,1299,363.541,225.08599999999998,1314,316.297,226.105,1265,345.871,225.59799999999998,1270,331.407,241.408,1238,324.187,214.717,1238,319.26599999999996,213.135,1247,313.358,212.485,1289,308.098,213.761,1294,304.455,216.011,1294,337.006,214.38400000000001,1275,341.811,212.715,1284,347.76599999999996,211.84099999999998,1294,353.191,212.81,1299,357.06699999999995,214.75,1304
307.814,243.024,1200,304.64799999999997,240.903,1191,300.873,240.588,1229,297.639,241.69099999999997,1234,295.8,243.923,1234,298.377,244.475,1225,301.524,244.257,1212,304.777,243.72799999999998,1195,323.678,241.28799999999998,1212,325.987,238.364,1216,329.675,237.10299999999998,1216,333.715,237.297,1216,336.917,238.97799999999998,1221,334.004,240.03799999999998,1216,330.70099999999996,240.65200000000002,1216,327.07099999999997,241.02200000000002,1216,307.099,236.28599999999997,1200,302.763,234.889,1204,297.878,234.52900000000002,1238,294.23,235.63,1243,291.921,237.96200000000002,1247,292.483,240.13099999999997,1243,295.26,238.842,1238,298.506,238.3,1234,302.853,238.395,1191,307.134,239.041,1200,321.058,233.955,1221,326.129,231.447,1221,332.024,229.703,1221,336.959,230.06900000000002,1225,340.869,231.562,1225,340.718,234.085,1221,336.70599999999996,233.667,1221,332.214,233.855,1221,326.965,235.06799999999998,1221,321.904,236.796,1216,311.281,242.72299999999998,1208,310.721,249.69099999999997,1208,309.284,256.33099999999996,1208,307.085,262.031,1208,308.546,266.376,1212,313.4,266.545,1208,317.538,266.115,1208,324.686,264.83099999999996,1204,325.35,259.851,0,321.52,255.049,0,319.202,249.197,1216,317.85,242.149,1212,307.438,279.60200000000003,1208,309.603,277.277,1212,312.659,275.415,1212,316.23400000000004,275.95599999999996,1208,319.751,274.772,1208,324.81,275.97,1200,329.55400000000003,277.72900000000004,1208,326.71299999999997,281.46299999999997,1208,322.981,284.087,1204,318.195,285.407,1208,313.67900000000003,284.974,1208,310.494,283.127,1208,310.10200000000003,279.808,1204,313.192,279.078,1208,317.289,278.763,1204,322.255,278.302,1200,326.703,278.501,1204,322.367,279.95,1200,317.621,281.057,1204,313.524,280.89,1208,289.505,244.315,1247,289.34,253.271,1238,290.45099999999996,262.053,1243,293.1,270.763,1225,296.76599999999996,279.574,1238,301.455,287.47900000000004,0,305.817,293.753,1275,310.482,299.46299999999997,1261,316.236,302.861,1252,323.649,303.843,1243,332.093,301.47900000000004,1261,339.806,297.034,1265,345.936,290.64099999999996,909,350.98199999999997,283.474,0,354.681,273.744,0,355.978,263.763,1256,355.838,253.61599999999999,916,354.68699999999995,243.92,0,353.11199999999997,234.275,1247,301.431,242.824,1208,330.218,239.343,1216,315.926,262.14099999999996,1208,308.188,233.25099999999998,1204,303.483,231.72299999999998,1208,297.591,231.261,1234,292.585,232.812,1243,289.639,235.66,1252,319.643,231.07299999999998,1221,324.973,228.451,1216,331.69800000000004,226.502,1221,337.715,226.953,1229,342.102,228.632,1234
308.781,243.418,1212,305.775,241.59599999999998,1221,302.059,241.38,1225,298.613,242.294,1229,296.22,244.09799999999998,1229,298.986,245.55,1225,302.444,245.77599999999998,1225,305.901,244.94799999999998,1221,327.197,240.65900000000002,1225,329.406,238.04,1229,332.899,236.709,1234,336.464,236.584,1234,339.407,237.62099999999998,1238,337.159,239.74099999999999,1238,334.009,240.977,1234,330.42800000000005,241.21099999999998,1229,307.768,232.50900000000001,1225,302.665,231.128,1234,297.035,230.66299999999998,1229,292.805,232.274,1234,289.828,234.97400000000002,1238,290.756,237.24,1238,294.07,235.595,1238,297.905,234.69299999999998,1234,302.692,234.80200000000002,1234,307.649,235.50799999999998,1221,323.904,230.013,1229,328.526,227.19299999999998,1234,333.75800000000004,224.993,1238,338.407,225.145,1247,342.18,226.638,1256,342.14300000000003,229.075,1252,338.468,228.73,1243,334.44800000000004,229.165,1238,329.82300000000004,230.706,1234,325.138,232.834,1234,313.79200000000003,242.976,1204,314.355,249.67700000000002,1221,313.803,256.108,1212,311.47,261.506,1212,313.26099999999997,266.283,1221,319.584,266.834,0,324.376,266.157,1212,330.24,263.79,1221,330.284,258.66900000000004,0,326.219,254.238,1216,323.672,248.11700000000002,1221,322.101,241.657,1216,311.914,277.857,1221,315.726,275.992,1212,319.782,274.442,1204,323.527,274.841,1212,326.746,273.42900000000003,1216,331.29900000000004,273.617,1216,335.907,274.203,1225,333.18699999999995,278.78700000000003,1225,329.78,281.978,1216,325.16,283.634,1212,320.067,283.253,1208,316.004,281.247,1212,314.259,278.159,1208,319.316,277.69,1204,324.065,277.453,1212,328.86,276.277,1216,333.88300000000004,275.205,1221,329.281,277.658,1216,324.329,279.161,1208,319.394,279.122,1208,285.414,244.717,1238,287.36,253.838,1238,290.108,262.45799999999997,1238,293.735,270.732,1238,298.027,277.865,1234,303.399,283.868,1238,308.75,288.589,1238,314.356,292.786,1243,320.508,295.575,1265,327.547,295.972,0,334.346,293.42900000000003,0,339.69199999999995,288.812,0,344.046,283.064,0,347.986,276.834,0,351.115,269.161,0,352.659,260.942,0,353.059,252.342,0,352.69199999999995,243.583,0,351.465,234.605,1270,302.347,243.632,1225,333.371,238.94299999999998,1234,321.155,261.698,1216,308.573,229.03900000000002,1225,303.168,227.581,1234,296.44,227.105,1225,290.876,229.24599999999998,1234,287.392,232.364,1243,322.02299999999997,226.93200000000002,1229,326.843,223.986,1234,333.01199999999994,221.463,1243,339.082,221.63299999999998,1256,343.49,223.313,1256
322.185,227.007,1256,319.619,225.266,1256,316.272,224.68599999999998,1265,313.006,225.19400000000002,1265,310.525,226.644,1270,313.056,227.84900000000002,1265,316.171,228.271,1265,319.369,227.97099999999998,1256,339.699,226.821,1261,342.155,224.993,1265,345.475,224.334,1265,348.712,224.78900000000002,1270,351.272,226.196,1275,348.85699999999997,227.415,1270,345.811,227.907,1270,342.545,227.667,1265,323.151,218.503,1238,318.705,216.957,1275,313.876,216.29,1280,309.698,217.1,1280,306.452,218.896,1284,306.763,221.09,1280,310.25,220.023,1280,314.098,219.59400000000002,1275,318.392,220.02700000000002,1256,322.865,221.05200000000002,1238,337.914,218.22299999999998,1275,342.301,216.65,1275,347.209,215.862,1284,351.46,216.502,1284,354.915,218.09400000000002,1289,354.709,220.332,1284,351.099,219.457,1275,347.225,219.196,1270,342.792,219.726,1270,338.361,220.797,1270,326.96299999999997,227.11700000000002,1247,326.366,232.18099999999998,1238,324.865,236.888,1238,322.008,240.858,1238,323.08299999999997,244.833,1234,329.079,245.713,1229,333.61800000000005,245.706,1238,339.585,244.713,1243,340.43800000000005,240.62,1252,337.222,236.71,1256,335.546,232.00599999999997,0,334.74199999999996,227.0,0,319.568,254.748,1225,323.587,252.94400000000002,1225,327.832,251.81799999999998,1221,331.645,252.43400000000003,1225,335.19699999999995,251.72799999999998,1234,339.855,252.701,1234,344.41900000000004,254.375,1238,340.842,257.422,1229,336.98699999999997,259.274,1225,332.06,259.962,1221,327.028,259.269,1225,323.21,257.538,1225,321.51,254.96599999999998,1225,326.754,254.65200000000002,1221,331.845,254.797,1225,337.099,254.533,1229,342.535,254.692,1238,337.30699999999996,255.81799999999998,1229,331.88699999999994,256.308,1229,326.675,255.91,1225,300.563,226.544,1280,300.63599999999997,234.025,1275,301.428,241.21400000000003,1270,303.264,248.50099999999998,1261,305.97,255.196,1261,310.074,261.124,1243,314.69,265.683,1243,319.867,269.553,1243,325.82099999999997,272.219,1243,332.733,273.23900000000003,1247,340.006,272.149,0,346.33099999999996,269.443,1256,351.787,265.41900000000004,1265,356.526,260.66900000000004,0,360.264,254.43599999999998,0,362.389,247.50400000000002,0,363.47900000000004,240.227,1309,363.806,232.93900000000002,1294,363.476,225.606,1299,316.275,226.611,1265,345.566,226.265,1270,331.23699999999997,242.005,1234,324.22700000000003,215.83700000000002,1243,319.449,214.185,1270,313.724,213.419,1280,308.496,214.47299999999998,1284,304.793,216.53,1289,336.675,215.56,1275,341.346,213.894,1280,347.116,212.993,1284,352.48,213.78799999999998,1289,356.445,215.574,1294
312.407,235.359,1238,309.686,233.46599999999998,1243,306.2,233.077,1247,302.994,233.93,1252,300.844,235.747,1256,303.23,237.187,1243,306.389,237.497,1243,309.655,236.827,1243,330.585,233.407,1243,332.81699999999995,230.85,1247,336.214,229.646,1252,339.649,229.771,1256,342.385,231.11599999999999,1256,340.108,233.03099999999998,1252,337.01,234.065,1243,333.56199999999995,234.145,1247,312.403,225.75900000000001,1243,307.881,224.31400000000002,1256,302.857,223.792,1256,298.67900000000003,224.918,1261,295.628,227.18599999999998,1261,296.259,229.748,1261,299.496,228.394,1261,303.235,227.699,1261,307.652,227.882,1256,312.264,228.68900000000002,1238,327.719,223.86900000000003,1252,332.285,221.387,1256,337.51,219.64,1256,342.106,219.77599999999998,1261,345.81300000000005,221.175,1270,345.88,223.822,1270,342.1,223.377,1261,337.971,223.63299999999998,1256,333.28,224.89,1256,328.626,226.745,1247,317.214,235.363,1225,317.01599999999996,241.608,1221,315.935,247.65900000000002,1229,313.545,252.89700000000002,1234,315.033,257.57599999999996,1234,320.78700000000003,258.461,1234,325.165,258.036,1229,331.215,255.97799999999998,1234,331.785,250.975,1229,328.404,246.451,1225,326.4,240.61599999999999,1234,325.241,234.5,1238,312.575,269.532,1225,316.31,267.647,1221,320.185,266.212,1216,323.865,266.69,1221,327.27299999999997,265.44,1221,331.869,265.91900000000004,1229,336.626,266.857,1229,333.267,270.464,1225,329.525,272.871,1225,324.749,274.115,1221,319.95799999999997,273.769,1216,316.291,272.171,1221,314.818,269.677,1221,319.718,269.432,1216,324.252,269.353,1221,329.093,268.418,1225,334.495,267.519,1229,329.278,268.867,1225,324.297,269.83299999999997,1221,319.632,269.885,1216,290.63,235.887,1265,291.483,244.71900000000002,1261,293.19599999999997,253.293,1256,295.841,261.755,1256,299.255,269.41200000000003,1252,304.014,276.084,1256,308.842,281.082,1252,314.046,285.309,1243,319.988,287.992,1243,326.789,288.64099999999996,1256,333.911,286.717,0,340.158,282.955,0,345.43800000000005,277.7,0,350.066,271.785,1261,353.806,263.918,0,355.82800000000003,255.37900000000002,0,356.598,246.53400000000002,1280,356.61,237.53400000000002,1284,355.806,228.53,1284,306.426,235.386,1243,336.541,232.00400000000002,1247,322.73400000000004,253.50400000000002,1225,313.409,222.46599999999998,1243,308.556,220.925,1256,302.577,220.33599999999998,1256,297.22900000000004,221.81400000000002,1261,293.672,224.42700000000002,1270,326.10400000000004,220.829,1252,330.93199999999996,218.21099999999998,1256,336.991,216.207,1256,342.715,216.375,1270,346.954,217.94099999999997,1275
317.939,230.736,1247,315.202,228.333,1252,311.66700000000003,227.66,1261,308.443,228.894,1256,306.402,231.632,1256,308.91200000000003,232.773,1252,312.063,232.91099999999997,1256,315.222,232.213,1256,335.415,229.59900000000002,1256,337.851,226.815,1256,341.305,225.62,1256,344.70300000000003,226.40200000000002,1261,347.066,228.84,1265,344.73800000000006,230.266,1256,341.67400000000004,230.84900000000002,1252,338.325,230.604,1252,319.32099999999997,221.905,1234,314.098,220.497,1252,308.365,220.667,1265,303.75,222.584,1275,300.634,225.707,1265,301.656,228.266,1261,304.95,226.09799999999998,1261,308.88599999999997,224.785,1261,313.957,224.637,1252,319.137,225.467,1238,332.57300000000004,220.783,1256,337.685,218.78599999999997,1265,343.587,218.18900000000002,1270,348.319,219.47,1270,351.786,222.011,1275,351.341,224.62,1275,347.62699999999995,222.986,1270,343.49699999999996,222.25900000000001,1265,338.279,222.857,1261,333.33,224.297,1256,322.52299999999997,230.57,0,321.879,236.523,0,320.373,241.78400000000002,0,318.113,246.5,1229,319.497,251.625,1234,325.663,252.054,1221,329.325,251.87,1225,335.556,250.602,1234,336.35,245.312,1238,333.62,240.924,0,331.724,235.924,0,330.56,230.03900000000002,0,315.418,266.51099999999997,1225,319.407,262.858,1221,323.95799999999997,260.518,1221,328.24800000000005,261.013,1221,332.36199999999997,259.971,1221,337.356,261.522,1225,341.92400000000004,264.541,1234,338.162,267.79900000000004,1234,334.077,269.822,1234,328.944,270.764,1225,323.89799999999997,270.497,1221,319.664,269.093,1225,317.776,266.105,1225,323.19,264.681,1212,328.52,264.32099999999997,1216,334.001,263.938,1221,339.661,264.534,1234,334.2,265.469,1221,328.647,266.10400000000004,1216,323.153,266.16900000000004,1212,295.339,232.611,1270,295.062,242.38400000000001,1261,295.622,252.05900000000003,1261,297.14599999999996,262.067,1261,299.74,271.692,0,304.264,280.19599999999997,1294,309.305,285.767,1289,315.285,290.087,1289,322.487,292.514,1289,330.41900000000004,293.319,1284,338.596,291.495,1289,345.899,288.10400000000004,1289,351.76099999999997,282.60200000000003,1299,356.366,275.986,0,359.625,266.723,0,360.965,256.83299999999997,0,361.20099999999996,246.748,0,360.54900000000004,237.072,1294,359.19,227.45,1284,311.981,230.644,1256,341.385,228.62400000000002,1252,327.312,247.584,1221,320.113,218.38099999999997,1234,314.435,216.88400000000001,1261,307.678,217.109,1270,301.978,219.497,1275,298.383,223.018,1270,331.43300000000005,217.37,1261,336.963,215.24,1265,343.83099999999996,214.575,1270,349.606,216.172,1280,353.551,219.023,1284
315.589,236.03400000000002,1243,312.879,234.7,1252,309.655,234.84400000000002,1247,306.72,236.02599999999998,1243,304.655,238.03799999999998,1247,307.279,238.918,1243,310.328,238.75799999999998,1247,313.281,237.77700000000002,1247,333.83099999999996,232.011,1247,335.72,229.579,1256,338.63599999999997,228.304,1261,341.62800000000004,228.092,1265,344.26099999999997,229.14700000000002,1270,342.316,231.005,1261,339.60699999999997,232.15,1256,336.517,232.51,1252,314.719,224.38299999999998,1252,310.718,223.43200000000002,1261,306.704,223.447,1256,302.683,224.696,1256,299.553,227.02900000000002,1261,300.072,230.24900000000002,1261,303.584,228.61900000000003,1261,307.434,227.572,1256,311.194,227.273,1256,315.28700000000003,227.541,1247,330.028,220.975,1252,333.135,218.502,1265,336.655,216.701,1265,340.579,215.984,1270,344.11800000000005,216.74,1275,345.027,219.732,1275,341.36199999999997,219.87900000000002,1270,337.695,220.699,1265,334.26599999999996,222.146,1261,330.906,224.06599999999997,1243,321.05,234.86900000000003,1234,321.48900000000003,241.27200000000002,0,320.973,247.545,0,319.117,253.43599999999998,1234,321.514,258.065,1234,328.056,257.29200000000003,1234,332.216,256.406,1234,337.57099999999997,254.398,1238,337.56199999999995,249.19299999999998,1243,333.819,244.57,1238,330.944,239.03,1234,328.788,233.077,1234,320.474,271.91200000000003,1229,323.58099999999996,268.112,1221,327.616,265.286,1221,331.431,265.086,1225,334.772,263.677,1229,339.121,264.508,1234,343.004,266.802,1234,341.022,271.675,1234,338.24800000000005,275.085,1238,333.811,277.15,1234,328.85400000000004,277.198,1229,324.687,275.358,1229,322.94,271.73,1225,327.58299999999997,269.351,1221,332.03,268.22900000000004,1229,336.35900000000004,267.36400000000003,1225,340.996,267.61,1229,337.069,270.543,1229,332.81699999999995,272.22700000000003,1225,328.083,272.577,1221,291.356,241.35,1265,293.17900000000003,250.78099999999998,1265,295.723,259.714,1265,299.246,268.441,1265,303.596,276.079,1270,309.191,282.628,1261,315.259,287.645,1284,321.961,291.48900000000003,1289,329.25800000000004,293.57599999999996,1294,337.017,293.13,1289,344.004,289.893,0,349.241,284.467,1294,353.244,277.681,0,356.24199999999996,270.216,0,358.129,261.887,0,358.899,253.08900000000003,0,358.45599999999996,244.172,1289,357.15,235.375,1294,355.07099999999997,226.91299999999998,1294,310.048,236.887,1247,339.064,230.35,1256,328.85400000000004,252.613,1229,315.341,220.877,1256,310.96299999999997,219.868,1261,306.128,219.889,1261,301.188,221.403,1256,297.62,224.011,1265,328.05,218.03599999999997,1256,331.45,215.373,1265,335.654,213.243,1265,340.551,212.39700000000002,1270,344.658,213.269,1289
